Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
type_TRANSFER,1,0,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(meanDest7, fuzzy_not(oldbalanceDest))",4,0,0.018571157854841765,0.9136833333333333,0.00942488940180804,0.6282051282051282
"fuzzy_not(product_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest))",5,0,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"fuzzy_not(lukasiewicz_conorm(meanDest7, lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER))))",7,0,0.11299435028248586,0.9981683333333333,0.15250544662309368,0.08974358974358974
"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(maxDest7, lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER))))))",9,0,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"product_norm(fuzzy_not(newbalanceOrig), lukasiewicz_norm(type_TRANSFER, fuzzy_not(lukasiewicz_conorm(maxDest3, fuzzy_not(fuzzy_not(oldbalanceDest))))))",11,0,0.14808362369337977,0.99837,0.23097826086956522,0.10897435897435898
"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(product_conorm(meanDest3, fuzzy_not(fuzzy_not(newbalanceOrig))), fuzzy_not(godel_norm(fuzzy_not(oldbalanceDest), type_TRANSFER))))))",14,0,0.14937759336099585,0.9976083333333333,0.13891951488423374,0.16153846153846155
"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_s_implication(type_TRANSFER, fuzzy_not(fuzzy_not(product_conorm(oldbalanceDest, product_conorm(godel_conorm(maxDest3, newbalanceOrig), oldbalanceDest))))))))",15,0,0.15455950540958266,0.997265,0.12919896640826872,0.19230769230769232
"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_s_implication(lukasiewicz_norm(fuzzy_not(product_s_implication(newbalanceDest, oldbalanceDest)), lukasiewicz_s_implication(meanDest7, fuzzy_not(oldbalanceDest))), product_conorm(oldbalanceDest, oldbalanceDest)))))",19,0,0.15293420272673386,0.9976183333333334,0.1422271223814774,0.16538461538461538
"fuzzy_not(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(newbalanceDest, lukasiewicz_s_implication(product_conorm(lukasiewicz_s_implication(product_conorm(oldbalanceDest, lukasiewicz_conorm(fuzzy_not(fuzzy_not(oldbalanceDest)), oldbalanceDest)), oldbalanceDest), oldbalanceDest), oldbalanceDest))), oldbalanceDest))",21,0,0.16298168035375868,0.9977916666666666,0.16064757160647572,0.16538461538461538
type_TRANSFER,1,1,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(type_TRANSFER, fuzzy_not(maxDest3))",4,1,0.034940600978336823,0.98619,0.01921598770176787,0.19230769230769232
"fuzzy_not(product_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)))",5,1,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_norm(type_TRANSFER, fuzzy_not(lukasiewicz_conorm(newbalanceDest, newbalanceOrig)))",6,1,0.10375494071146243,0.9969766666666666,0.08440514469453377,0.1346153846153846
"fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), newbalanceOrig))",7,1,0.11604629340006255,0.99058,0.06608478802992519,0.4756410256410256
"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(oldbalanceDest), product_conorm(maxDest7, fuzzy_not(type_TRANSFER))))",9,1,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(newbalanceOrig, oldbalanceDest), lukasiewicz_s_implication(newbalanceDest, newbalanceOrig)))))",11,1,0.14303959131545338,0.9977633333333333,0.14249363867684478,0.14358974358974358
"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(type_CASH_IN), product_conorm(fuzzy_not(type_TRANSFER), product_conorm(lukasiewicz_conorm(maxDest7, oldbalanceDest), newbalanceOrig))))",13,1,0.15298804780876493,0.9982283333333334,0.20210526315789473,0.12307692307692308
