r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
3.434816375374794006e-02,3.434816375374794006e-02,2.812105230987071991e-03,1.491143833845853806e-02,1.052799987792968750e+01,9.560000419616699219e+00,-1.000000000000000000e+00,3.520000000000000000e+02,1.500000000000000000e+01,3.520000000000000000e+02,1.500000000000000000e+01,3.182163238525390625e+00,2.576515674591064453e+00,1.299999952316284180e-01,0.000000000000000000e+00,7.756159640848636627e-03,1.234124145507812500e+02,5.000000000000000000e+02
6.224435195326805115e-02,6.224435195326805115e-02,2.764176111668348312e-03,1.153660379350185394e-02,1.054399967193603516e+01,5.894736766815185547e+00,-1.000000000000000000e+00,3.480000000000000000e+02,1.500000000000000000e+01,3.320000000000000000e+02,1.300000000000000000e+01,3.177994012832641602e+00,2.858683824539184570e+00,1.220000013709068298e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.172470779418945312e+02,1.000000000000000000e+03
6.728424876928329468e-02,6.728424876928329468e-02,2.666662447154521942e-03,1.551028806716203690e-02,1.031599998474121094e+01,8.560000419616699219e+00,-1.000000000000000000e+00,3.570000000000000000e+02,1.400000000000000000e+01,3.410000000000000000e+02,1.300000000000000000e+01,3.172153472900390625e+00,2.630596876144409180e+00,1.319999992847442627e-01,0.000000000000000000e+00,8.328469470143318176e-03,1.414142456054687500e+02,1.500000000000000000e+03
6.728424876928329468e-02,3.923188149929046631e-02,2.469467697665095329e-03,1.114030741155147552e-02,1.048200035095214844e+01,8.399999618530273438e+00,-1.000000000000000000e+00,3.430000000000000000e+02,2.000000000000000000e+01,3.270000000000000000e+02,1.800000000000000000e+01,3.164953470230102539e+00,2.733522891998291016e+00,1.379999965429306030e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.261620864868164062e+02,2.000000000000000000e+03
6.728424876928329468e-02,4.119813069701194763e-02,2.639247803017497063e-03,1.129746995866298676e-02,1.067000007629394531e+01,7.382352828979492188e+00,-1.000000000000000000e+00,3.460000000000000000e+02,1.600000000000000000e+01,3.300000000000000000e+02,1.400000000000000000e+01,3.180208683013916016e+00,2.717143535614013672e+00,1.519999951124191284e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.142704162597656250e+02,2.500000000000000000e+03
6.728424876928329468e-02,1.443461608141660690e-02,2.462974051013588905e-03,1.044029183685779572e-02,1.042199993133544922e+01,5.793103218078613281e+00,-1.000000000000000000e+00,3.400000000000000000e+02,1.000000000000000000e+01,3.240000000000000000e+02,8.000000000000000000e+00,3.184235095977783203e+00,2.737234354019165039e+00,1.239999979734420776e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.149425811767578125e+02,3.000000000000000000e+03
6.728424876928329468e-02,1.510859280824661255e-02,2.416530624032020569e-03,1.119643077254295349e-02,1.026799964904785156e+01,5.636363506317138672e+00,-1.000000000000000000e+00,3.400000000000000000e+02,1.500000000000000000e+01,3.240000000000000000e+02,1.300000000000000000e+01,3.163575172424316406e+00,2.777963638305664062e+00,1.500000059604644775e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.098736495971679688e+02,3.500000000000000000e+03
6.728424876928329468e-02,1.443461608141660690e-02,2.586554503068327904e-03,1.371440570801496506e-02,1.086600017547607422e+01,8.640000343322753906e+00,-1.000000000000000000e+00,3.530000000000000000e+02,1.300000000000000000e+01,3.370000000000000000e+02,1.200000000000000000e+01,3.167529344558715820e+00,2.555328607559204102e+00,1.360000073909759521e-01,0.000000000000000000e+00,9.893555194139480591e-03,1.205030441284179688e+02,4.000000000000000000e+03
6.728424876928329468e-02,1.835398748517036438e-02,2.502375748008489609e-03,1.356886699795722961e-02,1.098400020599365234e+01,7.719999790191650391e+00,-1.000000000000000000e+00,3.570000000000000000e+02,1.300000000000000000e+01,3.410000000000000000e+02,1.200000000000000000e+01,3.152405977249145508e+00,2.613090515136718750e+00,1.739999949932098389e-01,0.000000000000000000e+00,8.141935802996158600e-03,1.201990509033203125e+02,4.500000000000000000e+03
1.020706966519355774e-01,1.020706966519355774e-01,2.712716581299901009e-03,1.892116852104663849e-02,9.614000320434570312e+00,7.159999847412109375e+00,-1.000000000000000000e+00,3.210000000000000000e+02,1.300000000000000000e+01,3.050000000000000000e+02,1.200000000000000000e+01,3.197179079055786133e+00,2.588923215866088867e+00,1.780000030994415283e-01,0.000000000000000000e+00,1.101243775337934494e-02,1.084628982543945312e+02,5.000000000000000000e+03
1.020706966519355774e-01,1.443956606090068817e-02,2.398016629740595818e-03,1.353001501411199570e-02,1.053800010681152344e+01,7.880000114440917969e+00,-1.000000000000000000e+00,3.450000000000000000e+02,1.400000000000000000e+01,3.290000000000000000e+02,1.300000000000000000e+01,3.184230327606201172e+00,2.598676443099975586e+00,1.720000058412551880e-01,0.000000000000000000e+00,8.391608484089374542e-03,1.111670150756835938e+02,5.500000000000000000e+03
1.020706966519355774e-01,3.810292482376098633e-02,2.723566256463527679e-03,1.475396193563938141e-02,1.090400028228759766e+01,8.199999809265136719e+00,-1.000000000000000000e+00,3.560000000000000000e+02,1.400000000000000000e+01,3.400000000000000000e+02,1.300000000000000000e+01,3.161021232604980469e+00,2.629721879959106445e+00,1.560000032186508179e-01,0.000000000000000000e+00,8.920989930629730225e-03,1.138036956787109375e+02,6.000000000000000000e+03
1.020706966519355774e-01,1.443461608141660690e-02,2.381479833275079727e-03,1.101488154381513596e-02,1.036999988555908203e+01,6.470588207244873047e+00,-1.000000000000000000e+00,3.480000000000000000e+02,1.600000000000000000e+01,3.310000000000000000e+02,1.400000000000000000e+01,3.185721158981323242e+00,2.779124498367309570e+00,1.519999951124191284e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.330736236572265625e+02,6.500000000000000000e+03
1.020706966519355774e-01,6.728424876928329468e-02,2.509633312001824379e-03,1.489754114300012589e-02,1.113399982452392578e+01,8.464285850524902344e+00,-1.000000000000000000e+00,3.700000000000000000e+02,1.600000000000000000e+01,3.540000000000000000e+02,1.400000000000000000e+01,3.152859210968017578e+00,2.654040813446044922e+00,1.860000044107437134e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.229586334228515625e+02,7.000000000000000000e+03
1.020706966519355774e-01,5.975630134344100952e-02,2.948982175439596176e-03,1.640818640589714050e-02,1.039400005340576172e+01,5.599999904632568359e+00,-1.000000000000000000e+00,3.430000000000000000e+02,8.000000000000000000e+00,3.270000000000000000e+02,7.000000000000000000e+00,3.172939538955688477e+00,2.633116722106933594e+00,1.500000059604644775e-01,0.000000000000000000e+00,1.093424204736948013e-02,1.089802169799804688e+02,7.500000000000000000e+03
