seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,error_true_divide,error_node_divide,error_node_invalid,n_samples,n_cached,t
10,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"fuzzy_not(product_norm(x11, fuzzy_not(fuzzy_not(fuzzy_not(product_norm(godel_norm(x16, fuzzy_not(x3)), x16))))))","fuzzy_not,product_norm,x11,fuzzy_not,fuzzy_not,fuzzy_not,product_norm,godel_norm,x16,fuzzy_not,x3,x16",7641,6812,829,50000,32951,12031.113997220991
14,0.13347457627118645,1.8001423828999672,1.8001423828999672,False,0.13347457627118645,0.13347457627118645,"product_r_implication(x3, fuzzy_not(product_s_implication(x4, fuzzy_not(fuzzy_not(godel_r_implication(x16, x9))))))","product_r_implication,x3,fuzzy_not,product_s_implication,x4,fuzzy_not,fuzzy_not,godel_r_implication,x16,x9",6243,5329,914,50000,33260,12678.946314573288
0,0.13268156424581007,1.3666117601233247,1.3666117601233247,False,0.13268156424581007,0.13268156424581007,"lukasiewicz_conorm(godel_norm(fuzzy_not(lukasiewicz_conorm(x8, x3)), x16), fuzzy_not(x1))","lukasiewicz_conorm,godel_norm,fuzzy_not,lukasiewicz_conorm,x8,x3,x16,fuzzy_not,x1",6201,5315,886,50000,33599,12914.882858753203
5,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"product_s_implication(x3, fuzzy_not(product_s_implication(fuzzy_not(product_s_implication(x16, x12)), x11)))","product_s_implication,x3,fuzzy_not,product_s_implication,fuzzy_not,product_s_implication,x16,x12,x11",4919,4179,740,50000,32797,12953.188742399216
11,0.14615384615384616,1.221367998177851,1.221367998177851,False,0.14615384615384616,0.14615384615384616,"product_norm(x16, product_r_implication(x1, fuzzy_not(lukasiewicz_conorm(godel_r_implication(x8, lukasiewicz_r_implication(lukasiewicz_conorm(godel_conorm(x8, lukasiewicz_s_implication(x16, lukasiewicz_r_implication(product_norm(x3, x3), x12))), x1), x3)), x8))))","product_norm,x16,product_r_implication,x1,fuzzy_not,lukasiewicz_conorm,godel_r_implication,x8,lukasiewicz_r_implication,lukasiewicz_conorm,godel_conorm,x8,lukasiewicz_s_implication,x16,lukasiewicz_r_implication,product_norm,x3,x3,x12,x1,x3,x8",5545,4638,907,50000,33409,13008.03821134567
6,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_r_implication(fuzzy_not(godel_conorm(fuzzy_not(x9), fuzzy_not(product_norm(godel_s_implication(x2, product_norm(x1, x13)), x4)))), x15))))","fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,fuzzy_not,godel_conorm,fuzzy_not,x9,fuzzy_not,product_norm,godel_s_implication,x2,product_norm,x1,x13,x4,x15",5832,4970,862,50000,34037,13096.133925914763
8,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_r_implication(product_norm(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_r_implication(x1, fuzzy_not(x9))))), x13), fuzzy_not(x4)))))","fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,product_norm,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,x1,fuzzy_not,x9,x13,fuzzy_not,x4",5588,4871,717,50000,33686,13128.014893770218
3,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(godel_s_implication(lukasiewicz_s_implication(x1, x8), lukasiewicz_norm(lukasiewicz_norm(product_s_implication(x9, x9), x4), godel_norm(lukasiewicz_norm(x4, x1), x13)))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,godel_s_implication,lukasiewicz_s_implication,x1,x8,lukasiewicz_norm,lukasiewicz_norm,product_s_implication,x9,x9,x4,godel_norm,lukasiewicz_norm,x4,x1,x13",4877,4257,620,50000,32973,13131.040147781372
9,0.1259946949602122,1.4502369563949613,1.4502369563949613,False,0.1259946949602122,0.1259946949602122,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_r_implication(x3, fuzzy_not(lukasiewicz_conorm(godel_conorm(fuzzy_not(fuzzy_not(fuzzy_not(x16))), x4), x9)))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_r_implication,x3,fuzzy_not,lukasiewicz_conorm,godel_conorm,fuzzy_not,fuzzy_not,fuzzy_not,x16,x4,x9",4119,3551,568,50000,33037,13269.28197979927
12,0.11586901763224182,3.4759473029223686,3.4759473029223686,False,0.11586901763224182,0.11586901763224182,"fuzzy_not(product_conorm(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(godel_s_implication(lukasiewicz_norm(x9, x13), fuzzy_not(fuzzy_not(fuzzy_not(x1)))))))), fuzzy_not(x1)))","fuzzy_not,product_conorm,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,godel_s_implication,lukasiewicz_norm,x9,x13,fuzzy_not,fuzzy_not,fuzzy_not,x1,fuzzy_not,x1",5093,4348,745,50000,33738,13315.690175533296
