r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
2.409638464450836182e-02,2.409638464450836182e-02,2.541198395192623138e-03,1.288202218711376190e-02,1.084700012207031250e+01,9.800000190734863281e+00,-1.000000000000000000e+00,6.970000000000000000e+02,3.400000000000000000e+01,6.970000000000000000e+02,3.400000000000000000e+01,3.172531843185424805e+00,2.896230697631835938e+00,1.319999992847442627e-01,0.000000000000000000e+00,7.445238064974546432e-03,3.521957397460937500e+02,1.000000000000000000e+03
3.239014744758605957e-02,3.239014744758605957e-02,2.328781643882393837e-03,1.173426210880279541e-02,1.085299968719482422e+01,6.586206912994384766e+00,-1.000000000000000000e+00,6.910000000000000000e+02,2.500000000000000000e+01,6.750000000000000000e+02,2.300000000000000000e+01,3.182155132293701172e+00,2.992091655731201172e+00,1.509999930858612061e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.202562866210937500e+02,2.000000000000000000e+03
6.728424876928329468e-02,6.728424876928329468e-02,2.660885220393538475e-03,1.606323570013046265e-02,1.069900035858154297e+01,9.579999923706054688e+00,-1.000000000000000000e+00,6.920000000000000000e+02,3.300000000000000000e+01,6.760000000000000000e+02,3.200000000000000000e+01,3.191110134124755859e+00,2.856913089752197266e+00,1.350000053644180298e-01,0.000000000000000000e+00,8.019844070076942444e-03,3.321295776367187500e+02,3.000000000000000000e+03
6.728424876928329468e-02,3.359419852495193481e-02,2.588199917227029800e-03,1.135485060513019562e-02,1.064799976348876953e+01,6.985074520111083984e+00,-1.000000000000000000e+00,6.830000000000000000e+02,3.100000000000000000e+01,6.670000000000000000e+02,2.900000000000000000e+01,3.194381713867187500e+00,3.018818140029907227e+00,1.400000005960464478e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.256152343750000000e+02,4.000000000000000000e+03
6.728424876928329468e-02,6.728424876928329468e-02,2.670414512977004051e-03,1.421718019992113113e-02,1.047999954223632812e+01,1.080000019073486328e+01,-1.000000000000000000e+00,6.740000000000000000e+02,3.400000000000000000e+01,6.570000000000000000e+02,3.300000000000000000e+01,3.200085163116455078e+00,2.823790550231933594e+00,1.519999951124191284e-01,0.000000000000000000e+00,8.094711229205131531e-03,3.100195007324218750e+02,5.000000000000000000e+03
6.728424876928329468e-02,1.450407225638628006e-02,2.539352048188447952e-03,1.265143696218729019e-02,1.051799964904785156e+01,1.026000022888183594e+01,-1.000000000000000000e+00,6.900000000000000000e+02,3.500000000000000000e+01,6.740000000000000000e+02,3.400000000000000000e+01,3.189304828643798828e+00,2.858466863632202148e+00,1.350000053644180298e-01,0.000000000000000000e+00,7.762288209050893784e-03,3.305042114257812500e+02,6.000000000000000000e+03
6.728424876928329468e-02,3.455802053213119507e-02,2.587002003565430641e-03,1.378853898495435715e-02,1.089999961853027344e+01,1.156000041961669922e+01,-1.000000000000000000e+00,6.910000000000000000e+02,3.600000000000000000e+01,6.750000000000000000e+02,3.500000000000000000e+01,3.179605722427368164e+00,2.774465799331665039e+00,1.430000066757202148e-01,0.000000000000000000e+00,8.016299456357955933e-03,3.280348205566406250e+02,7.000000000000000000e+03
7.664883881807327271e-02,7.664883881807327271e-02,2.708809683099389076e-03,1.270375959575176239e-02,1.049100017547607422e+01,6.194029808044433594e+00,-1.000000000000000000e+00,6.810000000000000000e+02,2.500000000000000000e+01,6.640000000000000000e+02,2.300000000000000000e+01,3.212580919265747070e+00,3.026044130325317383e+00,1.230000033974647522e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.298424987792968750e+02,8.000000000000000000e+03
8.404533565044403076e-02,8.404533565044403076e-02,2.564813476055860519e-03,1.181753166019916534e-02,9.982000350952148438e+00,6.305555343627929688e+00,-1.000000000000000000e+00,6.480000000000000000e+02,2.900000000000000000e+01,6.310000000000000000e+02,2.700000000000000000e+01,3.217505216598510742e+00,3.052403450012207031e+00,1.430000066757202148e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.019151916503906250e+02,9.000000000000000000e+03
8.404533565044403076e-02,2.086529694497585297e-02,2.585325157269835472e-03,1.303786970674991608e-02,1.090600013732910156e+01,9.600000381469726562e+00,-1.000000000000000000e+00,7.020000000000000000e+02,3.000000000000000000e+01,6.840000000000000000e+02,2.900000000000000000e+01,3.192216396331787109e+00,2.864334344863891602e+00,1.449999958276748657e-01,0.000000000000000000e+00,7.546608336269855499e-03,3.325686340332031250e+02,1.000000000000000000e+04
8.404533565044403076e-02,2.116845361888408661e-02,2.635440323501825333e-03,1.407989300787448883e-02,1.037500000000000000e+01,7.300000190734863281e+00,-1.000000000000000000e+00,6.710000000000000000e+02,2.400000000000000000e+01,6.530000000000000000e+02,2.300000000000000000e+01,3.223411798477172852e+00,2.921206951141357422e+00,1.420000046491622925e-01,0.000000000000000000e+00,1.011251192539930344e-02,3.145104980468750000e+02,1.100000000000000000e+04
9.937590360641479492e-02,9.937590360641479492e-02,2.561446977779269218e-03,1.369282044470310211e-02,1.054300022125244141e+01,7.955224037170410156e+00,-1.000000000000000000e+00,6.850000000000000000e+02,3.300000000000000000e+01,6.690000000000000000e+02,3.100000000000000000e+01,3.198991060256958008e+00,3.028677940368652344e+00,1.560000032186508179e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.169071960449218750e+02,1.200000000000000000e+04
9.937590360641479492e-02,4.444444552063941956e-02,2.777652814984321594e-03,1.528719533234834671e-02,1.010900020599365234e+01,5.960000038146972656e+00,-1.000000000000000000e+00,6.550000000000000000e+02,1.700000000000000000e+01,6.370000000000000000e+02,1.600000000000000000e+01,3.232048273086547852e+00,2.935258150100708008e+00,1.309999972581863403e-01,0.000000000000000000e+00,1.328718848526477814e-02,3.093275756835937500e+02,1.300000000000000000e+04
9.937590360641479492e-02,5.978260934352874756e-02,2.710360800847411156e-03,1.473410520702600479e-02,1.006200027465820312e+01,8.720000267028808594e+00,-1.000000000000000000e+00,6.580000000000000000e+02,3.000000000000000000e+01,6.420000000000000000e+02,2.900000000000000000e+01,3.222595453262329102e+00,2.896881341934204102e+00,1.289999932050704956e-01,0.000000000000000000e+00,8.082292042672634125e-03,3.082006835937500000e+02,1.400000000000000000e+04
