seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,error_true_divide,error_node_divide,error_node_invalid,n_samples,n_cached,t
11,0.1166290443942814,2.5835784321816155,2.5835784321816155,False,0.1166290443942814,0.1166290443942814,"fuzzy_not(product_norm(x10, godel_s_implication(x16, fuzzy_not(fuzzy_not(godel_r_implication(lukasiewicz_r_implication(product_s_implication(lukasiewicz_conorm(fuzzy_not(x8), x16), x6), x6), x3))))))","fuzzy_not,product_norm,x10,godel_s_implication,x16,fuzzy_not,fuzzy_not,godel_r_implication,lukasiewicz_r_implication,product_s_implication,lukasiewicz_conorm,fuzzy_not,x8,x16,x6,x6,x3",7013,5911,1102,50000,33095,16007.334447383882
10,0.12855209742895804,1.4172270104982627,1.4172270104982627,False,0.12855209742895804,0.12855209742895804,"product_r_implication(lukasiewicz_s_implication(fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(fuzzy_not(x16))), x9)), x6), fuzzy_not(product_s_implication(fuzzy_not(x3), x1)))","product_r_implication,lukasiewicz_s_implication,fuzzy_not,lukasiewicz_conorm,fuzzy_not,fuzzy_not,fuzzy_not,x16,x9,x6,fuzzy_not,product_s_implication,fuzzy_not,x3,x1",6539,5364,1175,50000,33279,16302.987957954409
0,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_s_implication(x3, fuzzy_not(product_s_implication(x16, x11)))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_s_implication,x3,fuzzy_not,product_s_implication,x16,x11",6243,5177,1066,50000,33317,16402.416798114777
14,0.11586901763224182,3.4759473029223686,3.4759473029223686,False,0.11586901763224182,0.11586901763224182,"product_norm(x9, lukasiewicz_norm(product_norm(x1, fuzzy_not(fuzzy_not(godel_r_implication(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x3)))), fuzzy_not(x5))))), x13))","product_norm,x9,lukasiewicz_norm,product_norm,x1,fuzzy_not,fuzzy_not,godel_r_implication,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,x3,fuzzy_not,x5,x13",6211,5325,886,50000,33173,16410.700550079346
13,0.121283255086072,2.47134461613284,2.47134461613284,False,0.121283255086072,0.121283255086072,"lukasiewicz_r_implication(x10, lukasiewicz_norm(fuzzy_not(x3), fuzzy_not(godel_conorm(x3, fuzzy_not(x16)))))","lukasiewicz_r_implication,x10,lukasiewicz_norm,fuzzy_not,x3,fuzzy_not,godel_conorm,x3,fuzzy_not,x16",5677,4817,860,50000,33045,16484.361626625057
1,0.12332439678284185,2.518658871918108,2.518658871918108,False,0.12332439678284185,0.12332439678284185,"fuzzy_not(fuzzy_not(lukasiewicz_conorm(godel_norm(godel_norm(lukasiewicz_norm(lukasiewicz_s_implication(x8, product_r_implication(x4, godel_conorm(x6, x13))), x1), x8), x4), x5)))","fuzzy_not,fuzzy_not,lukasiewicz_conorm,godel_norm,godel_norm,lukasiewicz_norm,lukasiewicz_s_implication,x8,product_r_implication,x4,godel_conorm,x6,x13,x1,x8,x4,x5",6890,5820,1070,50000,33735,16492.572578668594
9,0.12234385061171925,1.4997518752400094,1.4997518752400094,False,0.12234385061171925,0.12234385061171925,"fuzzy_not(product_norm(x3, product_conorm(x1, fuzzy_not(lukasiewicz_norm(fuzzy_not(x1), product_conorm(product_norm(lukasiewicz_conorm(x9, fuzzy_not(fuzzy_not(fuzzy_not(x11)))), x16), x1))))))","fuzzy_not,product_norm,x3,product_conorm,x1,fuzzy_not,lukasiewicz_norm,fuzzy_not,x1,product_conorm,product_norm,lukasiewicz_conorm,x9,fuzzy_not,fuzzy_not,fuzzy_not,x11,x16,x1",6110,5208,902,50000,33475,16558.425973176956
6,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"fuzzy_not(product_norm(godel_conorm(x3, x5), lukasiewicz_conorm(fuzzy_not(x16), godel_r_implication(godel_s_implication(x14, godel_conorm(product_conorm(product_norm(x5, product_conorm(lukasiewicz_r_implication(x14, x7), x9)), x6), x8)), x11))))","fuzzy_not,product_norm,godel_conorm,x3,x5,lukasiewicz_conorm,fuzzy_not,x16,godel_r_implication,godel_s_implication,x14,godel_conorm,product_conorm,product_norm,x5,product_conorm,lukasiewicz_r_implication,x14,x7,x9,x6,x8,x11",5785,4948,837,50000,33309,16602.22143054008
12,0.12141779788838612,2.5637724646435958,2.5637724646435958,False,0.12141779788838612,0.12141779788838612,"godel_norm(fuzzy_not(fuzzy_not(x4)), godel_norm(x1, lukasiewicz_norm(x13, x10)))","godel_norm,fuzzy_not,fuzzy_not,x4,godel_norm,x1,lukasiewicz_norm,x13,x10",5023,4061,962,50000,32982,16660.07024383545
8,0.1280323450134771,1.4238289996776023,1.4238289996776023,False,0.1280323450134771,0.1280323450134771,"lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(lukasiewicz_conorm(x8, lukasiewicz_conorm(fuzzy_not(lukasiewicz_conorm(godel_norm(x8, x6), x16)), x10)), x3)), x6)","lukasiewicz_conorm,fuzzy_not,lukasiewicz_norm,lukasiewicz_conorm,x8,lukasiewicz_conorm,fuzzy_not,lukasiewicz_conorm,godel_norm,x8,x6,x16,x10,x3,x6",5473,4779,694,50000,33177,16662.0201253891
3,0.13221990257480862,1.3721134177727743,1.3721134177727743,False,0.13221990257480862,0.13221990257480862,"godel_r_implication(godel_s_implication(x11, x8), fuzzy_not(lukasiewicz_r_implication(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_norm(product_conorm(fuzzy_not(x10), x16), product_s_implication(x2, x13)))))), x3)))","godel_r_implication,godel_s_implication,x11,x8,fuzzy_not,lukasiewicz_r_implication,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_norm,product_conorm,fuzzy_not,x10,x16,product_s_implication,x2,x13,x3",6234,5338,896,50000,33647,16675.390733003616
4,0.12234385061171925,1.4997518752400094,1.4997518752400094,False,0.12234385061171925,0.12234385061171925,"product_conorm(fuzzy_not(lukasiewicz_conorm(godel_s_implication(x16, product_conorm(x3, x13)), x1)), fuzzy_not(x3))","product_conorm,fuzzy_not,lukasiewicz_conorm,godel_s_implication,x16,product_conorm,x3,x13,x1,fuzzy_not,x3",5738,4901,837,50000,33519,16694.459628582
7,0.13310433662516102,2.22156935884782,2.22156935884782,False,0.13310433662516102,0.13310433662516102,"fuzzy_not(fuzzy_not(product_r_implication(x3, lukasiewicz_norm(fuzzy_not(x2), fuzzy_not(lukasiewicz_conorm(product_s_implication(x16, x10), godel_norm(x13, x15)))))))","fuzzy_not,fuzzy_not,product_r_implication,x3,lukasiewicz_norm,fuzzy_not,x2,fuzzy_not,lukasiewicz_conorm,product_s_implication,x16,x10,godel_norm,x13,x15",5909,4905,1004,50000,33475,16708.737567186356
15,0.13778100072516314,1.308294189039157,1.308294189039157,False,0.13778100072516314,0.13778100072516314,"product_conorm(fuzzy_not(x9), fuzzy_not(lukasiewicz_s_implication(x16, product_s_implication(godel_conorm(fuzzy_not(x3), x13), godel_norm(lukasiewicz_s_implication(lukasiewicz_conorm(x9, x9), x10), x2)))))","product_conorm,fuzzy_not,x9,fuzzy_not,lukasiewicz_s_implication,x16,product_s_implication,godel_conorm,fuzzy_not,x3,x13,godel_norm,lukasiewicz_s_implication,lukasiewicz_conorm,x9,x9,x10,x2",5345,4520,825,50000,33303,16791.438583612442
5,0.12101724641917568,3.3086969103790964,3.3086969103790964,False,0.12101724641917568,0.12101724641917568,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_norm(lukasiewicz_norm(godel_norm(fuzzy_not(fuzzy_not(godel_norm(x13, x9))), x1), x13), x8)))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_norm,lukasiewicz_norm,godel_norm,fuzzy_not,fuzzy_not,godel_norm,x13,x9,x1,x13,x8",5271,4563,708,50000,33581,16808.81588602066
2,0.13896457765667575,2.7816381075618075,2.7816381075618075,False,0.13896457765667575,0.13896457765667575,"fuzzy_not(lukasiewicz_norm(fuzzy_not(lukasiewicz_norm(fuzzy_not(x14), fuzzy_not(lukasiewicz_s_implication(product_norm(godel_norm(x4, lukasiewicz_s_implication(product_s_implication(x9, x3), x15)), x16), x12)))), x11))","fuzzy_not,lukasiewicz_norm,fuzzy_not,lukasiewicz_norm,fuzzy_not,x14,fuzzy_not,lukasiewicz_s_implication,product_norm,godel_norm,x4,lukasiewicz_s_implication,product_s_implication,x9,x3,x15,x16,x12,x11",5324,4483,841,50000,33419,16833.419350624084
