complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,1445,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
5,0.015108593012275733,1,0,"fuzzy_not(lukasiewicz_conorm(x7, fuzzy_not(x9)))","fuzzy_not,lukasiewicz_conorm,x7,fuzzy_not,x9",19.5099783564788,19.5099783564788,False,0.015108593012275733,0.015108593012275733
6,0.06728425158459288,1,0,"fuzzy_not(lukasiewicz_r_implication(x1, fuzzy_not(x13)))","fuzzy_not,lukasiewicz_r_implication,x1,fuzzy_not,x13",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
8,0.10462226640159045,1,0,"lukasiewicz_conorm(fuzzy_not(product_s_implication(x16, x3)), fuzzy_not(x3))","lukasiewicz_conorm,fuzzy_not,product_s_implication,x16,x3,fuzzy_not,x3",7.928989004387019,7.928989004387019,False,0.10462226640159045,0.10462226640159045
10,0.1053484602917342,1,0,"product_conorm(fuzzy_not(lukasiewicz_s_implication(fuzzy_not(x3), fuzzy_not(x16))), fuzzy_not(x9))","product_conorm,fuzzy_not,lukasiewicz_s_implication,fuzzy_not,x3,fuzzy_not,x16,fuzzy_not,x9",2.4295320179970217,2.4295320179970217,False,0.1053484602917342,0.1053484602917342
11,0.11571481896229936,1,0,"godel_norm(product_r_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(x1, x3))), fuzzy_not(x3)), x16)","godel_norm,product_r_implication,fuzzy_not,fuzzy_not,lukasiewicz_conorm,x1,x3,fuzzy_not,x3,x16",2.6066853943093045,2.6066853943093045,False,0.11571481896229936,0.11571481896229936
13,0.1165575997036671,1,0,"lukasiewicz_norm(godel_r_implication(fuzzy_not(fuzzy_not(fuzzy_not(x4))), x16), lukasiewicz_s_implication(x3, fuzzy_not(x3)))","lukasiewicz_norm,godel_r_implication,fuzzy_not,fuzzy_not,fuzzy_not,x4,x16,lukasiewicz_s_implication,x3,fuzzy_not,x3",7.872872096362632,7.872872096362632,False,0.1165575997036671,0.1165575997036671
14,0.11662904439428141,1,0,"product_s_implication(x10, fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(godel_r_implication(fuzzy_not(fuzzy_not(x16)), x3)))))))","product_s_implication,x10,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,godel_r_implication,fuzzy_not,fuzzy_not,x16,x3",2.5835784321816155,2.5835784321816155,False,0.11662904439428141,0.11662904439428141
16,0.12898845892735913,1,0,"fuzzy_not(fuzzy_not(product_r_implication(product_conorm(fuzzy_not(x16), fuzzy_not(fuzzy_not(x3))), fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(x1)), x9)))))","fuzzy_not,fuzzy_not,product_r_implication,product_conorm,fuzzy_not,x16,fuzzy_not,fuzzy_not,x3,fuzzy_not,lukasiewicz_conorm,fuzzy_not,fuzzy_not,x1,x9",1.4117253528488127,1.4117253528488127,False,0.12898845892735913,0.12898845892735913
21,0.13347457627118645,1,0,"godel_r_implication(godel_s_implication(product_conorm(x16, fuzzy_not(fuzzy_not(fuzzy_not(x3)))), godel_s_implication(fuzzy_not(fuzzy_not(x16)), x3)), fuzzy_not(product_conorm(fuzzy_not(x4), x9)))","godel_r_implication,godel_s_implication,product_conorm,x16,fuzzy_not,fuzzy_not,fuzzy_not,x3,godel_s_implication,fuzzy_not,fuzzy_not,x16,x3,fuzzy_not,product_conorm,fuzzy_not,x4,x9",1.8001423828999672,1.8001423828999672,False,0.13347457627118645,0.13347457627118645
