seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,error_true_divide,error_node_invalid,error_node_divide,n_samples,n_cached,t
8,0.14609800362976408,2.070823939252896,2.070823939252896,False,0.14609800362976408,0.14609800362976408,"fuzzy_not(lukasiewicz_norm(x10, fuzzy_not(lukasiewicz_norm(godel_norm(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(x9, lukasiewicz_norm(godel_norm(x1, x13), x10)), x8), x11), x13), x4))))","fuzzy_not,lukasiewicz_norm,x10,fuzzy_not,lukasiewicz_norm,godel_norm,lukasiewicz_norm,lukasiewicz_norm,lukasiewicz_norm,x9,lukasiewicz_norm,godel_norm,x1,x13,x10,x8,x11,x13,x4",5641,883,4758,50000,33737,16794.828892707825
10,0.12660550458715594,3.142546849365713,3.142546849365713,False,0.12660550458715594,0.12660550458715594,"fuzzy_not(product_conorm(fuzzy_not(x11), fuzzy_not(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(product_r_implication(x10, lukasiewicz_s_implication(godel_r_implication(x13, x12), x5)), x9), x1), x1))))","fuzzy_not,product_conorm,fuzzy_not,x11,fuzzy_not,lukasiewicz_norm,lukasiewicz_norm,lukasiewicz_norm,product_r_implication,x10,lukasiewicz_s_implication,godel_r_implication,x13,x12,x5,x9,x1,x1",5086,845,4241,50000,33485,16913.807889699936
3,0.13347457627118645,1.8001423828999672,1.8001423828999672,False,0.13347457627118645,0.13347457627118645,"godel_r_implication(godel_s_implication(product_conorm(x16, fuzzy_not(fuzzy_not(fuzzy_not(x3)))), godel_s_implication(fuzzy_not(fuzzy_not(x16)), x3)), fuzzy_not(product_conorm(fuzzy_not(x4), x9)))","godel_r_implication,godel_s_implication,product_conorm,x16,fuzzy_not,fuzzy_not,fuzzy_not,x3,godel_s_implication,fuzzy_not,fuzzy_not,x16,x3,fuzzy_not,product_conorm,fuzzy_not,x4,x9",4436,539,3897,50000,33653,17057.698311328888
11,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"product_norm(godel_norm(x4, fuzzy_not(lukasiewicz_s_implication(x13, fuzzy_not(fuzzy_not(product_s_implication(lukasiewicz_norm(fuzzy_not(fuzzy_not(godel_norm(x1, product_s_implication(x13, x9)))), x13), x12)))))), x9)","product_norm,godel_norm,x4,fuzzy_not,lukasiewicz_s_implication,x13,fuzzy_not,fuzzy_not,product_s_implication,lukasiewicz_norm,fuzzy_not,fuzzy_not,godel_norm,x1,product_s_implication,x13,x9,x13,x12,x9",3529,512,3017,50000,33080,17244.52802586556
14,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"product_s_implication(fuzzy_not(fuzzy_not(x3)), product_norm(fuzzy_not(fuzzy_not(x16)), fuzzy_not(x11)))","product_s_implication,fuzzy_not,fuzzy_not,x3,product_norm,fuzzy_not,fuzzy_not,x16,fuzzy_not,x11",4591,751,3840,50000,34665,17461.83170890808
12,0.13333333333333333,1.358909439414095,1.358909439414095,False,0.13333333333333333,0.13333333333333333,"product_s_implication(x8, fuzzy_not(fuzzy_not(fuzzy_not(godel_r_implication(fuzzy_not(fuzzy_not(x16)), lukasiewicz_s_implication(godel_conorm(x3, product_s_implication(x3, x8)), x3))))))","product_s_implication,x8,fuzzy_not,fuzzy_not,fuzzy_not,godel_r_implication,fuzzy_not,fuzzy_not,x16,lukasiewicz_s_implication,godel_conorm,x3,product_s_implication,x3,x8,x3",3382,417,2965,50000,33785,17566.931025266647
13,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"fuzzy_not(product_s_implication(lukasiewicz_norm(x1, x13), lukasiewicz_conorm(fuzzy_not(x4), fuzzy_not(lukasiewicz_norm(godel_norm(godel_conorm(fuzzy_not(fuzzy_not(x1)), x13), x9), x9)))))","fuzzy_not,product_s_implication,lukasiewicz_norm,x1,x13,lukasiewicz_conorm,fuzzy_not,x4,fuzzy_not,lukasiewicz_norm,godel_norm,godel_conorm,fuzzy_not,fuzzy_not,x1,x13,x9,x9",2713,387,2326,50000,33312,17606.26479935646
1,0.131852879944483,1.3765147438923344,1.3765147438923344,False,0.131852879944483,0.131852879944483,"fuzzy_not(lukasiewicz_r_implication(godel_r_implication(fuzzy_not(fuzzy_not(x8)), fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(fuzzy_not(lukasiewicz_r_implication(x16, x3))), x1))))), x13))","fuzzy_not,lukasiewicz_r_implication,godel_r_implication,fuzzy_not,fuzzy_not,x8,fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,x16,x3,x1,x13",3494,465,3029,50000,33941,17674.29829311371
4,0.14394278050961107,2.107134879739265,2.107134879739265,False,0.14394278050961107,0.14394278050961107,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_norm(x13, godel_norm(product_norm(product_norm(lukasiewicz_norm(x4, godel_norm(x1, x8)), godel_norm(x9, x1)), x9), x1))))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_norm,x13,godel_norm,product_norm,product_norm,lukasiewicz_norm,x4,godel_norm,x1,x8,godel_norm,x9,x1,x9,x1",3137,462,2675,50000,34099,17788.527114152912
2,0.13134940995382247,1.8628612801036948,1.8628612801036948,False,0.13134940995382247,0.13134940995382247,"lukasiewicz_norm(fuzzy_not(x7), fuzzy_not(fuzzy_not(lukasiewicz_norm(x16, godel_r_implication(x3, fuzzy_not(x3))))))","lukasiewicz_norm,fuzzy_not,x7,fuzzy_not,fuzzy_not,lukasiewicz_norm,x16,godel_r_implication,x3,fuzzy_not,x3",3067,418,2649,50000,33842,17809.098562002182
5,0.12660550458715594,3.142546849365713,3.142546849365713,False,0.12660550458715594,0.12660550458715594,"godel_norm(x9, fuzzy_not(godel_norm(x4, fuzzy_not(godel_norm(x11, godel_norm(lukasiewicz_norm(x13, lukasiewicz_r_implication(x1, x11)), lukasiewicz_norm(x11, x1)))))))","godel_norm,x9,fuzzy_not,godel_norm,x4,fuzzy_not,godel_norm,x11,godel_norm,lukasiewicz_norm,x13,lukasiewicz_r_implication,x1,x11,lukasiewicz_norm,x11,x1",3573,563,3010,50000,34407,17862.078702926636
0,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"godel_norm(x9, fuzzy_not(lukasiewicz_norm(x9, fuzzy_not(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(x13, fuzzy_not(godel_norm(fuzzy_not(fuzzy_not(fuzzy_not(x4))), fuzzy_not(fuzzy_not(x13))))), x13), x1)))))","godel_norm,x9,fuzzy_not,lukasiewicz_norm,x9,fuzzy_not,lukasiewicz_norm,lukasiewicz_norm,lukasiewicz_norm,x13,fuzzy_not,godel_norm,fuzzy_not,fuzzy_not,fuzzy_not,x4,fuzzy_not,fuzzy_not,x13,x13,x1",2662,521,2141,50000,33819,18034.000085592263
9,0.12616201859229748,1.4480362933351814,1.4480362933351814,False,0.12616201859229748,0.12616201859229748,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_norm(fuzzy_not(product_norm(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x3))))), fuzzy_not(x3))), godel_s_implication(x16, x10)))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_norm,fuzzy_not,product_norm,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,x3,fuzzy_not,x3,godel_s_implication,x16,x10",2864,551,2313,50000,34547,18060.701741695404
7,0.14394278050961107,2.107134879739265,2.107134879739265,False,0.14394278050961107,0.14394278050961107,"fuzzy_not(fuzzy_not(product_norm(godel_norm(lukasiewicz_norm(godel_norm(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(godel_norm(x13, lukasiewicz_norm(x9, x4)), godel_norm(x1, x13)), x4), x4), x8), x9), x4), x13), x4), x9)))","fuzzy_not,fuzzy_not,product_norm,godel_norm,lukasiewicz_norm,godel_norm,lukasiewicz_norm,lukasiewicz_norm,lukasiewicz_norm,lukasiewicz_norm,lukasiewicz_norm,godel_norm,x13,lukasiewicz_norm,x9,x4,godel_norm,x1,x13,x4,x4,x8,x9,x4,x13,x4,x9",2636,443,2193,50000,34272,18080.22374916077
15,0.14696485623003194,2.056519629364326,2.056519629364326,False,0.14696485623003194,0.14696485623003194,"fuzzy_not(godel_norm(fuzzy_not(godel_norm(godel_norm(godel_norm(godel_norm(x11, godel_norm(godel_norm(godel_norm(x11, godel_norm(x4, godel_norm(x1, lukasiewicz_norm(x10, x8)))), x11), x1)), x9), x13), x1)), x4))","fuzzy_not,godel_norm,fuzzy_not,godel_norm,godel_norm,godel_norm,godel_norm,x11,godel_norm,godel_norm,godel_norm,x11,godel_norm,x4,godel_norm,x1,lukasiewicz_norm,x10,x8,x11,x1,x9,x13,x1,x4",3965,635,3330,50000,35398,18114.599715709686
6,0.13199611776124234,2.9521894946947507,2.9521894946947507,False,0.13199611776124234,0.13199611776124234,"godel_norm(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(fuzzy_not(fuzzy_not(godel_norm(x3, x16)))), lukasiewicz_conorm(fuzzy_not(product_conorm(x3, x11)), x13)))), x16)","godel_norm,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,fuzzy_not,fuzzy_not,godel_norm,x3,x16,lukasiewicz_conorm,fuzzy_not,product_conorm,x3,x11,x13,x16",3011,443,2568,50000,34799,18140.73499107361
