r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
3.126665577292442322e-02,3.126665577292442322e-02,2.353367861360311508e-03,1.572938822209835052e-02,1.042199993133544922e+01,5.846153736114501953e+00,-1.000000000000000000e+00,3.480000000000000000e+02,5.000000000000000000e+00,3.480000000000000000e+02,5.000000000000000000e+00,3.164664506912231445e+00,2.192130327224731445e+00,1.379999965429306030e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.705030822753906250e+02,5.000000000000000000e+02
3.126665577292442322e-02,1.499564759433269501e-02,2.445801626890897751e-03,1.446968037635087967e-02,1.077999973297119141e+01,4.062500000000000000e+00,-1.000000000000000000e+00,3.590000000000000000e+02,5.000000000000000000e+00,3.430000000000000000e+02,4.000000000000000000e+00,3.179306030273437500e+00,2.380016565322875977e+00,1.340000033378601074e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.683341522216796875e+02,1.000000000000000000e+03
4.145707935094833374e-02,4.145707935094833374e-02,2.614737953990697861e-03,1.668648794293403625e-02,1.124400043487548828e+01,9.583333015441894531e+00,-1.000000000000000000e+00,3.630000000000000000e+02,7.000000000000000000e+00,3.470000000000000000e+02,6.000000000000000000e+00,3.163729667663574219e+00,2.169714927673339844e+00,1.420000046491622925e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.691247406005859375e+02,1.500000000000000000e+03
6.268221884965896606e-02,6.268221884965896606e-02,2.631396986544132233e-03,1.932677254080772400e-02,1.040400028228759766e+01,6.000000000000000000e+00,-1.000000000000000000e+00,3.400000000000000000e+02,5.000000000000000000e+00,3.230000000000000000e+02,4.000000000000000000e+00,3.175540208816528320e+00,1.978029608726501465e+00,1.400000005960464478e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.572082519531250000e+02,2.000000000000000000e+03
6.268221884965896606e-02,3.578528761863708496e-02,2.713195281103253365e-03,1.645148172974586487e-02,1.060999965667724609e+01,6.937500000000000000e+00,-1.000000000000000000e+00,3.530000000000000000e+02,8.000000000000000000e+00,3.370000000000000000e+02,7.000000000000000000e+00,3.167630910873413086e+00,2.353898048400878906e+00,1.400000005960464478e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.632247009277343750e+02,2.500000000000000000e+03
6.268221884965896606e-02,1.450407225638628006e-02,2.458982169628143311e-03,1.444040331989526749e-02,1.040600013732910156e+01,6.083333492279052734e+00,-1.000000000000000000e+00,3.420000000000000000e+02,6.000000000000000000e+00,3.260000000000000000e+02,5.000000000000000000e+00,3.191679239273071289e+00,2.213466405868530273e+00,1.500000059604644775e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.470839385986328125e+02,3.000000000000000000e+03
6.268221884965896606e-02,1.585038192570209503e-02,2.507882658392190933e-03,1.450912933796644211e-02,1.092800045013427734e+01,5.842105388641357422e+00,-1.000000000000000000e+00,3.560000000000000000e+02,7.000000000000000000e+00,3.400000000000000000e+02,6.000000000000000000e+00,3.169428110122680664e+00,2.446921586990356445e+00,1.860000044107437134e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.531924591064453125e+02,3.500000000000000000e+03
1.016652062535285950e-01,1.016652062535285950e-01,2.657804870977997780e-03,2.048083208501338959e-02,1.086999988555908203e+01,6.733333110809326172e+00,-1.000000000000000000e+00,3.580000000000000000e+02,7.000000000000000000e+00,3.420000000000000000e+02,6.000000000000000000e+00,3.166788339614868164e+00,2.315563440322875977e+00,1.400000005960464478e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.661783752441406250e+02,4.000000000000000000e+03
1.016652062535285950e-01,1.679966412484645844e-02,2.276316517964005470e-03,1.465302798897027969e-02,1.077400016784667969e+01,5.294117450714111328e+00,-1.000000000000000000e+00,3.580000000000000000e+02,7.000000000000000000e+00,3.420000000000000000e+02,6.000000000000000000e+00,3.150707960128784180e+00,2.389206409454345703e+00,1.500000059604644775e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.617532501220703125e+02,4.500000000000000000e+03
1.016652062535285950e-01,4.249258339405059814e-02,2.593007870018482208e-03,1.677277870476245880e-02,1.057400035858154297e+01,7.500000000000000000e+00,-1.000000000000000000e+00,3.520000000000000000e+02,6.000000000000000000e+00,3.350000000000000000e+02,5.000000000000000000e+00,3.166910409927368164e+00,2.154792308807373047e+00,1.500000059604644775e-01,0.000000000000000000e+00,1.443461608141660690e-02,1.611044311523437500e+02,5.000000000000000000e+03
