seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,error_true_divide,error_node_divide,error_node_invalid,n_samples,n_cached,t
14,0.12091121495327102,3.311997904968766,3.311997904968766,False,0.12091121495327102,0.12091121495327102,"fuzzy_not(lukasiewicz_s_implication(product_r_implication(x8, x9), fuzzy_not(fuzzy_not(lukasiewicz_r_implication(product_norm(fuzzy_not(fuzzy_not(x1)), fuzzy_not(fuzzy_not(x10))), fuzzy_not(x13))))))","fuzzy_not,lukasiewicz_s_implication,product_r_implication,x8,x9,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,product_norm,fuzzy_not,fuzzy_not,x1,fuzzy_not,fuzzy_not,x10,fuzzy_not,x13",7472,6480,992,50000,33086,15500.703786849976
11,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"fuzzy_not(product_s_implication(fuzzy_not(lukasiewicz_conorm(lukasiewicz_s_implication(x1, fuzzy_not(x9)), x16)), lukasiewicz_r_implication(product_s_implication(product_s_implication(x12, fuzzy_not(godel_conorm(x1, x12))), x4), x12)))","fuzzy_not,product_s_implication,fuzzy_not,lukasiewicz_conorm,lukasiewicz_s_implication,x1,fuzzy_not,x9,x16,lukasiewicz_r_implication,product_s_implication,product_s_implication,x12,fuzzy_not,godel_conorm,x1,x12,x4,x12",4702,3943,759,50000,32749,16484.986482620243
9,0.13243662700465594,1.845255975625456,1.845255975625456,False,0.13243662700465594,0.13243662700465594,"fuzzy_not(product_norm(lukasiewicz_conorm(product_norm(fuzzy_not(x8), x1), godel_conorm(godel_conorm(lukasiewicz_r_implication(x16, godel_r_implication(x4, godel_conorm(godel_conorm(x3, x3), x5))), x3), x7)), x3))","fuzzy_not,product_norm,lukasiewicz_conorm,product_norm,fuzzy_not,x8,x1,godel_conorm,godel_conorm,lukasiewicz_r_implication,x16,godel_r_implication,x4,godel_conorm,godel_conorm,x3,x3,x5,x3,x7,x3",5126,4389,737,50000,32905,16616.333131551743
10,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"fuzzy_not(fuzzy_not(product_norm(lukasiewicz_norm(x13, product_norm(product_norm(x9, x13), godel_norm(x4, x1))), x13)))","fuzzy_not,fuzzy_not,product_norm,lukasiewicz_norm,x13,product_norm,product_norm,x9,x13,godel_norm,x4,x1,x13",5986,5103,883,50000,33913,16674.67140841484
5,0.13484740951029098,1.341304134935856,1.341304134935856,False,0.13484740951029098,0.13484740951029098,"fuzzy_not(fuzzy_not(godel_norm(godel_s_implication(godel_norm(lukasiewicz_norm(godel_conorm(product_conorm(x8, x1), product_conorm(x13, product_s_implication(x10, x3))), x11), x10), x13), x16)))","fuzzy_not,fuzzy_not,godel_norm,godel_s_implication,godel_norm,lukasiewicz_norm,godel_conorm,product_conorm,x8,x1,product_conorm,x13,product_s_implication,x10,x3,x11,x10,x13,x16",4380,3756,624,50000,33181,16805.599598646164
0,0.12119039082108282,2.696912579760281,2.696912579760281,False,0.12119039082108282,0.12119039082108282,"lukasiewicz_norm(fuzzy_not(godel_conorm(fuzzy_not(godel_s_implication(x7, product_s_implication(fuzzy_not(fuzzy_not(x10)), x4))), fuzzy_not(product_norm(x13, x1)))), x10)","lukasiewicz_norm,fuzzy_not,godel_conorm,fuzzy_not,godel_s_implication,x7,product_s_implication,fuzzy_not,fuzzy_not,x10,x4,fuzzy_not,product_norm,x13,x1,x10",4675,4057,618,50000,33111,16816.802743196487
3,0.13981762917933133,2.1797567607120016,2.1797567607120016,False,0.13981762917933133,0.13981762917933133,"fuzzy_not(fuzzy_not(lukasiewicz_norm(x11, lukasiewicz_norm(godel_norm(x4, x9), product_norm(x13, x1)))))","fuzzy_not,fuzzy_not,lukasiewicz_norm,x11,lukasiewicz_norm,godel_norm,x4,x9,product_norm,x13,x1",4236,3699,537,50000,33008,16822.75022006035
12,0.12660550458715594,3.142546849365713,3.142546849365713,False,0.12660550458715594,0.12660550458715594,"lukasiewicz_norm(godel_norm(product_norm(x11, godel_conorm(fuzzy_not(x1), fuzzy_not(fuzzy_not(x9)))), fuzzy_not(godel_s_implication(x13, fuzzy_not(x1)))), godel_s_implication(x7, x7))","lukasiewicz_norm,godel_norm,product_norm,x11,godel_conorm,fuzzy_not,x1,fuzzy_not,fuzzy_not,x9,fuzzy_not,godel_s_implication,x13,fuzzy_not,x1,godel_s_implication,x7,x7",5156,4338,818,50000,33682,16847.12921142578
1,0.14609800362976408,2.070823939252896,2.070823939252896,False,0.14609800362976408,0.14609800362976408,"product_norm(x8, godel_s_implication(x9, lukasiewicz_norm(product_norm(x9, godel_norm(x13, product_norm(x11, godel_norm(x1, x9)))), x4)))","product_norm,x8,godel_s_implication,x9,lukasiewicz_norm,product_norm,x9,godel_norm,x13,product_norm,x11,godel_norm,x1,x9,x4",3722,3172,550,50000,33286,16932.600772857666
15,0.14798453892876864,1.6978115506202012,1.6978115506202012,False,0.14798453892876864,0.14798453892876864,"fuzzy_not(fuzzy_not(fuzzy_not(godel_conorm(product_norm(product_norm(x3, x2), fuzzy_not(x16)), fuzzy_not(product_norm(fuzzy_not(x16), x1))))))","fuzzy_not,fuzzy_not,fuzzy_not,godel_conorm,product_norm,product_norm,x3,x2,fuzzy_not,x16,fuzzy_not,product_norm,fuzzy_not,x16,x1",4024,3450,574,50000,33563,17049.8562028408
13,0.12475784579620305,2.4856489260214096,2.4856489260214096,False,0.12475784579620305,0.12475784579620305,"fuzzy_not(product_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x10)))), fuzzy_not(godel_norm(x4, godel_norm(godel_norm(godel_norm(godel_r_implication(x13, x4), x1), x8), x13)))))","fuzzy_not,product_s_implication,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,x10,fuzzy_not,godel_norm,x4,godel_norm,godel_norm,godel_norm,godel_r_implication,x13,x4,x1,x8,x13",4323,3654,669,50000,33782,17081.767057418823
6,0.14683153013910358,1.2147660089985108,1.2147660089985108,False,0.14683153013910358,0.14683153013910358,"product_s_implication(x3, lukasiewicz_norm(fuzzy_not(product_s_implication(x16, x9)), product_conorm(x6, fuzzy_not(fuzzy_not(fuzzy_not(x2))))))","product_s_implication,x3,lukasiewicz_norm,fuzzy_not,product_s_implication,x16,x9,product_conorm,x6,fuzzy_not,fuzzy_not,fuzzy_not,x2",5701,4921,780,50000,34589,17147.780883550644
8,0.12987012987012986,1.4007220375499132,1.4007220375499132,False,0.12987012987012986,0.12987012987012986,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_r_implication(x3, fuzzy_not(fuzzy_not(product_norm(fuzzy_not(lukasiewicz_conorm(godel_s_implication(fuzzy_not(x1), x9), x1)), x16))))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_r_implication,x3,fuzzy_not,fuzzy_not,product_norm,fuzzy_not,lukasiewicz_conorm,godel_s_implication,fuzzy_not,x1,x9,x1,x16",4092,3475,617,50000,33748,17148.670219898224
7,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"godel_norm(x4, fuzzy_not(lukasiewicz_r_implication(godel_norm(godel_norm(product_norm(x1, lukasiewicz_norm(godel_s_implication(lukasiewicz_r_implication(lukasiewicz_conorm(x1, fuzzy_not(fuzzy_not(fuzzy_not(x8)))), x4), x1), x13)), x9), x13), x12)))","godel_norm,x4,fuzzy_not,lukasiewicz_r_implication,godel_norm,godel_norm,product_norm,x1,lukasiewicz_norm,godel_s_implication,lukasiewicz_r_implication,lukasiewicz_conorm,x1,fuzzy_not,fuzzy_not,fuzzy_not,x8,x4,x1,x13,x9,x13,x12",3538,3006,532,50000,33791,17323.332944393158
4,0.13209955328653478,2.9929017613006788,2.9929017613006788,False,0.13209955328653478,0.13209955328653478,"lukasiewicz_norm(fuzzy_not(godel_norm(fuzzy_not(godel_norm(x8, product_norm(godel_norm(lukasiewicz_r_implication(x13, lukasiewicz_norm(fuzzy_not(lukasiewicz_norm(fuzzy_not(x1), x13)), x9)), x13), x11))), x9)), x1)","lukasiewicz_norm,fuzzy_not,godel_norm,fuzzy_not,godel_norm,x8,product_norm,godel_norm,lukasiewicz_r_implication,x13,lukasiewicz_norm,fuzzy_not,lukasiewicz_norm,fuzzy_not,x1,x13,x9,x13,x11,x9,x1",3177,2781,396,50000,33723,17515.776788949966
2,0.13766566908935443,2.21936869578804,2.21936869578804,False,0.13766566908935443,0.13766566908935443,"godel_norm(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(x9), product_s_implication(x13, fuzzy_not(x1)))))), x4)","godel_norm,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_conorm,fuzzy_not,x9,product_s_implication,x13,fuzzy_not,x1,x4",3142,2688,454,50000,34235,17602.490809440613
