r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
6.728424876928329468e-02,6.728424876928329468e-02,2.802948933094739914e-03,1.559420395642518997e-02,1.079699993133544922e+01,8.579999923706054688e+00,-1.000000000000000000e+00,6.900000000000000000e+02,2.600000000000000000e+01,6.900000000000000000e+02,2.600000000000000000e+01,3.186662435531616211e+00,2.884991168975830078e+00,1.560000032186508179e-01,0.000000000000000000e+00,7.554591167718172073e-03,3.279288330078125000e+02,1.000000000000000000e+03
6.728424876928329468e-02,2.801556512713432312e-02,2.713703084737062454e-03,1.369043625891208649e-02,1.009700012207031250e+01,8.600000381469726562e+00,-1.000000000000000000e+00,6.680000000000000000e+02,3.000000000000000000e+01,6.520000000000000000e+02,2.900000000000000000e+01,3.214623451232910156e+00,2.921163320541381836e+00,1.330000013113021851e-01,0.000000000000000000e+00,8.183559402823448181e-03,3.148536376953125000e+02,2.000000000000000000e+03
6.728424876928329468e-02,2.077062055468559265e-02,2.534139202907681465e-03,1.048723980784416199e-02,1.050599956512451172e+01,6.560975551605224609e+00,-1.000000000000000000e+00,6.640000000000000000e+02,3.300000000000000000e+01,6.480000000000000000e+02,3.100000000000000000e+01,3.200603961944580078e+00,3.068939447402954102e+00,1.330000013113021851e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.181637573242187500e+02,3.000000000000000000e+03
6.882169097661972046e-02,6.882169097661972046e-02,2.798362402245402336e-03,1.737955026328563690e-02,1.051799964904785156e+01,8.279999732971191406e+00,-1.000000000000000000e+00,6.720000000000000000e+02,3.100000000000000000e+01,6.550000000000000000e+02,3.000000000000000000e+01,3.188157081604003906e+00,2.874901533126831055e+00,1.360000073909759521e-01,0.000000000000000000e+00,9.839635342359542847e-03,3.214652099609375000e+02,4.000000000000000000e+03
6.882169097661972046e-02,1.560145337134599686e-02,2.459265291690826416e-03,1.105710119009017944e-02,1.058800029754638672e+01,7.014285564422607422e+00,-1.000000000000000000e+00,6.840000000000000000e+02,3.100000000000000000e+01,6.670000000000000000e+02,2.900000000000000000e+01,3.188811540603637695e+00,2.997690439224243164e+00,1.350000053644180298e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.127825012207031250e+02,5.000000000000000000e+03
6.882169097661972046e-02,5.806845799088478088e-02,2.713581314310431480e-03,1.657780073583126068e-02,1.060700035095214844e+01,8.020000457763671875e+00,-1.000000000000000000e+00,6.820000000000000000e+02,2.600000000000000000e+01,6.660000000000000000e+02,2.500000000000000000e+01,3.194279670715332031e+00,2.879672527313232422e+00,1.509999930858612061e-01,0.000000000000000000e+00,1.065719407051801682e-02,3.217337341308593750e+02,6.000000000000000000e+03
1.158690154552459717e-01,1.158690154552459717e-01,2.741903997957706451e-03,1.834878139197826385e-02,1.072500038146972656e+01,8.800000190734863281e+00,-1.000000000000000000e+00,6.880000000000000000e+02,2.700000000000000000e+01,6.720000000000000000e+02,2.600000000000000000e+01,3.197900056838989258e+00,2.887429952621459961e+00,1.389999985694885254e-01,0.000000000000000000e+00,9.209773503243923187e-03,3.280538330078125000e+02,7.000000000000000000e+03
1.158690154552459717e-01,4.444444552063941956e-02,2.697084797546267509e-03,1.484284084290266037e-02,1.088000011444091797e+01,9.039999961853027344e+00,-1.000000000000000000e+00,6.980000000000000000e+02,2.600000000000000000e+01,6.810000000000000000e+02,2.500000000000000000e+01,3.193430662155151367e+00,2.903468847274780273e+00,1.439999938011169434e-01,0.000000000000000000e+00,8.355564437806606293e-03,3.297876586914062500e+02,8.000000000000000000e+03
1.158690154552459717e-01,1.450407225638628006e-02,2.460326068103313446e-03,1.092637516558170319e-02,1.055900001525878906e+01,6.772727489471435547e+00,-1.000000000000000000e+00,6.910000000000000000e+02,3.100000000000000000e+01,6.730000000000000000e+02,2.900000000000000000e+01,3.198442220687866211e+00,3.038740634918212891e+00,1.379999965429306030e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.263788757324218750e+02,9.000000000000000000e+03
1.158690154552459717e-01,1.032119914889335632e-01,2.684192499145865440e-03,1.533741503953933716e-02,1.092899990081787109e+01,8.899999618530273438e+00,-1.000000000000000000e+00,7.060000000000000000e+02,2.900000000000000000e+01,6.870000000000000000e+02,2.800000000000000000e+01,3.211833477020263672e+00,2.888212919235229492e+00,1.550000011920928955e-01,0.000000000000000000e+00,8.355564437806606293e-03,3.207942199707031250e+02,1.000000000000000000e+04
1.158690154552459717e-01,2.765115909278392792e-02,2.487654564902186394e-03,1.145827490836381912e-02,1.051500034332275391e+01,6.955882549285888672e+00,-1.000000000000000000e+00,6.720000000000000000e+02,3.100000000000000000e+01,6.560000000000000000e+02,2.900000000000000000e+01,3.217241764068603516e+00,3.044312238693237305e+00,1.439999938011169434e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.182978210449218750e+02,1.100000000000000000e+04
1.158690154552459717e-01,3.908794745802879333e-02,2.546113217249512672e-03,1.236667018383741379e-02,1.034500026702880859e+01,5.866666793823242188e+00,-1.000000000000000000e+00,6.720000000000000000e+02,2.300000000000000000e+01,6.550000000000000000e+02,2.100000000000000000e+01,3.210362195968627930e+00,2.993817329406738281e+00,1.389999985694885254e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.177199096679687500e+02,1.200000000000000000e+04
1.158690154552459717e-01,9.554803371429443359e-02,2.339534927159547806e-03,1.332884095609188080e-02,1.066300010681152344e+01,6.480000019073486328e+00,-1.000000000000000000e+00,6.840000000000000000e+02,2.200000000000000000e+01,6.680000000000000000e+02,2.000000000000000000e+01,3.204538106918334961e+00,2.925123691558837891e+00,1.560000032186508179e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.165643615722656250e+02,1.300000000000000000e+04
1.158690154552459717e-01,1.692183688282966614e-02,2.629758324474096298e-03,1.106799487024545670e-02,1.062500000000000000e+01,7.528571605682373047e+00,-1.000000000000000000e+00,6.770000000000000000e+02,3.400000000000000000e+01,6.610000000000000000e+02,3.200000000000000000e+01,3.195781707763671875e+00,2.996827363967895508e+00,1.560000032186508179e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.113537902832031250e+02,1.400000000000000000e+04
1.158690154552459717e-01,4.444444552063941956e-02,2.352479845285415649e-03,1.128632575273513794e-02,1.104500007629394531e+01,8.983333587646484375e+00,-1.000000000000000000e+00,6.910000000000000000e+02,3.500000000000000000e+01,6.730000000000000000e+02,3.300000000000000000e+01,3.195054531097412109e+00,2.958894968032836914e+00,1.400000005960464478e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.283940124511718750e+02,1.500000000000000000e+04
1.345609128475189209e-01,1.345609128475189209e-01,2.625648863613605499e-03,1.286377757787704468e-02,1.064400005340576172e+01,6.078125000000000000e+00,-1.000000000000000000e+00,6.900000000000000000e+02,2.500000000000000000e+01,6.730000000000000000e+02,2.300000000000000000e+01,3.211146831512451172e+00,3.006665229797363281e+00,1.430000066757202148e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.198835449218750000e+02,1.600000000000000000e+04
1.345609128475189209e-01,9.997585415840148926e-02,2.575440797954797745e-03,1.304511819034814835e-02,1.041199970245361328e+01,6.218750000000000000e+00,-1.000000000000000000e+00,6.740000000000000000e+02,2.700000000000000000e+01,6.570000000000000000e+02,2.500000000000000000e+01,3.208307743072509766e+00,3.006023406982421875e+00,1.420000046491622925e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.190615539550781250e+02,1.700000000000000000e+04
1.345609128475189209e-01,1.573829725384712219e-02,2.562705660238862038e-03,1.092792674899101257e-02,1.072200012207031250e+01,9.590909004211425781e+00,-1.000000000000000000e+00,6.860000000000000000e+02,3.500000000000000000e+01,6.690000000000000000e+02,3.300000000000000000e+01,3.209882736206054688e+00,2.990272521972656250e+00,1.420000046491622925e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.281307678222656250e+02,1.800000000000000000e+04
1.345609128475189209e-01,3.531476110219955444e-02,2.456375630572438240e-03,1.350238360464572906e-02,1.023700046539306641e+01,1.092000007629394531e+01,-1.000000000000000000e+00,6.560000000000000000e+02,3.500000000000000000e+01,6.370000000000000000e+02,3.400000000000000000e+01,3.202659606933593750e+00,2.850111007690429688e+00,1.410000026226043701e-01,0.000000000000000000e+00,7.627672515809535980e-03,3.062551269531250000e+02,1.900000000000000000e+04
1.345609128475189209e-01,2.796591632068157196e-02,2.569110831245779991e-03,1.407361868768930435e-02,1.058300018310546875e+01,9.880000114440917969e+00,-1.000000000000000000e+00,6.700000000000000000e+02,3.300000000000000000e+01,6.530000000000000000e+02,3.100000000000000000e+01,3.216760158538818359e+00,2.864248752593994141e+00,1.340000033378601074e-01,0.000000000000000000e+00,8.391608484089374542e-03,3.225313110351562500e+02,2.000000000000000000e+04
1.345609128475189209e-01,8.039887994527816772e-02,2.715232549235224724e-03,1.538650598376989365e-02,1.062199974060058594e+01,7.780000209808349609e+00,-1.000000000000000000e+00,6.690000000000000000e+02,2.600000000000000000e+01,6.530000000000000000e+02,2.500000000000000000e+01,3.217932224273681641e+00,2.901751995086669922e+00,1.469999998807907104e-01,0.000000000000000000e+00,9.396900422871112823e-03,3.144976501464843750e+02,2.100000000000000000e+04
1.345609128475189209e-01,3.247540816664695740e-02,2.517345361411571503e-03,1.344894431531429291e-02,1.067000007629394531e+01,9.039999961853027344e+00,-1.000000000000000000e+00,6.860000000000000000e+02,3.100000000000000000e+01,6.690000000000000000e+02,3.000000000000000000e+01,3.201523065567016602e+00,2.896035671234130859e+00,1.430000066757202148e-01,0.000000000000000000e+00,8.218484930694103241e-03,3.249977722167968750e+02,2.200000000000000000e+04
1.345609128475189209e-01,7.897934317588806152e-02,2.467115176841616631e-03,1.197268441319465637e-02,1.027700042724609375e+01,6.068965435028076172e+00,-1.000000000000000000e+00,6.600000000000000000e+02,2.600000000000000000e+01,6.420000000000000000e+02,2.400000000000000000e+01,3.227057933807373047e+00,3.015414237976074219e+00,1.609999984502792358e-01,0.000000000000000000e+00,7.444186136126518250e-03,2.948892822265625000e+02,2.300000000000000000e+04
1.345609128475189209e-01,5.364200845360755920e-02,2.678716322407126427e-03,1.215806882828474045e-02,1.072299957275390625e+01,7.354430198669433594e+00,-1.000000000000000000e+00,6.840000000000000000e+02,3.500000000000000000e+01,6.650000000000000000e+02,3.300000000000000000e+01,3.210083246231079102e+00,3.045106172561645508e+00,1.570000052452087402e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.149653930664062500e+02,2.400000000000000000e+04
1.345609128475189209e-01,2.119272015988826752e-02,2.537134336307644844e-03,1.349516026675701141e-02,1.089400005340576172e+01,9.020000457763671875e+00,-1.000000000000000000e+00,6.940000000000000000e+02,2.900000000000000000e+01,6.750000000000000000e+02,2.800000000000000000e+01,3.224443197250366211e+00,2.899318218231201172e+00,1.589999943971633911e-01,0.000000000000000000e+00,8.257257752120494843e-03,3.166685485839843750e+02,2.500000000000000000e+04
1.345609128475189209e-01,9.389243274927139282e-02,2.738684415817260742e-03,1.642524264752864838e-02,1.084500026702880859e+01,9.739999771118164062e+00,-1.000000000000000000e+00,6.890000000000000000e+02,2.900000000000000000e+01,6.700000000000000000e+02,2.800000000000000000e+01,3.225138187408447266e+00,2.881427288055419922e+00,1.659999936819076538e-01,0.000000000000000000e+00,8.688815869390964508e-03,3.081295166015625000e+02,2.600000000000000000e+04
1.345609128475189209e-01,1.452149730175733566e-02,2.462737727910280228e-03,1.065784506499767303e-02,1.076599979400634766e+01,7.355263233184814453e+00,-1.000000000000000000e+00,6.800000000000000000e+02,3.500000000000000000e+01,6.620000000000000000e+02,3.300000000000000000e+01,3.223693609237670898e+00,3.058978796005249023e+00,1.539999991655349731e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.180562438964843750e+02,2.700000000000000000e+04
1.345609128475189209e-01,2.188997156918048859e-02,2.543549519032239914e-03,1.142884884029626846e-02,1.081499958038330078e+01,5.760563373565673828e+00,-1.000000000000000000e+00,6.810000000000000000e+02,2.800000000000000000e+01,6.630000000000000000e+02,2.500000000000000000e+01,3.229392766952514648e+00,3.034892320632934570e+00,1.739999949932098389e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.033293762207031250e+02,2.800000000000000000e+04
1.345609128475189209e-01,1.510859280824661255e-02,2.257097279652953148e-03,1.128785219043493271e-02,1.041300010681152344e+01,6.769230842590332031e+00,-1.000000000000000000e+00,6.650000000000000000e+02,2.300000000000000000e+01,6.480000000000000000e+02,2.100000000000000000e+01,3.228370666503906250e+00,2.937298297882080078e+00,1.609999984502792358e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.021447143554687500e+02,2.900000000000000000e+04
1.345609128475189209e-01,2.765115909278392792e-02,2.638218458741903305e-03,1.470975019037723541e-02,1.072700023651123047e+01,7.460000038146972656e+00,-1.000000000000000000e+00,6.700000000000000000e+02,2.300000000000000000e+01,6.540000000000000000e+02,2.200000000000000000e+01,3.227926969528198242e+00,2.933144569396972656e+00,1.589999943971633911e-01,0.000000000000000000e+00,8.461561053991317749e-03,3.076151733398437500e+02,3.000000000000000000e+04
1.345609128475189209e-01,4.853517189621925354e-02,2.569741103798151016e-03,1.086332090198993683e-02,1.030000019073486328e+01,5.782051086425781250e+00,-1.000000000000000000e+00,6.570000000000000000e+02,2.800000000000000000e+01,6.400000000000000000e+02,2.600000000000000000e+01,3.249453067779541016e+00,3.084381103515625000e+00,1.449999958276748657e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.039985656738281250e+02,3.100000000000000000e+04
1.345609128475189209e-01,3.895195573568344116e-02,2.565356204286217690e-03,1.418234594166278839e-02,1.068799972534179688e+01,8.079999923706054688e+00,-1.000000000000000000e+00,6.750000000000000000e+02,2.600000000000000000e+01,6.580000000000000000e+02,2.400000000000000000e+01,3.236648082733154297e+00,2.925391197204589844e+00,1.729999929666519165e-01,0.000000000000000000e+00,8.186736144125461578e-03,3.050690307617187500e+02,3.200000000000000000e+04
1.345609128475189209e-01,2.163721621036529541e-02,2.475297311320900917e-03,1.113976351916790009e-02,1.072099971771240234e+01,5.765625000000000000e+00,-1.000000000000000000e+00,6.770000000000000000e+02,2.500000000000000000e+01,6.610000000000000000e+02,2.300000000000000000e+01,3.232464790344238281e+00,3.027987003326416016e+00,1.599999964237213135e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.172707519531250000e+02,3.300000000000000000e+04
1.345609128475189209e-01,4.141595587134361267e-02,2.678049961104989052e-03,1.461133547127246857e-02,1.054699993133544922e+01,7.900000095367431641e+00,-1.000000000000000000e+00,6.690000000000000000e+02,2.400000000000000000e+01,6.520000000000000000e+02,2.300000000000000000e+01,3.239828824996948242e+00,2.920697212219238281e+00,1.379999965429306030e-01,0.000000000000000000e+00,1.092498190701007843e-02,3.196051635742187500e+02,3.400000000000000000e+04
1.345609128475189209e-01,7.285276055335998535e-02,2.838863758370280266e-03,1.674284972250461578e-02,1.047299957275390625e+01,6.380000114440917969e+00,-1.000000000000000000e+00,6.700000000000000000e+02,2.100000000000000000e+01,6.540000000000000000e+02,2.000000000000000000e+01,3.245470762252807617e+00,2.954459190368652344e+00,1.350000053644180298e-01,0.000000000000000000e+00,1.065719407051801682e-02,3.200793457031250000e+02,3.500000000000000000e+04
1.345609128475189209e-01,1.158690154552459717e-01,2.457805909216403961e-03,1.247496623545885086e-02,1.060200023651123047e+01,7.507246494293212891e+00,-1.000000000000000000e+00,6.680000000000000000e+02,3.300000000000000000e+01,6.500000000000000000e+02,3.100000000000000000e+01,3.252180576324462891e+00,3.032350301742553711e+00,1.469999998807907104e-01,0.000000000000000000e+00,7.444186136126518250e-03,3.120806884765625000e+02,3.600000000000000000e+04
