r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
0.1015701668302257,1,0,"fuzzy_not(lukasiewicz_s_implication(x13, lukasiewicz_conorm(product_norm(fuzzy_not(x1), fuzzy_not(godel_norm(x11, fuzzy_not(fuzzy_not(x15))))), fuzzy_not(x11))))","fuzzy_not,lukasiewicz_s_implication,x13,lukasiewicz_conorm,product_norm,fuzzy_not,x1,fuzzy_not,godel_norm,x11,fuzzy_not,fuzzy_not,x15,fuzzy_not,x11",4.029414062457017,4.029414062457017,False,0.1015701668302257,0.1015701668302257
0.1015701668302257,1,0,"product_norm(fuzzy_not(godel_conorm(x16, lukasiewicz_conorm(godel_norm(godel_norm(fuzzy_not(x13), fuzzy_not(x15)), x4), fuzzy_not(x1)))), x11)","product_norm,fuzzy_not,godel_conorm,x16,lukasiewicz_conorm,godel_norm,godel_norm,fuzzy_not,x13,fuzzy_not,x15,x4,fuzzy_not,x1,x11",4.029414062457017,4.029414062457017,False,0.1015701668302257,0.1015701668302257
0.09997585124366096,1,0,"fuzzy_not(godel_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(godel_r_implication(godel_norm(x13, x13), godel_s_implication(lukasiewicz_norm(godel_s_implication(x9, x1), x10), x15))))), x6))","fuzzy_not,godel_s_implication,fuzzy_not,fuzzy_not,fuzzy_not,godel_r_implication,godel_norm,x13,x13,godel_s_implication,lukasiewicz_norm,godel_s_implication,x9,x1,x10,x15,x6",4.100935611899864,4.100935611899864,False,0.09997585124366096,0.09997585124366096
0.09937590014402305,1,0,"lukasiewicz_norm(lukasiewicz_norm(x8, product_conorm(fuzzy_not(x2), x13)), fuzzy_not(fuzzy_not(x1)))","lukasiewicz_norm,lukasiewicz_norm,x8,product_conorm,fuzzy_not,x2,x13,fuzzy_not,fuzzy_not,x1",4.128443900147113,4.128443900147113,False,0.09937590014402305,0.09937590014402305
0.09937590014402305,1,0,"godel_norm(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_s_implication(fuzzy_not(x6), lukasiewicz_r_implication(x13, product_conorm(x16, fuzzy_not(x1))))))), x8)","godel_norm,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_s_implication,fuzzy_not,x6,lukasiewicz_r_implication,x13,product_conorm,x16,fuzzy_not,x1,x8",4.128443900147113,4.128443900147113,False,0.09937590014402305,0.09937590014402305
0.09845422116527944,1,0,"product_norm(product_conorm(fuzzy_not(fuzzy_not(fuzzy_not(x15))), x11), lukasiewicz_norm(godel_norm(lukasiewicz_norm(x13, product_r_implication(lukasiewicz_r_implication(fuzzy_not(x9), x2), x1)), x11), x11))","product_norm,product_conorm,fuzzy_not,fuzzy_not,fuzzy_not,x15,x11,lukasiewicz_norm,godel_norm,lukasiewicz_norm,x13,product_r_implication,lukasiewicz_r_implication,fuzzy_not,x9,x2,x1,x11,x11",4.171356829812821,4.171356829812821,False,0.09845422116527944,0.09845422116527944
0.08626797249426965,1,0,"fuzzy_not(fuzzy_not(lukasiewicz_conorm(lukasiewicz_norm(x1, godel_r_implication(fuzzy_not(fuzzy_not(x2)), fuzzy_not(product_s_implication(x13, lukasiewicz_r_implication(product_conorm(x3, x3), x6))))), x5)))","fuzzy_not,fuzzy_not,lukasiewicz_conorm,lukasiewicz_norm,x1,godel_r_implication,fuzzy_not,fuzzy_not,x2,fuzzy_not,product_s_implication,x13,lukasiewicz_r_implication,product_conorm,x3,x3,x6,x5",4.824953758567455,4.824953758567455,False,0.08626797249426965,0.08626797249426965
0.08408408408408409,1,0,"fuzzy_not(godel_s_implication(lukasiewicz_s_implication(x7, x4), lukasiewicz_norm(product_conorm(fuzzy_not(fuzzy_not(fuzzy_not(x16))), x3), product_s_implication(x1, x1))))","fuzzy_not,godel_s_implication,lukasiewicz_s_implication,x7,x4,lukasiewicz_norm,product_conorm,fuzzy_not,fuzzy_not,fuzzy_not,x16,x3,product_s_implication,x1,x1",1.678005583082182,1.678005583082182,False,0.08408408408408409,0.08408408408408409
0.0827338129496403,1,0,"godel_s_implication(x1, godel_norm(fuzzy_not(lukasiewicz_norm(fuzzy_not(x13), fuzzy_not(fuzzy_not(x1)))), godel_norm(product_conorm(x10, x10), x1)))","godel_s_implication,x1,godel_norm,fuzzy_not,lukasiewicz_norm,fuzzy_not,x13,fuzzy_not,fuzzy_not,x1,godel_norm,product_conorm,x10,x10,x1",5.050521722194896,5.050521722194896,False,0.0827338129496403,0.0827338129496403
0.07486209613869188,1,0,"lukasiewicz_s_implication(x9, godel_norm(lukasiewicz_s_implication(x7, fuzzy_not(x13)), godel_norm(fuzzy_not(lukasiewicz_conorm(product_norm(fuzzy_not(fuzzy_not(fuzzy_not(x4))), x4), x8)), x16)))","lukasiewicz_s_implication,x9,godel_norm,lukasiewicz_s_implication,x7,fuzzy_not,x13,godel_norm,fuzzy_not,lukasiewicz_conorm,product_norm,fuzzy_not,fuzzy_not,fuzzy_not,x4,x4,x8,x16",2.5835784321816155,2.5835784321816155,False,0.07486209613869188,0.07486209613869188
0.06987341772151898,1,0,"lukasiewicz_norm(x1, fuzzy_not(godel_s_implication(x13, fuzzy_not(product_conorm(x7, godel_r_implication(lukasiewicz_s_implication(x14, fuzzy_not(x16)), x8))))))","lukasiewicz_norm,x1,fuzzy_not,godel_s_implication,x13,fuzzy_not,product_conorm,x7,godel_r_implication,lukasiewicz_s_implication,x14,fuzzy_not,x16,x8",6.063927061223545,6.063927061223545,False,0.06987341772151898,0.06987341772151898
0.06862339809838776,1,0,"fuzzy_not(lukasiewicz_norm(x3, lukasiewicz_conorm(lukasiewicz_conorm(lukasiewicz_s_implication(fuzzy_not(godel_conorm(fuzzy_not(godel_norm(lukasiewicz_s_implication(godel_s_implication(product_conorm(x4, x12), product_norm(x16, x13)), x16), x16)), x5)), x1), x12), x13)))","fuzzy_not,lukasiewicz_norm,x3,lukasiewicz_conorm,lukasiewicz_conorm,lukasiewicz_s_implication,fuzzy_not,godel_conorm,fuzzy_not,godel_norm,lukasiewicz_s_implication,godel_s_implication,product_conorm,x4,x12,product_norm,x16,x13,x16,x16,x5,x1,x12,x13",7.43714081052621,7.43714081052621,False,0.06862339809838776,0.06862339809838776
0.06862339809838776,1,0,"godel_norm(fuzzy_not(x15), fuzzy_not(fuzzy_not(product_r_implication(x3, lukasiewicz_norm(x16, fuzzy_not(x1))))))","godel_norm,fuzzy_not,x15,fuzzy_not,fuzzy_not,product_r_implication,x3,lukasiewicz_norm,x16,fuzzy_not,x1",7.43714081052621,7.43714081052621,False,0.06862339809838776,0.06862339809838776
0.06728425158459288,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(product_s_implication(x13, lukasiewicz_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(godel_s_implication(lukasiewicz_conorm(godel_r_implication(fuzzy_not(x13), x9), x8), x1))))), x16)))))","fuzzy_not,fuzzy_not,fuzzy_not,product_s_implication,x13,lukasiewicz_s_implication,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,godel_s_implication,lukasiewicz_conorm,godel_r_implication,fuzzy_not,x13,x9,x8,x1,x16",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"product_norm(x1, lukasiewicz_r_implication(fuzzy_not(godel_norm(product_r_implication(x2, x11), lukasiewicz_norm(x15, product_s_implication(x5, product_conorm(x10, x13))))), x13))","product_norm,x1,lukasiewicz_r_implication,fuzzy_not,godel_norm,product_r_implication,x2,x11,lukasiewicz_norm,x15,product_s_implication,x5,product_conorm,x10,x13,x13",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"product_norm(x1, fuzzy_not(product_s_implication(lukasiewicz_s_implication(product_s_implication(fuzzy_not(lukasiewicz_s_implication(product_norm(x6, godel_r_implication(x11, product_r_implication(x10, x5))), x5)), x4), x13), x12)))","product_norm,x1,fuzzy_not,product_s_implication,lukasiewicz_s_implication,product_s_implication,fuzzy_not,lukasiewicz_s_implication,product_norm,x6,godel_r_implication,x11,product_r_implication,x10,x5,x5,x4,x13,x12",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"godel_norm(x13, godel_conorm(fuzzy_not(fuzzy_not(x1)), lukasiewicz_r_implication(lukasiewicz_s_implication(fuzzy_not(x7), godel_conorm(x8, lukasiewicz_norm(fuzzy_not(product_norm(x15, x8)), x4))), x14)))","godel_norm,x13,godel_conorm,fuzzy_not,fuzzy_not,x1,lukasiewicz_r_implication,lukasiewicz_s_implication,fuzzy_not,x7,godel_conorm,x8,lukasiewicz_norm,fuzzy_not,product_norm,x15,x8,x4,x14",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"fuzzy_not(godel_s_implication(godel_conorm(x6, lukasiewicz_s_implication(x10, x13)), fuzzy_not(fuzzy_not(fuzzy_not(x1)))))","fuzzy_not,godel_s_implication,godel_conorm,x6,lukasiewicz_s_implication,x10,x13,fuzzy_not,fuzzy_not,fuzzy_not,x1",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"fuzzy_not(fuzzy_not(product_norm(lukasiewicz_norm(godel_s_implication(x5, fuzzy_not(product_s_implication(x12, product_norm(lukasiewicz_conorm(fuzzy_not(fuzzy_not(x4)), x13), x12)))), x1), x13)))","fuzzy_not,fuzzy_not,product_norm,lukasiewicz_norm,godel_s_implication,x5,fuzzy_not,product_s_implication,x12,product_norm,lukasiewicz_conorm,fuzzy_not,fuzzy_not,x4,x13,x12,x1,x13",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"product_norm(product_conorm(x16, product_norm(x1, x13)), fuzzy_not(product_norm(lukasiewicz_norm(fuzzy_not(fuzzy_not(x16)), x16), x1)))","product_norm,product_conorm,x16,product_norm,x1,x13,fuzzy_not,product_norm,lukasiewicz_norm,fuzzy_not,fuzzy_not,x16,x16,x1",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"fuzzy_not(godel_conorm(fuzzy_not(x1), fuzzy_not(product_norm(x13, x1))))","fuzzy_not,godel_conorm,fuzzy_not,x1,fuzzy_not,product_norm,x13,x1",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"lukasiewicz_norm(x1, fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x13)))))","lukasiewicz_norm,x1,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,x13",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"lukasiewicz_norm(x1, fuzzy_not(lukasiewicz_s_implication(fuzzy_not(x12), fuzzy_not(godel_norm(x13, fuzzy_not(fuzzy_not(x13)))))))","lukasiewicz_norm,x1,fuzzy_not,lukasiewicz_s_implication,fuzzy_not,x12,fuzzy_not,godel_norm,x13,fuzzy_not,fuzzy_not,x13",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"lukasiewicz_norm(godel_s_implication(godel_s_implication(product_conorm(x5, fuzzy_not(fuzzy_not(lukasiewicz_r_implication(fuzzy_not(product_norm(x5, godel_norm(fuzzy_not(fuzzy_not(godel_r_implication(x16, x4))), x1))), x11)))), x1), x1), x13)","lukasiewicz_norm,godel_s_implication,godel_s_implication,product_conorm,x5,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,fuzzy_not,product_norm,x5,godel_norm,fuzzy_not,fuzzy_not,godel_r_implication,x16,x4,x1,x11,x1,x1,x13",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06728425158459288,1,0,"godel_norm(x13, fuzzy_not(fuzzy_not(x1)))","godel_norm,x13,fuzzy_not,fuzzy_not,x1",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
0.06617903169627308,1,0,"lukasiewicz_conorm(product_norm(fuzzy_not(fuzzy_not(fuzzy_not(godel_s_implication(fuzzy_not(x2), x10)))), x16), fuzzy_not(x9))","lukasiewicz_conorm,product_norm,fuzzy_not,fuzzy_not,fuzzy_not,godel_s_implication,fuzzy_not,x2,x10,x16,fuzzy_not,x9",2.9499888316349705,2.9499888316349705,False,0.06617903169627308,0.06617903169627308
0.06567576909782233,1,0,"product_r_implication(godel_s_implication(fuzzy_not(fuzzy_not(x16)), x10), fuzzy_not(x10))","product_r_implication,godel_s_implication,fuzzy_not,fuzzy_not,x16,x10,fuzzy_not,x10",2.9741961252925497,2.9741961252925497,False,0.06567576909782233,0.06567576909782233
