seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,error_true_divide,error_node_divide,error_node_invalid,n_samples,n_cached,t
2,0.1280323450134771,1.4238289996776023,1.4238289996776023,False,0.1280323450134771,0.1280323450134771,"fuzzy_not(lukasiewicz_norm(lukasiewicz_conorm(fuzzy_not(fuzzy_not(lukasiewicz_r_implication(fuzzy_not(godel_r_implication(product_r_implication(x3, x16), x6)), x8))), x10), x3))","fuzzy_not,lukasiewicz_norm,lukasiewicz_conorm,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,fuzzy_not,godel_r_implication,product_r_implication,x3,x16,x6,x8,x10,x3",7391,6208,1183,50000,32853,15663.164385080338
13,0.13456090651558072,1.3446051295255257,1.3446051295255257,False,0.13456090651558072,0.13456090651558072,"product_r_implication(fuzzy_not(fuzzy_not(product_conorm(x11, fuzzy_not(fuzzy_not(godel_s_implication(fuzzy_not(fuzzy_not(x16)), x3)))))), fuzzy_not(product_conorm(x2, x10)))","product_r_implication,fuzzy_not,fuzzy_not,product_conorm,x11,fuzzy_not,fuzzy_not,godel_s_implication,fuzzy_not,fuzzy_not,x16,x3,fuzzy_not,product_conorm,x2,x10",7685,6447,1238,50000,32942,15722.267958641052
3,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"fuzzy_not(fuzzy_not(lukasiewicz_conorm(x6, fuzzy_not(product_s_implication(x16, fuzzy_not(product_s_implication(x11, fuzzy_not(lukasiewicz_conorm(x6, x3)))))))))","fuzzy_not,fuzzy_not,lukasiewicz_conorm,x6,fuzzy_not,product_s_implication,x16,fuzzy_not,product_s_implication,x11,fuzzy_not,lukasiewicz_conorm,x6,x3",7091,5965,1126,50000,32690,15723.295962095259
10,0.124101894186806,1.4755445815824304,1.4755445815824304,False,0.124101894186806,0.124101894186806,"fuzzy_not(lukasiewicz_norm(x8, product_conorm(x3, product_s_implication(godel_norm(lukasiewicz_conorm(fuzzy_not(fuzzy_not(godel_r_implication(product_s_implication(product_s_implication(x16, x6), x4), x2))), x9), x16), x8))))","fuzzy_not,lukasiewicz_norm,x8,product_conorm,x3,product_s_implication,godel_norm,lukasiewicz_conorm,fuzzy_not,fuzzy_not,godel_r_implication,product_s_implication,product_s_implication,x16,x6,x4,x2,x9,x16,x8",7192,6066,1126,50000,32987,15832.144625425339
1,0.12660550458715594,3.142546849365713,3.142546849365713,False,0.12660550458715594,0.12660550458715594,"godel_norm(fuzzy_not(lukasiewicz_s_implication(x9, godel_r_implication(godel_conorm(fuzzy_not(fuzzy_not(x8)), x9), fuzzy_not(fuzzy_not(fuzzy_not(product_norm(x11, x1))))))), x13)","godel_norm,fuzzy_not,lukasiewicz_s_implication,x9,godel_r_implication,godel_conorm,fuzzy_not,fuzzy_not,x8,x9,fuzzy_not,fuzzy_not,fuzzy_not,product_norm,x11,x1,x13",7192,6101,1091,50000,32984,15839.101337194443
9,0.1015701668302257,4.029414062457017,4.029414062457017,False,0.1015701668302257,0.1015701668302257,"fuzzy_not(lukasiewicz_s_implication(x13, lukasiewicz_conorm(product_norm(fuzzy_not(x1), fuzzy_not(godel_norm(x11, fuzzy_not(fuzzy_not(x15))))), fuzzy_not(x11))))","fuzzy_not,lukasiewicz_s_implication,x13,lukasiewicz_conorm,product_norm,fuzzy_not,x1,fuzzy_not,godel_norm,x11,fuzzy_not,fuzzy_not,x15,fuzzy_not,x11",7397,6228,1169,50000,33101,15852.031649351118
0,0.1284013605442177,2.2556796362744085,2.2556796362744085,False,0.1284013605442177,0.1284013605442177,"lukasiewicz_s_implication(lukasiewicz_r_implication(fuzzy_not(fuzzy_not(fuzzy_not(product_r_implication(lukasiewicz_conorm(x14, x11), lukasiewicz_s_implication(x16, x3))))), x10), fuzzy_not(x3))","lukasiewicz_s_implication,lukasiewicz_r_implication,fuzzy_not,fuzzy_not,fuzzy_not,product_r_implication,lukasiewicz_conorm,x14,x11,lukasiewicz_s_implication,x16,x3,x10,fuzzy_not,x3",6687,5620,1067,50000,32668,15877.918383121492
14,0.13134940995382247,1.8628612801036948,1.8628612801036948,False,0.13134940995382247,0.13134940995382247,"godel_norm(lukasiewicz_r_implication(fuzzy_not(fuzzy_not(x10)), x16), fuzzy_not(product_norm(x3, fuzzy_not(fuzzy_not(godel_s_implication(fuzzy_not(product_norm(x7, lukasiewicz_r_implication(x10, x16))), x3))))))","godel_norm,lukasiewicz_r_implication,fuzzy_not,fuzzy_not,x10,x16,fuzzy_not,product_norm,x3,fuzzy_not,fuzzy_not,godel_s_implication,fuzzy_not,product_norm,x7,lukasiewicz_r_implication,x10,x16,x3",7055,5988,1067,50000,32778,15878.04930305481
12,0.12660550458715594,3.142546849365713,3.142546849365713,False,0.12660550458715594,0.12660550458715594,"fuzzy_not(lukasiewicz_conorm(lukasiewicz_s_implication(godel_norm(x13, x9), fuzzy_not(godel_r_implication(product_s_implication(lukasiewicz_r_implication(x5, lukasiewicz_r_implication(x4, x5)), x1), x11))), fuzzy_not(x1)))","fuzzy_not,lukasiewicz_conorm,lukasiewicz_s_implication,godel_norm,x13,x9,fuzzy_not,godel_r_implication,product_s_implication,lukasiewicz_r_implication,x5,lukasiewicz_r_implication,x4,x5,x1,x11,fuzzy_not,x1",7036,5889,1147,50000,32989,15910.276472330093
7,0.12660550458715594,3.142546849365713,3.142546849365713,False,0.12660550458715594,0.12660550458715594,"product_norm(lukasiewicz_conorm(x9, x15), product_norm(lukasiewicz_norm(godel_r_implication(fuzzy_not(product_norm(product_norm(x10, product_conorm(product_norm(x13, fuzzy_not(x13)), product_s_implication(x3, x16))), x6)), x11), x13), x1))","product_norm,lukasiewicz_conorm,x9,x15,product_norm,lukasiewicz_norm,godel_r_implication,fuzzy_not,product_norm,product_norm,x10,product_conorm,product_norm,x13,fuzzy_not,x13,product_s_implication,x3,x16,x6,x11,x13,x1",6730,5724,1006,50000,32849,15922.363214969637
