seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,error_true_divide,error_node_divide,error_node_invalid,n_samples,n_cached,t
10,0.1665043816942551,1.883767579171604,1.883767579171604,False,0.1665043816942551,0.1665043816942551,"product_norm(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_norm(x3, x2)))), product_norm(x1, product_norm(product_norm(x9, lukasiewicz_norm(x11, x10)), x13)))","product_norm,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_norm,x3,x2,product_norm,x1,product_norm,product_norm,x9,lukasiewicz_norm,x11,x10,x13",7723,6874,849,50000,33027,15263.74384856224
14,0.1259946949602122,1.4502369563949613,1.4502369563949613,False,0.1259946949602122,0.1259946949602122,"lukasiewicz_r_implication(lukasiewicz_s_implication(fuzzy_not(x3), godel_r_implication(x16, x9)), fuzzy_not(fuzzy_not(fuzzy_not(x4))))","lukasiewicz_r_implication,lukasiewicz_s_implication,fuzzy_not,x3,godel_r_implication,x16,x9,fuzzy_not,fuzzy_not,fuzzy_not,x4",6335,5446,889,50000,33281,16034.55595064163
5,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"product_s_implication(x3, fuzzy_not(product_s_implication(fuzzy_not(product_s_implication(x16, x12)), x11)))","product_s_implication,x3,fuzzy_not,product_s_implication,fuzzy_not,product_s_implication,x16,x12,x11",4880,4156,724,50000,32691,16331.207668781282
11,0.1280323450134771,1.4238289996776023,1.4238289996776023,False,0.1280323450134771,0.1280323450134771,"lukasiewicz_r_implication(x8, fuzzy_not(lukasiewicz_r_implication(fuzzy_not(x10), lukasiewicz_r_implication(godel_s_implication(lukasiewicz_conorm(fuzzy_not(x16), x3), fuzzy_not(product_s_implication(x6, x16))), x12))))","lukasiewicz_r_implication,x8,fuzzy_not,lukasiewicz_r_implication,fuzzy_not,x10,lukasiewicz_r_implication,godel_s_implication,lukasiewicz_conorm,fuzzy_not,x16,x3,fuzzy_not,product_s_implication,x6,x16,x12",5607,4656,951,50000,33276,16516.613110303882
3,0.12101724641917568,3.3086969103790964,3.3086969103790964,False,0.12101724641917568,0.12101724641917568,"fuzzy_not(lukasiewicz_r_implication(fuzzy_not(x15), lukasiewicz_r_implication(x9, lukasiewicz_conorm(x16, lukasiewicz_r_implication(lukasiewicz_norm(x13, x8), fuzzy_not(x1))))))","fuzzy_not,lukasiewicz_r_implication,fuzzy_not,x15,lukasiewicz_r_implication,x9,lukasiewicz_conorm,x16,lukasiewicz_r_implication,lukasiewicz_norm,x13,x8,fuzzy_not,x1",4813,4213,600,50000,33078,16655.082715272903
0,0.13268156424581007,1.3666117601233247,1.3666117601233247,False,0.13268156424581007,0.13268156424581007,"lukasiewicz_conorm(godel_norm(fuzzy_not(lukasiewicz_conorm(x8, x3)), x16), fuzzy_not(x1))","lukasiewicz_conorm,godel_norm,fuzzy_not,lukasiewicz_conorm,x8,x3,x16,fuzzy_not,x1",5878,5044,834,50000,33871,16670.31372976303
6,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"godel_norm(lukasiewicz_conorm(x7, x16), fuzzy_not(godel_r_implication(fuzzy_not(lukasiewicz_conorm(x3, x11)), fuzzy_not(x16))))","godel_norm,lukasiewicz_conorm,x7,x16,fuzzy_not,godel_r_implication,fuzzy_not,lukasiewicz_conorm,x3,x11,fuzzy_not,x16",5767,4983,784,50000,34382,16778.095953226093
9,0.1259946949602122,1.4502369563949613,1.4502369563949613,False,0.1259946949602122,0.1259946949602122,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_r_implication(x3, fuzzy_not(lukasiewicz_conorm(godel_conorm(fuzzy_not(fuzzy_not(fuzzy_not(x16))), x4), x9)))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_r_implication,x3,fuzzy_not,lukasiewicz_conorm,godel_conorm,fuzzy_not,fuzzy_not,fuzzy_not,x16,x4,x9",4130,3561,569,50000,33042,16781.38100385666
15,0.1259946949602122,1.4502369563949613,1.4502369563949613,False,0.1259946949602122,0.1259946949602122,"fuzzy_not(godel_s_implication(x16, lukasiewicz_norm(x3, lukasiewicz_conorm(x8, x11))))","fuzzy_not,godel_s_implication,x16,lukasiewicz_norm,x3,lukasiewicz_conorm,x8,x11",4564,3948,616,50000,33552,16831.447773456573
8,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(x11), fuzzy_not(product_s_implication(fuzzy_not(x3), fuzzy_not(x16))))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,x11,fuzzy_not,product_s_implication,fuzzy_not,x3,fuzzy_not,x16",4729,4075,654,50000,33654,16831.762781620026
