r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
2.796591632068157196e-02,2.796591632068157196e-02,2.562823239713907242e-03,1.307935919612646103e-02,1.077600002288818359e+01,1.064000034332275391e+01,-1.000000000000000000e+00,3.540000000000000000e+02,1.800000000000000000e+01,3.540000000000000000e+02,1.800000000000000000e+01,3.168338298797607422e+00,2.536289453506469727e+00,1.239999979734420776e-01,0.000000000000000000e+00,8.257257752120494843e-03,1.751497344970703125e+02,5.000000000000000000e+02
5.144868791103363037e-02,5.144868791103363037e-02,2.750167157500982285e-03,1.465809438377618790e-02,1.000399971008300781e+01,9.159999847412109375e+00,-1.000000000000000000e+00,3.350000000000000000e+02,1.500000000000000000e+01,3.190000000000000000e+02,1.400000000000000000e+01,3.177959680557250977e+00,2.548510551452636719e+00,1.019999980926513672e-01,0.000000000000000000e+00,8.094711229205131531e-03,1.617668914794921875e+02,1.000000000000000000e+03
5.144868791103363037e-02,2.372234128415584564e-02,2.782710827887058258e-03,1.512668374925851822e-02,1.002400016784667969e+01,7.199999809265136719e+00,-1.000000000000000000e+00,3.370000000000000000e+02,1.000000000000000000e+01,3.210000000000000000e+02,9.000000000000000000e+00,3.170026779174804688e+00,2.641523599624633789e+00,1.439999938011169434e-01,0.000000000000000000e+00,1.145860739052295685e-02,1.521619720458984375e+02,1.500000000000000000e+03
5.144868791103363037e-02,1.443461608141660690e-02,2.210281090810894966e-03,9.920390322804450989e-03,1.048400020599365234e+01,8.250000000000000000e+00,-1.000000000000000000e+00,3.460000000000000000e+02,1.700000000000000000e+01,3.300000000000000000e+02,1.500000000000000000e+01,3.167058706283569336e+00,2.659288644790649414e+00,1.620000004768371582e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.538834228515625000e+02,2.000000000000000000e+03
5.144868791103363037e-02,4.119813069701194763e-02,2.692449139431118965e-03,1.505263615399599075e-02,1.018000030517578125e+01,8.159999847412109375e+00,-1.000000000000000000e+00,3.310000000000000000e+02,1.300000000000000000e+01,3.140000000000000000e+02,1.200000000000000000e+01,3.182076692581176758e+00,2.585974216461181641e+00,1.220000013709068298e-01,0.000000000000000000e+00,8.355564437806606293e-03,1.561957702636718750e+02,2.500000000000000000e+03
5.144868791103363037e-02,1.450407225638628006e-02,2.490386832505464554e-03,1.212321408092975616e-02,1.041600036621093750e+01,1.076000022888183594e+01,-1.000000000000000000e+00,3.400000000000000000e+02,1.700000000000000000e+01,3.230000000000000000e+02,1.600000000000000000e+01,3.168391466140747070e+00,2.527951240539550781e+00,1.280000060796737671e-01,0.000000000000000000e+00,7.513235323131084442e-03,1.581277923583984375e+02,3.000000000000000000e+03
5.144868791103363037e-02,2.796591632068157196e-02,2.736238529905676842e-03,1.528295408934354782e-02,1.058399963378906250e+01,7.159999847412109375e+00,-1.000000000000000000e+00,3.480000000000000000e+02,1.300000000000000000e+01,3.320000000000000000e+02,1.200000000000000000e+01,3.156763315200805664e+00,2.598121643066406250e+00,1.519999951124191284e-01,0.000000000000000000e+00,1.225882582366466522e-02,1.584462890625000000e+02,3.500000000000000000e+03
5.144868791103363037e-02,3.923188149929046631e-02,2.565424656495451927e-03,1.458729617297649384e-02,1.035000038146972656e+01,8.960000038146972656e+00,-1.000000000000000000e+00,3.480000000000000000e+02,1.500000000000000000e+01,3.320000000000000000e+02,1.400000000000000000e+01,3.172623872756958008e+00,2.577775239944458008e+00,1.360000073909759521e-01,0.000000000000000000e+00,9.231242351233959198e-03,1.599236297607421875e+02,4.000000000000000000e+03
5.144868791103363037e-02,2.796591632068157196e-02,2.632162533700466156e-03,1.133176404982805252e-02,1.060599994659423828e+01,7.694444656372070312e+00,-1.000000000000000000e+00,3.470000000000000000e+02,1.900000000000000000e+01,3.310000000000000000e+02,1.700000000000000000e+01,3.171773672103881836e+00,2.823575973510742188e+00,1.480000019073486328e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.586933898925781250e+02,4.500000000000000000e+03
6.728424876928329468e-02,6.728424876928329468e-02,2.569538308307528496e-03,1.317910756915807724e-02,1.050000000000000000e+01,6.083333492279052734e+00,-1.000000000000000000e+00,3.470000000000000000e+02,1.600000000000000000e+01,3.310000000000000000e+02,1.400000000000000000e+01,3.171375274658203125e+00,2.800945043563842773e+00,1.480000019073486328e-01,0.000000000000000000e+00,7.444186136126518250e-03,1.573154144287109375e+02,5.000000000000000000e+03
