seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,error_true_divide,error_node_divide,error_node_invalid,n_samples,n_cached,t
10,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"godel_norm(fuzzy_not(lukasiewicz_r_implication(product_norm(x9, x1), lukasiewicz_r_implication(lukasiewicz_r_implication(fuzzy_not(x13), product_s_implication(product_s_implication(godel_norm(x15, product_norm(x10, x3)), x13), x13)), x15))), x4)","godel_norm,fuzzy_not,lukasiewicz_r_implication,product_norm,x9,x1,lukasiewicz_r_implication,lukasiewicz_r_implication,fuzzy_not,x13,product_s_implication,product_s_implication,godel_norm,x15,product_norm,x10,x3,x13,x13,x15,x4",7955,6897,1058,50000,34741,16389.253751993183
14,0.12339819648789747,2.032312335706748,2.032312335706748,False,0.12339819648789747,0.12339819648789747,"fuzzy_not(fuzzy_not(lukasiewicz_r_implication(x3, fuzzy_not(lukasiewicz_s_implication(product_norm(x16, fuzzy_not(x10)), lukasiewicz_norm(godel_conorm(product_norm(x4, x16), x8), x7))))))","fuzzy_not,fuzzy_not,lukasiewicz_r_implication,x3,fuzzy_not,lukasiewicz_s_implication,product_norm,x16,fuzzy_not,x10,lukasiewicz_norm,godel_conorm,product_norm,x4,x16,x8,x7",5837,4997,840,50000,33568,16586.403816223145
11,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"fuzzy_not(godel_s_implication(fuzzy_not(fuzzy_not(x16)), fuzzy_not(lukasiewicz_s_implication(fuzzy_not(x13), fuzzy_not(product_norm(x11, x3))))))","fuzzy_not,godel_s_implication,fuzzy_not,fuzzy_not,x16,fuzzy_not,lukasiewicz_s_implication,fuzzy_not,x13,fuzzy_not,product_norm,x11,x3",6427,5739,688,50000,34174,16679.695026397705
8,0.12898845892735913,1.4117253528488127,1.4117253528488127,False,0.12898845892735913,0.12898845892735913,"fuzzy_not(fuzzy_not(lukasiewicz_norm(x16, fuzzy_not(fuzzy_not(lukasiewicz_r_implication(x1, lukasiewicz_norm(fuzzy_not(x3), fuzzy_not(x9))))))))","fuzzy_not,fuzzy_not,lukasiewicz_norm,x16,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,x1,lukasiewicz_norm,fuzzy_not,x3,fuzzy_not,x9",3838,3353,485,50000,33261,17031.944761276245
12,0.12332439678284185,2.5186588719181078,2.5186588719181078,False,0.12332439678284185,0.12332439678284185,"fuzzy_not(lukasiewicz_r_implication(fuzzy_not(fuzzy_not(x4)), lukasiewicz_r_implication(lukasiewicz_r_implication(x1, lukasiewicz_norm(x8, x13)), lukasiewicz_norm(x13, fuzzy_not(x1)))))","fuzzy_not,lukasiewicz_r_implication,fuzzy_not,fuzzy_not,x4,lukasiewicz_r_implication,lukasiewicz_r_implication,x1,lukasiewicz_norm,x8,x13,lukasiewicz_norm,x13,fuzzy_not,x1",4790,3954,836,50000,33753,17044.289207458496
3,0.11586901763224182,3.4759473029223686,3.4759473029223686,False,0.11586901763224182,0.11586901763224182,"fuzzy_not(godel_s_implication(product_norm(x13, x9), lukasiewicz_r_implication(x1, fuzzy_not(fuzzy_not(x16)))))","fuzzy_not,godel_s_implication,product_norm,x13,x9,lukasiewicz_r_implication,x1,fuzzy_not,fuzzy_not,x16",4057,3446,611,50000,33366,17091.891518354416
0,0.1312202852614897,3.016008723428368,3.016008723428368,False,0.1312202852614897,0.1312202852614897,"fuzzy_not(godel_r_implication(x4, fuzzy_not(godel_norm(x13, godel_norm(x9, godel_norm(godel_norm(x1, x11), x10))))))","fuzzy_not,godel_r_implication,x4,fuzzy_not,godel_norm,x13,godel_norm,x9,godel_norm,godel_norm,x1,x11,x10",3688,3239,449,50000,33146,17183.246482849117
1,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"godel_norm(fuzzy_not(fuzzy_not(x4)), fuzzy_not(godel_conorm(fuzzy_not(x13), lukasiewicz_r_implication(x1, godel_r_implication(x1, fuzzy_not(x9))))))","godel_norm,fuzzy_not,fuzzy_not,x4,fuzzy_not,godel_conorm,fuzzy_not,x13,lukasiewicz_r_implication,x1,godel_r_implication,x1,fuzzy_not,x9",3595,3134,461,50000,33420,17215.274699211117
5,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(product_norm(lukasiewicz_r_implication(x16, x3), fuzzy_not(godel_s_implication(x11, lukasiewicz_conorm(lukasiewicz_norm(x16, x12), x5))))), x12))","fuzzy_not,lukasiewicz_s_implication,fuzzy_not,product_norm,lukasiewicz_r_implication,x16,x3,fuzzy_not,godel_s_implication,x11,lukasiewicz_conorm,lukasiewicz_norm,x16,x12,x5,x12",3924,3355,569,50000,33445,17244.978979825974
13,0.14330218068535827,2.1181381950381644,2.1181381950381644,False,0.14330218068535827,0.14330218068535827,"fuzzy_not(godel_norm(fuzzy_not(product_norm(product_norm(x9, product_norm(product_norm(product_norm(product_norm(product_norm(x10, product_norm(x1, x13)), x13), x1), x4), x10)), x13)), x1))","fuzzy_not,godel_norm,fuzzy_not,product_norm,product_norm,x9,product_norm,product_norm,product_norm,product_norm,product_norm,x10,product_norm,x1,x13,x13,x1,x4,x10,x13,x1",4857,4275,582,50000,34555,17287.520260334015
