r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
1.443461608141660690e-02,1.443461608141660690e-02,2.704357961192727089e-03,1.010262779891490936e-02,1.071399974822998047e+01,5.224137783050537109e+00,-1.000000000000000000e+00,3.560000000000000000e+02,2.100000000000000000e+01,3.560000000000000000e+02,2.100000000000000000e+01,3.168389081954956055e+00,2.964999914169311523e+00,1.239999979734420776e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.780482177734375000e+02,5.000000000000000000e+02
1.443461608141660690e-02,1.443461608141660690e-02,2.704357961192727089e-03,1.010262779891490936e-02,1.071399974822998047e+01,5.224137783050537109e+00,-1.000000000000000000e+00,3.560000000000000000e+02,2.100000000000000000e+01,3.560000000000000000e+02,2.100000000000000000e+01,3.168389081954956055e+00,2.964999914169311523e+00,1.239999979734420776e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.782771606445312500e+02,5.000000000000000000e+02
1.459170971065759659e-02,1.459170971065759659e-02,2.412540372461080551e-03,9.618584997951984406e-03,1.057800006866455078e+01,4.860000133514404297e+00,-1.000000000000000000e+00,3.470000000000000000e+02,1.900000000000000000e+01,3.310000000000000000e+02,1.600000000000000000e+01,3.166968584060668945e+00,2.967560052871704102e+00,1.659999936819076538e-01,0.000000000000000000e+00,7.098617032170295715e-03,1.529973297119140625e+02,1.000000000000000000e+03
1.459170971065759659e-02,1.459170971065759659e-02,2.412540372461080551e-03,9.618584997951984406e-03,1.057800006866455078e+01,4.860000133514404297e+00,-1.000000000000000000e+00,3.470000000000000000e+02,1.900000000000000000e+01,3.310000000000000000e+02,1.600000000000000000e+01,3.166968584060668945e+00,2.967560052871704102e+00,1.659999936819076538e-01,0.000000000000000000e+00,7.098617032170295715e-03,1.559550628662109375e+02,1.000000000000000000e+03
2.119272015988826752e-02,2.119272015988826752e-02,2.614501630887389183e-03,1.003418397158384323e-02,9.987999916076660156e+00,6.792452812194824219e+00,-1.000000000000000000e+00,3.290000000000000000e+02,2.400000000000000000e+01,3.120000000000000000e+02,2.100000000000000000e+01,3.192547321319580078e+00,2.954733610153198242e+00,1.400000005960464478e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.478045806884765625e+02,1.500000000000000000e+03
2.119272015988826752e-02,2.119272015988826752e-02,2.614501630887389183e-03,1.003418397158384323e-02,9.987999916076660156e+00,6.792452812194824219e+00,-1.000000000000000000e+00,3.290000000000000000e+02,2.400000000000000000e+01,3.120000000000000000e+02,2.100000000000000000e+01,3.192547321319580078e+00,2.954733610153198242e+00,1.400000005960464478e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.504739990234375000e+02,1.500000000000000000e+03
6.728424876928329468e-02,6.728424876928329468e-02,2.679652301594614983e-03,1.153759006410837173e-02,1.065400028228759766e+01,6.627450942993164062e+00,-1.000000000000000000e+00,3.520000000000000000e+02,2.200000000000000000e+01,3.360000000000000000e+02,1.900000000000000000e+01,3.177882671356201172e+00,2.977653741836547852e+00,1.560000032186508179e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.582979736328125000e+02,2.000000000000000000e+03
6.728424876928329468e-02,6.728424876928329468e-02,2.679652301594614983e-03,1.153759006410837173e-02,1.065400028228759766e+01,6.627450942993164062e+00,-1.000000000000000000e+00,3.520000000000000000e+02,2.200000000000000000e+01,3.360000000000000000e+02,1.900000000000000000e+01,3.177882671356201172e+00,2.977653741836547852e+00,1.560000032186508179e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.581348114013671875e+02,2.000000000000000000e+03
1.277795135974884033e-01,1.277795135974884033e-01,2.718280302360653877e-03,1.216569263488054276e-02,1.092599964141845703e+01,6.219999790191650391e+00,-1.000000000000000000e+00,3.560000000000000000e+02,2.200000000000000000e+01,3.400000000000000000e+02,1.900000000000000000e+01,3.183056831359863281e+00,2.955784320831298828e+00,1.299999952316284180e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.662201080322265625e+02,2.500000000000000000e+03
1.277795135974884033e-01,1.277795135974884033e-01,2.718280302360653877e-03,1.216569263488054276e-02,1.092599964141845703e+01,6.219999790191650391e+00,-1.000000000000000000e+00,3.560000000000000000e+02,2.200000000000000000e+01,3.400000000000000000e+02,1.900000000000000000e+01,3.183056831359863281e+00,2.955784320831298828e+00,1.299999952316284180e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.672900390625000000e+02,2.500000000000000000e+03
1.277795135974884033e-01,1.605830155313014984e-02,2.792400773614645004e-03,1.060797087848186493e-02,9.916000366210937500e+00,6.433962345123291016e+00,-1.000000000000000000e+00,3.190000000000000000e+02,2.300000000000000000e+01,3.030000000000000000e+02,2.000000000000000000e+01,3.198281764984130859e+00,2.957864284515380859e+00,1.159999966621398926e-01,0.000000000000000000e+00,7.119103334844112396e-03,1.509373931884765625e+02,3.000000000000000000e+03
