r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.075199985504150391e+01,1.075199985504150391e+01,-1.000000000000000000e+00,3.520000000000000000e+02,3.520000000000000000e+02,3.520000000000000000e+02,3.520000000000000000e+02,3.167319059371948242e+00,3.167319059371948242e+00,1.199999973177909851e-01,1.199999973177909851e-01,0.000000000000000000e+00,1.791194915771484375e+02,5.000000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.083199977874755859e+01,1.083199977874755859e+01,-1.000000000000000000e+00,3.620000000000000000e+02,3.620000000000000000e+02,3.460000000000000000e+02,3.460000000000000000e+02,3.181676387786865234e+00,3.181676387786865234e+00,1.500000059604644775e-01,1.500000059604644775e-01,0.000000000000000000e+00,1.678465881347656250e+02,1.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.026200008392333984e+01,1.026200008392333984e+01,-1.000000000000000000e+00,3.410000000000000000e+02,3.410000000000000000e+02,3.250000000000000000e+02,3.250000000000000000e+02,3.160681724548339844e+00,3.160681724548339844e+00,1.360000073909759521e-01,1.360000073909759521e-01,0.000000000000000000e+00,1.585787658691406250e+02,1.500000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.932000160217285156e+00,9.932000160217285156e+00,-1.000000000000000000e+00,3.280000000000000000e+02,3.280000000000000000e+02,3.120000000000000000e+02,3.120000000000000000e+02,3.189384460449218750e+00,3.189384460449218750e+00,1.299999952316284180e-01,1.299999952316284180e-01,0.000000000000000000e+00,1.505239715576171875e+02,2.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.033800029754638672e+01,1.033800029754638672e+01,-1.000000000000000000e+00,3.380000000000000000e+02,3.380000000000000000e+02,3.210000000000000000e+02,3.210000000000000000e+02,3.171792984008789062e+00,3.171792984008789062e+00,1.599999964237213135e-01,1.599999964237213135e-01,0.000000000000000000e+00,1.459132537841796875e+02,2.500000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.077200031280517578e+01,1.077200031280517578e+01,-1.000000000000000000e+00,3.550000000000000000e+02,3.550000000000000000e+02,3.390000000000000000e+02,3.390000000000000000e+02,3.180763006210327148e+00,3.180763006210327148e+00,1.379999965429306030e-01,1.379999965429306030e-01,0.000000000000000000e+00,1.651881713867187500e+02,3.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065200042724609375e+01,1.065200042724609375e+01,-1.000000000000000000e+00,3.570000000000000000e+02,3.570000000000000000e+02,3.410000000000000000e+02,3.410000000000000000e+02,3.166905403137207031e+00,3.166905403137207031e+00,1.539999991655349731e-01,1.539999991655349731e-01,0.000000000000000000e+00,1.619252014160156250e+02,3.500000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.089000034332275391e+01,1.089000034332275391e+01,-1.000000000000000000e+00,3.520000000000000000e+02,3.520000000000000000e+02,3.360000000000000000e+02,3.360000000000000000e+02,3.165697097778320312e+00,3.165697097778320312e+00,1.439999938011169434e-01,1.439999938011169434e-01,0.000000000000000000e+00,1.610215759277343750e+02,4.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.086200046539306641e+01,1.086200046539306641e+01,-1.000000000000000000e+00,3.620000000000000000e+02,3.620000000000000000e+02,3.450000000000000000e+02,3.450000000000000000e+02,3.137630462646484375e+00,3.137630462646484375e+00,1.340000033378601074e-01,1.340000033378601074e-01,0.000000000000000000e+00,1.711899261474609375e+02,4.500000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.106799983978271484e+01,1.106799983978271484e+01,-1.000000000000000000e+00,3.580000000000000000e+02,3.580000000000000000e+02,3.420000000000000000e+02,3.420000000000000000e+02,3.133392333984375000e+00,3.133392333984375000e+00,1.720000058412551880e-01,1.720000058412551880e-01,0.000000000000000000e+00,1.581545410156250000e+02,5.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.052000045776367188e+01,1.052000045776367188e+01,-1.000000000000000000e+00,3.460000000000000000e+02,3.460000000000000000e+02,3.290000000000000000e+02,3.290000000000000000e+02,3.156751632690429688e+00,3.156751632690429688e+00,1.539999991655349731e-01,1.539999991655349731e-01,0.000000000000000000e+00,1.532643890380859375e+02,5.500000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.086999988555908203e+01,1.086999988555908203e+01,-1.000000000000000000e+00,3.630000000000000000e+02,3.630000000000000000e+02,3.450000000000000000e+02,3.450000000000000000e+02,3.129287719726562500e+00,3.129287719726562500e+00,1.519999951124191284e-01,1.519999951124191284e-01,0.000000000000000000e+00,1.623925018310546875e+02,6.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.101399993896484375e+01,1.101399993896484375e+01,-1.000000000000000000e+00,3.590000000000000000e+02,3.590000000000000000e+02,3.430000000000000000e+02,3.430000000000000000e+02,3.148794651031494141e+00,3.148794651031494141e+00,1.720000058412551880e-01,1.720000058412551880e-01,0.000000000000000000e+00,1.595354614257812500e+02,6.500000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.116800022125244141e+01,1.116800022125244141e+01,-1.000000000000000000e+00,3.630000000000000000e+02,3.630000000000000000e+02,3.470000000000000000e+02,3.470000000000000000e+02,3.137146472930908203e+00,3.137146472930908203e+00,1.379999965429306030e-01,1.379999965429306030e-01,0.000000000000000000e+00,1.706793823242187500e+02,7.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120800018310546875e+01,1.120800018310546875e+01,-1.000000000000000000e+00,3.660000000000000000e+02,3.660000000000000000e+02,3.490000000000000000e+02,3.490000000000000000e+02,3.162281274795532227e+00,3.162281274795532227e+00,1.500000059604644775e-01,1.500000059604644775e-01,0.000000000000000000e+00,1.680117797851562500e+02,7.500000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.013399982452392578e+01,1.013399982452392578e+01,-1.000000000000000000e+00,3.390000000000000000e+02,3.390000000000000000e+02,3.220000000000000000e+02,3.220000000000000000e+02,3.166302680969238281e+00,3.166302680969238281e+00,1.420000046491622925e-01,1.420000046491622925e-01,0.000000000000000000e+00,1.528674468994140625e+02,8.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.032800006866455078e+01,1.032800006866455078e+01,-1.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,3.310000000000000000e+02,3.310000000000000000e+02,3.150255680084228516e+00,3.150255680084228516e+00,1.519999951124191284e-01,1.519999951124191284e-01,0.000000000000000000e+00,1.567736358642578125e+02,8.500000000000000000e+03
