Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
type_TRANSFER,1,0,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(maxDest3, fuzzy_not(oldbalanceDest))",4,0,0.018078111083739173,0.9136383333333333,0.009174664845838704,0.6115384615384616
"fuzzy_not(lukasiewicz_s_implication(type_TRANSFER, oldbalanceDest))",5,0,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"fuzzy_not(lukasiewicz_conorm(oldbalanceDest, lukasiewicz_s_implication(type_TRANSFER, maxDest7)))",7,0,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"lukasiewicz_norm(newbalanceDest, fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, lukasiewicz_conorm(oldbalanceDest, oldbalanceDest))))))",10,0,0.16298168035375868,0.9977916666666666,0.16064757160647572,0.16538461538461538
type_TRANSFER,1,1,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(fuzzy_not(oldbalanceDest), newbalanceDest)",4,1,0.025525291828793775,0.947825,0.013080236082309779,0.5256410256410257
"fuzzy_not(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)))",5,1,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_norm(type_TRANSFER, fuzzy_not(lukasiewicz_conorm(fuzzy_not(maxDest7), oldbalanceDest)))",7,1,0.061254457730228654,0.9850833333333333,0.03335618003198538,0.37435897435897436
"lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(oldbalanceDest)), maxDest7)), type_TRANSFER)",8,1,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(newbalanceDest), oldbalanceDest))), oldbalanceDest))), oldbalanceDest))",13,1,0.16298168035375868,0.9977916666666666,0.16064757160647572,0.16538461538461538
"lukasiewicz_norm(newbalanceDest, fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(newbalanceDest))), fuzzy_not(fuzzy_not(is_workday))), oldbalanceDest), oldbalanceDest)))",15,1,0.17103153393907,0.997415,0.1466544454628781,0.20512820512820512
type_TRANSFER,1,2,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)",4,2,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_norm(lukasiewicz_norm(oldbalanceOrig, type_TRANSFER), fuzzy_not(oldbalanceDest))",6,2,0.06644951140065147,0.98567,0.036298932384341634,0.3923076923076923
"fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(maxDest7, oldbalanceDest), fuzzy_not(type_TRANSFER)))",7,2,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(newbalanceDest)), lukasiewicz_conorm(fuzzy_not(newbalanceDest), oldbalanceDest)))",10,2,0.16298168035375868,0.9977916666666666,0.16064757160647572,0.16538461538461538
"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(lukasiewicz_s_implication(type_TRANSFER, lukasiewicz_conorm(lukasiewicz_norm(lukasiewicz_s_implication(lukasiewicz_norm(lukasiewicz_s_implication(oldbalanceDest, oldbalanceDest), fuzzy_not(oldbalanceDest)), fuzzy_not(newbalanceDest)), maxDest3), oldbalanceDest))), oldbalanceDest))",23,2,0.17678708685626443,0.99643,0.12623490669593854,0.2948717948717949
type_TRANSFER,1,3,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(fuzzy_not(oldbalanceDest), meanDest3)",4,3,0.01764540798428401,0.9066566666666667,0.00894508464931,0.6448717948717949
