tokens,rewards
12,0.0
"16,23,23,14,23,16,9,18,20,4,17,23,23,23,11,14,1,6,4,5,8",0.0036586036067864742
"15,23,23,3,18,3,20,13,20,19,13,0,23,12",0.002596624388295216
"23,23,17,23,23,14,23,16,9,23,14,10,9,3,13",0.002538773806329044
8,0.003178277844264386
"19,22,16,0,23,23,0,12,13",0.0
"14,4,20,7,23,22,17,15,4,21,5,2,4,15,13,2",0.0023803940307645815
11,0.0
"23,15,23,23,23,5,23,1",9.748618576435815e-05
6,0.0031784082274755733
"22,23,7,16,15,4,14,3,11,23,22,23,9,3",0.0012504169181679094
"23,20,15,17,23,6,14,9,10,17,23,23,17,9,13,12,1",0.004271230247341764
7,0.0031782863471912204
"22,23,23,23,12,23,16,4,16,23,16,23,21,9,0,2,0",0.0038339658072845356
"23,23,23,21,20,23,15,12,11,18,16,23,13,18,10,15,12,8,6,7",0.03498542274052478
"23,23,23,23,15,14,2,19,5,11,13",0.0031886678657319263
"17,2,18,23,4,21,16,7,10,22,17,1,17,17,7,6,0,7",0.0025968466861667977
"23,23,22,20,23,2,10,23,14,0,17,7,16,10,7",0.0
"21,7,16,11,23,23,14,0,9",0.003175904473355908
"18,23,16,3,23,22,23,16,23,23,23,10,23,18,13,5,13,7",0.002596854096751364
"15,0,21,6,18,23,23,19,23,23,23,3,12,0",0.002596624388295216
10,0.003655093552989749
"23,23,22,17,23,23,1,14,23,21,9,23,20,23,1,4,2,1",0.0
"20,23,8,23,23,21,3,17,13,23,22,5,18,23,9,9",0.002596624388295216
"23,21,23,21,12,23,22,23,0,11,11",0.0026134949679451967
"22,17,5,23,18,19,16,13,20,15,23,10,17,2,4,17,9,3,7,3,8",0.0016010420684552979
"21,23,23,17,11,19,23,23,2,17,23,19,9,9,3,1",0.0025987544541152064
9,0.0
13,0.015351262670650965
"23,22,23,7,23,19,12,23,10",0.0025543461511722833
"23,17,23,5,23,16,23,23,21,23,7,10,20,19,23,6,2,6",0.0009542841215625694
"17,0,23,23,18,23,16,11,23,23,20,5,23,23,14,7,12,6",0.002596624388295216
2,0.0015019555163405822
0,0.003053334426568466
"23,23,23,16,1,14,18,12,19,9,15,18,11,7,23,12,12",0.003129680704682946
"23,20,11,23,23,19,23,23,23,11,4",0.0
"15,19,14,22,23,8,8,17,12,3,13,23,23,7",0.0032257057903112927
"15,6,23,14,19,6,20,3,23,14,4,23,23,4,5",0.0031784082274755733
"23,15,15,23,20,20,16,17,6,20,7,14,2,23,8,5,13,9,2,9",0.0021524040965110224
"23,23,23,23,14,11,21,18,3,21,17,21,5,19,10,5,1,0,4",0.002596624388295216
"23,18,23,15,21,13,15,7,14,23,2,23,23,17,4,1,6,9",0.0033273854794360264
"15,23,23,14,23,12,6,22,16,21,15,3,23,18,0,9,6,1,6",0.002596624388295216
"18,9,23,23,17,23,22,19,23,23,18,23,16,8,5,23,10,6,10,13",0.0036144654445729304
"23,17,3,23,23,23,0",0.0037947525968646686
"21,18,23,23,2,10,20,23,17,23,15,16,2,17,15,4,2,10,5,13,12",0.002597986560415678
"21,11,22,16,23,11,18,15,23,13,7,23,23,3,13",0.014270374577880144
"23,16,23,20,23,23,23,19,20,15,23,1,19,0,11,6,5,6,0",0.00260635391851707
"23,18,23,23,23,21,23,0,13,23,23,7",0.002198638792880308
"23,17,21,5,23,23,21,23,23,23,12,12,2",0.003520132165177989
"23,23,23,23,23,17,23,21,19,21,23,13,23,22,3,13,13,8,2",0.00016613168309194797
"22,18,23,20,5,4,16,12,23,22,2,17,20,23,14,1,9,11,5,6",0.002950497213419299
"21,23,1,23,14,16,0,21,23,23,5,23,14,6,23,1,8",0.0038150365059527727
"20,14,23,2,9,18,6,23,23,9",0.0025970764339572024
"20,22,23,4,7,20,23,23,21,23,5,18,17,4,11,1,10",0.0024265016176677453
"23,23,22,9,23,18,0,7",0.0
"17,18,0,23,23,23,5,23,21,23,23,17,7,19,20,21,3,1,12,9,11",0.003228886758846371
3,0.0031747645457277564
"21,23,6,23,23,23,23,4",0.0021987763004723384
"23,18,16,23,8,23,23,13,23,23,16,5,17,8,11",0.0022341401858437535
"23,16,9,19,23,3,14,23,12,23,15,12,8",0.002596624388295216
"23,18,23,6,23,23,23,23,23,16,23,23,21,18,22,7,12,23,2,4,12",0.0
"23,14,23,19,23,23,23,14,23,23,19,23,6,10,23,0,2,10",0.002016414981281644
"15,0,23,23,23,21,23,23,6,14,11,23,23,23,3",0.003042328864561309
"19,17,14,15,0,4,20,23,9,15,23,21,7,23,9,3,3,5",0.003447394035750606
"18,23,23,13,23,23,23,22,6,23,23,23,19,23,19,2,12,5",0.0025966466163697167
"23,21,15,9,14,3,23,9,14,9,23,23,5",0.0
"23,23,23,23,17,23,8,10",0.0031883576046240966
"15,7,23,18,23,22,13,23,23,23,11,6",0.0032257057903112927
"23,23,15,23,14,1,9,21,23,23,23,9,8",0.002600297176820208
"18,23,9,16,23,15,21,23,23,2,1,21,18,23,1,1,3,2",0.0033273854794360264
"23,18,7,16,11,22,23,16,23,23,23,6,23,7,23,3",0.0013346441445467275
"18,2,23,20,4,23,17,17,18,19,20,23,6,8,3,1,1,10",0.0028770874397645078
"14,23,23,8,23,3",0.0016237673087133753
"23,23,23,23,23,23,11",0.0
"23,18,8,17,12,23,15,13,23,23,23,19,23,23,18,4,0,11",0.0
"14,21,16,16,19,3,22,6,23,23,23,22,12,16,23,8,13,11,12,11,10",0.0026134949679451967
"19,1,15,23,20,23,23,23,23,8,11,23,4",0.00011180225230719193
"23,14,3,15,23,19,16,18,15,5,19,23,14,3,9,12,12,3,3,6",0.0007604080856726443
"14,16,19,21,22,16,19,23,23,18,23,11,21,23,18,7,12,9,5,0,5,3,1,1,1",0.002596624388295216
"22,14,10,23,18,6,16,9,23,1,18,7,23,8",0.0020782912303787615
"20,15,8,2,23,14,23,1,10",0.002842524952056728
"16,1,21,15,20,9,4,23,23,20,3,12,23,23,23,10",7.243609161190058e-05
5,0.0031784932657680557
1,7.243609161190058e-05
"23,23,21,11,20,18,23,23,10,12,6",0.0032170237284398057
"16,9,23,23,23,23,0",0.0
"22,23,7,17,14,7,23,23,1,0",0.00132886581302858
"18,23,3,17,19,23,10,7,11",0.002279508167965649
"19,4,20,16,10,17,23,2,7,21,22,21,23,9,9,10,5",0.002204482392029897
"20,23,23,14,23,20,22,23,4,3,21,10,5,1,0",0.003040674322566046
"19,16,3,14,23,23,2,23,1,15,23,18,13,15,3,9,8",0.00516896706744335
"19,21,23,16,1,9,13,23,15,6,23,15,23,22,5,13,2",0.001502012528022097
"16,23,20,10,23,23,10,17,4,23,23,23,2",0.0
"18,23,1,23,22,8,23,14,16,0,23,16,15,21,2,23,8,12,7,8",0.002596624388295216
"23,23,23,23,15,11,23,20,15,19,23,0,23,20,22,1,5,3,2,3",0.0011111028807194022
"19,15,23,4,8,14,0,19,13,23,16,23,22,12,20,10,8,12",0.0057497674314343035
"20,14,2,23,23,16,13,4,23,23,19,5,23,19,6,7",0.0019751743771103682
"23,23,18,23,1,19,11,3",0.004245226776094981
"16,23,14,10,1,17,23,1,1",0.00405763367611276
"19,20,23,14,21,23,10,23,22,15,18,18,20,7,13,6,9,2,12,10,13,0",0.0058816763292571335
"23,23,14,18,23,23,20,7,23,10,5,6",0.0031778130868120756
"23,23,15,17,23,17,23,23,1,2,23,23,12,23,23,4",0.002587427474165015
"17,23,23,6,11",0.0012941966989703211
"23,22,1,23,19,23,6,23,7",0.0036996531832346863
"20,23,8,16,17,14,19,23,16,2,23,23,12,1,19,10,8,1,5",0.003177371126575981
"23,23,23,23,18,12,15,23,1,19,10,10",0.0033130978847215145
"23,23,23,23,14,23,20,23,14,20,23,22,17,1,13,3,0,5,1,6",0.002596624388295216
"20,23,23,21,5,23,18,21,23,2,1,17,18,18,9,13,4,8,12",0.0012170919568727143
"17,23,3,23,22,23,3,20,23,20,7,4,11",0.002596624388295216
"23,19,23,17,23,6,20,23,23,20,23,23,14,5,9,23,13,10,8",0.002596624388295216
"19,7,20,13,23,23,23,23,23,17,0,13",0.001776952605964744
"23,23,18,12,17,5,23,7",0.001270025073656785
"23,23,17,2,23,18,22,13,9,19,20,23,6,10,10",0.0026534216256546327
"18,10,23,19,14,5,23,22,17,23,23,17,9,4,1,4,4",0.0024214974474155208
"19,23,16,16,15,7,23,16,23,5,13,23,23,23,4,10,2",0.0012000085523994827
"17,23,6,15,8,23,23,23,23,18,5,23,7",0.002596624388295216
4,0.002204482392029897
"15,23,23,23,2,23,23,23,23,6",0.002596880034130423
"23,19,23,19,23,3,4,23,23,23,23,23,22,3,0",0.002690640190687112
"23,23,23,23,23,18,23,23,15,21,23,4,23,4,8,1",0.0019257559616487748
"23,23,23,23,15,0,2",0.002596624388295216
"23,18,23,2,22,13,23,23,0",0.0016924821395655403
"14,23,0,14,23,9,16,4,17,1,0",0.0026453136633543786
"23,16,15,23,13,0,23,23,20,13,2",0.027312801572645498
"16,15,17,3,23,18,7,19,2,3,22,10,15,13,6,4",0.002139030730811129
"19,13,23,22,6,23,23,23,20,7,16,23,7,23,11",0.025324991570823813
"23,23,21,19,23,21,2,23,23,23,23,7,23,10,11",0.0011788566137169382
"23,18,15,23,23,23,16,23,3,23,6,21,13,0,3",0.00011732269607555581
"21,22,23,23,9,7,12",0.0
"23,17,23,10,20,23,1,23,10",0.0
"23,18,23,6,23,23,23,21,14,23,22,7,13,15,1,9,7",0.0036573293362798676
"23,23,23,23,23,23,23,4",0.004899951099278345
"23,20,4,15,16,23,23,12,1,23,1",7.352899587672016e-05
"23,23,23,23,14,12,16,23,21,12,14,13,12,8",0.003919579700453659
"16,16,23,14,23,0,2,23,23,11,23,16,7,0",0.0
"16,23,12,15,23,13,21,19,23,23,6,4,10",0.003381119233788388
"18,0,23,18,6,23,11",0.003042328864561309
"23,23,17,23,23,14,18,17,18,23,23,8,5,23,18,16,7,11,5,2,12,10",0.002737150112693259
"23,15,1,15,15,23,14,19,1,20,21,23,2,9,23,13,3,6,9",0.002482425606651267
"23,17,19,16,23,1,23,23,23,11,1,13",0.0
"22,19,23,15,9,23,23,6,23,2,18,23,17,6,1,21,9,13",0.11452224905139703
"20,17,4,23,1,20,12,20,14,4,11,7",0.002688136309188847
"22,0,15,0,23,16,23,17,17,23,22,23,5,18,5,23,13,2,6,5",0.003053334426568466
"18,16,23,10,23,23,17,19,16,1,22,17,1,18,7,7,0,11,7,10",0.002596624388295216
"17,13,17,23,14,23,18,23,13,23,23,2,6,11",0.002596624388295216
"18,22,23,21,4,23,1,23,0,9",0.0
