complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.015351262670650965,5816,0,x14,x14,64.71874975930244,64.71874975930244,False,0.015351262670650965,0.015351262670650965
4,0.01848833532001849,1,0,"lukasiewicz_norm(x7, fuzzy_not(x3))","lukasiewicz_norm,x7,fuzzy_not,x3",66.59261435470503,66.59261435470503,False,0.01848833532001849,0.01848833532001849
5,0.049832894057549655,1,0,"fuzzy_not(product_conorm(fuzzy_not(x14), x3))","fuzzy_not,product_conorm,fuzzy_not,x14,x3",19.238746634360922,19.238746634360922,False,0.049832894057549655,0.049832894057549655
7,0.11452224905139703,1,0,"fuzzy_not(lukasiewicz_conorm(x7, lukasiewicz_conorm(x3, fuzzy_not(x14))))","fuzzy_not,lukasiewicz_conorm,x7,lukasiewicz_conorm,x3,fuzzy_not,x14",1.4122755186137577,1.4122755186137577,False,0.11452224905139703,0.11452224905139703
9,0.14333638304361085,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(x9, lukasiewicz_conorm(x3, fuzzy_not(x14))))))","fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_conorm,x9,lukasiewicz_conorm,x3,fuzzy_not,x14",1.545415633730442,1.545415633730442,False,0.14333638304361085,0.14333638304361085
11,0.15013404825737267,1,0,"product_norm(fuzzy_not(x2), lukasiewicz_norm(x14, fuzzy_not(lukasiewicz_conorm(x8, fuzzy_not(fuzzy_not(x3))))))","product_norm,fuzzy_not,x2,lukasiewicz_norm,x14,fuzzy_not,lukasiewicz_conorm,x8,fuzzy_not,fuzzy_not,x3",1.2208178324129053,1.2208178324129053,False,0.15013404825737267,0.15013404825737267
14,0.1526595744680851,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(product_conorm(x6, fuzzy_not(fuzzy_not(x2))), fuzzy_not(godel_norm(fuzzy_not(x3), x14))))))","fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,product_conorm,x6,fuzzy_not,fuzzy_not,x2,fuzzy_not,godel_norm,fuzzy_not,x3,x14",1.7528281271146988,1.7528281271146988,False,0.1526595744680851,0.1526595744680851
15,0.15476190476190477,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_s_implication(x14, fuzzy_not(fuzzy_not(product_conorm(x3, product_conorm(godel_conorm(x8, x2), x3))))))))","fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_s_implication,x14,fuzzy_not,fuzzy_not,product_conorm,x3,product_conorm,godel_conorm,x8,x2,x3",2.0312120041768575,2.0312120041768575,False,0.15476190476190477,0.15476190476190477
19,0.15544291576152547,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_s_implication(lukasiewicz_norm(fuzzy_not(product_s_implication(x4, x3)), lukasiewicz_s_implication(x7, fuzzy_not(x3))), product_conorm(x3, x3)))))","fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_s_implication,lukasiewicz_norm,fuzzy_not,product_s_implication,x4,x3,lukasiewicz_s_implication,x7,fuzzy_not,x3,product_conorm,x3,x3",1.9250300115424768,1.9250300115424768,False,0.15544291576152547,0.15544291576152547
21,0.164044364199123,1,0,"fuzzy_not(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(x4, lukasiewicz_s_implication(product_conorm(lukasiewicz_s_implication(product_conorm(x3, lukasiewicz_conorm(fuzzy_not(fuzzy_not(x3)), x3)), x3), x3), x3))), x3))","fuzzy_not,lukasiewicz_conorm,fuzzy_not,lukasiewicz_norm,x4,lukasiewicz_s_implication,product_conorm,lukasiewicz_s_implication,product_conorm,x3,lukasiewicz_conorm,fuzzy_not,fuzzy_not,x3,x3,x3,x3,x3,x3",1.7830872441866723,1.7830872441866723,False,0.164044364199123,0.164044364199123
