r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
1.147237643599510193e-01,1.147237643599510193e-01,2.835967810824513435e-03,1.776998117566108704e-02,9.552000045776367188e+00,7.440000057220458984e+00,-1.000000000000000000e+00,3.170000000000000000e+02,1.300000000000000000e+01,3.170000000000000000e+02,1.300000000000000000e+01,3.039346218109130859e+00,2.475552797317504883e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.023904144763946533e-03,4.397695007324218750e+02,5.000000000000000000e+02
1.147237643599510193e-01,3.820439428091049194e-02,2.875987440347671509e-03,1.721230894327163696e-02,1.074199962615966797e+01,7.079999923706054688e+00,-1.000000000000000000e+00,3.440000000000000000e+02,1.100000000000000000e+01,3.300000000000000000e+02,1.000000000000000000e+01,3.006720304489135742e+00,2.535489082336425781e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.427364069968461990e-02,4.635576171875000000e+02,1.000000000000000000e+03
1.147237643599510193e-01,4.901522025465965271e-02,2.680676756426692009e-03,1.498280372470617294e-02,1.049400043487548828e+01,7.800000190734863281e+00,-1.000000000000000000e+00,3.400000000000000000e+02,1.400000000000000000e+01,3.260000000000000000e+02,1.300000000000000000e+01,3.014679193496704102e+00,2.514506578445434570e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.439702887088060379e-03,4.570667419433593750e+02,1.500000000000000000e+03
1.433363854885101318e-01,1.433363854885101318e-01,3.103321883827447891e-03,2.205513417720794678e-02,1.067399978637695312e+01,1.152000045776367188e+01,-1.000000000000000000e+00,3.500000000000000000e+02,1.700000000000000000e+01,3.350000000000000000e+02,1.600000000000000000e+01,2.996482849121093750e+00,2.463510274887084961e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.734494887292385101e-03,4.623928222656250000e+02,2.000000000000000000e+03
1.433363854885101318e-01,3.075030818581581116e-02,2.752713626250624657e-03,1.569094881415367126e-02,1.057400035858154297e+01,6.440000057220458984e+00,-1.000000000000000000e+00,3.540000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+02,9.000000000000000000e+00,3.009434223175048828e+00,2.526789188385009766e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.775720976293087006e-03,4.763308410644531250e+02,2.500000000000000000e+03
1.433363854885101318e-01,5.903974175453186035e-02,2.773836720734834671e-03,1.631598174571990967e-02,1.083399963378906250e+01,9.319999694824218750e+00,-1.000000000000000000e+00,3.550000000000000000e+02,1.500000000000000000e+01,3.410000000000000000e+02,1.400000000000000000e+01,2.999440193176269531e+00,2.486783266067504883e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.033892139792442322e-03,4.848949279785156250e+02,3.000000000000000000e+03
1.433363854885101318e-01,3.417276963591575623e-02,2.880737418308854103e-03,1.557864807546138763e-02,1.119999980926513672e+01,9.279999732971191406e+00,-1.000000000000000000e+00,3.710000000000000000e+02,1.500000000000000000e+01,3.570000000000000000e+02,1.400000000000000000e+01,2.989398241043090820e+00,2.490588903427124023e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.713518407195806503e-03,5.059443359375000000e+02,3.500000000000000000e+03
1.433363854885101318e-01,6.102813035249710083e-02,2.717641880735754967e-03,1.585757359862327576e-02,1.028199958801269531e+01,8.319999694824218750e+00,-1.000000000000000000e+00,3.330000000000000000e+02,1.300000000000000000e+01,3.180000000000000000e+02,1.200000000000000000e+01,3.003123283386230469e+00,2.493225812911987305e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.852400790899991989e-03,4.464327392578125000e+02,4.000000000000000000e+03
1.433363854885101318e-01,4.154732450842857361e-02,2.813927829265594482e-03,1.630399748682975769e-02,1.058800029754638672e+01,9.239999771118164062e+00,-1.000000000000000000e+00,3.510000000000000000e+02,1.400000000000000000e+01,3.360000000000000000e+02,1.300000000000000000e+01,2.989027738571166992e+00,2.489451408386230469e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.113784499466419220e-02,4.731641540527343750e+02,4.500000000000000000e+03
1.433363854885101318e-01,4.899559170007705688e-02,2.750969491899013519e-03,1.669096574187278748e-02,1.097000026702880859e+01,1.011999988555908203e+01,-1.000000000000000000e+00,3.570000000000000000e+02,1.800000000000000000e+01,3.420000000000000000e+02,1.700000000000000000e+01,3.001748085021972656e+00,2.507088422775268555e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.179937463253736496e-03,4.753538513183593750e+02,5.000000000000000000e+03
