seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,n_samples,n_cached,t
8,0.16404436419912302,1.7830872441866723,1.7830872441866723,False,0.16404436419912302,0.16404436419912302,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(x3, lukasiewicz_conorm(x3, lukasiewicz_conorm(fuzzy_not(x4), x3))))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_conorm,x3,lukasiewicz_conorm,x3,lukasiewicz_conorm,fuzzy_not,x4,x3",200000,134933,186363.9306619168
6,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(lukasiewicz_conorm(x2, product_s_implication(godel_norm(fuzzy_not(x9), product_conorm(x14, x3)), x3)))","fuzzy_not,lukasiewicz_conorm,x2,product_s_implication,godel_norm,fuzzy_not,x9,product_conorm,x14,x3,x3",200000,134214,187402.7180249691
1,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(lukasiewicz_conorm(lukasiewicz_s_implication(x14, lukasiewicz_s_implication(fuzzy_not(fuzzy_not(product_conorm(x4, x14))), godel_s_implication(fuzzy_not(x3), lukasiewicz_conorm(fuzzy_not(x14), x9)))), x2))","fuzzy_not,lukasiewicz_conorm,lukasiewicz_s_implication,x14,lukasiewicz_s_implication,fuzzy_not,fuzzy_not,product_conorm,x4,x14,godel_s_implication,fuzzy_not,x3,lukasiewicz_conorm,fuzzy_not,x14,x9,x2",200000,136176,190782.31154704094
15,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(lukasiewicz_conorm(x9, product_conorm(product_norm(x3, lukasiewicz_norm(x14, x14)), lukasiewicz_conorm(fuzzy_not(x14), x2))))","fuzzy_not,lukasiewicz_conorm,x9,product_conorm,product_norm,x3,lukasiewicz_norm,x14,x14,lukasiewicz_conorm,fuzzy_not,x14,x2",200000,137173,190975.51703810692
7,0.16404436419912302,1.7830872441866723,1.7830872441866723,False,0.16404436419912302,0.16404436419912302,"fuzzy_not(fuzzy_not(lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(fuzzy_not(godel_norm(x3, x6))), lukasiewicz_conorm(x3, x13)), godel_norm(x1, x3))), x4)))","fuzzy_not,fuzzy_not,lukasiewicz_norm,fuzzy_not,lukasiewicz_conorm,lukasiewicz_conorm,fuzzy_not,fuzzy_not,godel_norm,x3,x6,lukasiewicz_conorm,x3,x13,godel_norm,x1,x3,x4",200000,136381,191117.24485659602
12,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(lukasiewicz_s_implication(x14, lukasiewicz_conorm(x2, x3))), fuzzy_not(lukasiewicz_s_implication(product_conorm(x9, godel_norm(x14, x3)), x3))))","fuzzy_not,lukasiewicz_s_implication,fuzzy_not,lukasiewicz_s_implication,x14,lukasiewicz_conorm,x2,x3,fuzzy_not,lukasiewicz_s_implication,product_conorm,x9,godel_norm,x14,x3,x3",200000,137377,191760.97076582914
14,0.16404436419912302,1.7830872441866723,1.7830872441866723,False,0.16404436419912302,0.16404436419912302,"fuzzy_not(lukasiewicz_s_implication(x4, lukasiewicz_s_implication(lukasiewicz_norm(x4, fuzzy_not(x3)), x3)))","fuzzy_not,lukasiewicz_s_implication,x4,lukasiewicz_s_implication,lukasiewicz_norm,x4,fuzzy_not,x3,x3",200000,137999,191955.4680044651
0,0.16404436419912302,1.7830872441866723,1.7830872441866723,False,0.16404436419912302,0.16404436419912302,"fuzzy_not(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(x4, lukasiewicz_s_implication(product_conorm(lukasiewicz_s_implication(product_conorm(x3, lukasiewicz_conorm(fuzzy_not(fuzzy_not(x3)), x3)), x3), x3), x3))), x3))","fuzzy_not,lukasiewicz_conorm,fuzzy_not,lukasiewicz_norm,x4,lukasiewicz_s_implication,product_conorm,lukasiewicz_s_implication,product_conorm,x3,lukasiewicz_conorm,fuzzy_not,fuzzy_not,x3,x3,x3,x3,x3,x3",200000,138018,192469.68135881427
11,0.1641061452513967,1.3170968412782764,1.3170968412782764,False,0.1641061452513967,0.1641061452513967,"fuzzy_not(product_s_implication(lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(godel_norm(product_norm(x14, product_s_implication(fuzzy_not(lukasiewicz_conorm(x3, x9)), x3)), x9), x3)), x14), x2))","fuzzy_not,product_s_implication,lukasiewicz_norm,fuzzy_not,lukasiewicz_conorm,godel_norm,product_norm,x14,product_s_implication,fuzzy_not,lukasiewicz_conorm,x3,x9,x3,x9,x3,x14,x2",200000,138156,192766.86392092702
5,0.16642383033835195,2.8328035237016898,2.8328035237016898,False,0.16642383033835195,0.16642383033835195,"fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(product_norm(lukasiewicz_conorm(fuzzy_not(x8), x4), x14), fuzzy_not(x3))), x3), x3))","fuzzy_not,lukasiewicz_conorm,lukasiewicz_conorm,fuzzy_not,lukasiewicz_norm,product_norm,lukasiewicz_conorm,fuzzy_not,x8,x4,x14,fuzzy_not,x3,x3,x3",200000,139898,193147.3602142334
