Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
type_TRANSFER,1,0,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)",4,0,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest), fuzzy_not(type_TRANSFER)))",7,0,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"fuzzy_not(lukasiewicz_s_implication(lukasiewicz_conorm(newbalanceDest, type_TRANSFER), fuzzy_not(fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(type_CASH_IN, lukasiewicz_conorm(oldbalanceDest, type_DEBIT)), oldbalanceDest)))))",15,0,0.12414171930788245,0.98937,0.06951707167025531,0.5794871794871795
"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_s_implication(lukasiewicz_norm(lukasiewicz_conorm(type_TRANSFER, newbalanceDest), lukasiewicz_conorm(newbalanceDest, fuzzy_not(lukasiewicz_conorm(newbalanceDest, oldbalanceDest)))), oldbalanceDest))))",16,0,0.11543465405085748,0.987535,0.06358306188925081,0.6256410256410256
type_TRANSFER,1,1,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(type_TRANSFER, fuzzy_not(oldbalanceDest))",4,1,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), oldbalanceDest))",7,1,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"lukasiewicz_norm(fuzzy_not(fuzzy_not(lukasiewicz_conorm(type_TRANSFER, maxDest3))), lukasiewicz_norm(fuzzy_not(newbalanceOrig), fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest))))",13,1,0.09130924352543762,0.985205,0.04961619757481366,0.5717948717948718
"lukasiewicz_norm(lukasiewicz_s_implication(fuzzy_not(newbalanceDest), fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), type_CASH_IN))), fuzzy_not(lukasiewicz_conorm(oldbalanceDest, newbalanceOrig)))",14,1,0.1265638638347396,0.9899933333333333,0.0713816869051526,0.5576923076923077
type_TRANSFER,1,2,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(type_TRANSFER, fuzzy_not(newbalanceOrig))",4,2,0.015053763440860216,0.9190866666666667,0.007647907647907648,0.4756410256410256
"fuzzy_not(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(newbalanceDest)))",5,2,0.025525291828793775,0.947825,0.013080236082309779,0.5256410256410257
"fuzzy_not(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)))",6,2,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)), fuzzy_not(fuzzy_not(type_TRANSFER)))",8,2,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
