tokens,rewards
"17,15,0,14,15,15,17,14,5,16,17,15,3,15,2,12,11,11,12,1",0.0019202231610700702
"16,7,16,15,17,17,6,4,17,16,9,14,16,0,1,16,4,5",0.0036825295795778726
"15,15,15,17,13,14,9,14,14,16,17,14,16,17,2,6,11,5,1,11,4,11",0.002596624388295216
"15,3,15,7,14,14,17,14,8,16,17,2,6,2,0",0.002892355858723908
"15,17,0,17,17,14,17,17,14,17,17,17,17,8,4,1",0.0016174532327913344
6,0.0031784082274755733
"17,15,3,14,10,14,17,10,15,17,13,17,13",0.0
"17,17,17,17,14,13,16,17,14,10,9,15,5,5",0.001406354761164985
"17,17,17,14,17,9,15,17,3,17,4",0.0036729592545253066
"14,5,14,13,17,17,14,17,14,9,2,17,10",0.002596624388295216
"17,17,10",0.003655093552989749
"14,3,16,17,16,8,7,17,17,17,11",0.0016423201649477977
10,0.003655093552989749
"17,17,17,16,17,15,15,17,15,15,16,9,10,16,8,13,5,11,13,1",0.00301493719156944
"14,17,9,16,4,17,16,13,14,12,9",0.0011621811549875336
"17,17,17,17,15,17,14,4,12,3",0.0032135138209532475
"16,17,17,4,17,17,14,16,14,14,17,17,11,15,15,4,11,2,12,13,13",0.002204482392029897
5,0.0031784932657680557
"17,17,16,17,17,17,6,17,11",0.0013082008889547907
"17,17,17,17,17,16,17,14,17,3,0,3",0.002596624388295216
3,0.0031747645457277564
"17,17,15,17,1,17,14,17,17,3,17,16,16,9,8,5",0.0031362397915220357
"17,16,10,17,17,17,4",0.0023719257606740407
2,0.0015019555163405822
"14,17,14,17,14,17,1,11,16,15,17,14,15,0,16,6,8,4,11,9,0",0.002892945805819668
"15,14,7,11,17,14,16,9,16,14,4,14,13,15,9,0,8,4",0.0012876153249216796
"17,16,15,12,17,3,15,15,14,15,16,10,5,3,10,4,8",0.003757406629500708
"14,17,0,15,14,17,5,14,14,16,14,17,13,3,6,13,0,12",0.0025487308907757257
"16,7,17,17,17,15,6,15,0,0",0.002320294662580178
"17,15,13,16,17,7,17,17,17,14,15,3,11,17,10",0.0014064423783049643
"17,14,2,16,17,17,16,16,17,17,17,15,4,6,11,15,8,7,2",0.0015019555163405822
8,0.003178277844264386
13,0.015351262670650965
"17,17,17,17,14,13,17,15,16,7,17,17,10,9",0.002596624388295216
11,0.0
"17,17,17,15,17,16,8,11,17,16,4,4",0.0
"15,17,12,15,17,10,14,13,17,9",0.002596624388295216
7,0.0031782863471912204
12,0.0
"17,17,17,17,15,12,17,17,15,15,17,14,5,11,10,12",0.0025792103847382094
"14,15,17,14,11,15,12,11,17,14,17,9,17,14,6,1,1",0.002790123089521146
"17,17,17,17,17,14,0,13",0.00169247088830884
"17,15,17,17,8,17,17,17,14,3,15,14,2,17,15,9,6,0",0.0014785901571536903
"17,17,16,5,16,15,16,16,17,17,16,17,5,5,9,12,4,7",0.002675204201061412
"17,16,14,16,1,10,5,16,14,15,16,16,3,17,10,17,12,13,12,8",0.002068010844231373
"17,17,17,14,13,16,17,15,17,0,16,17,15,0,17,6,12,8",0.020747469649816355
"17,14,14,17,17,14,14,5,14,14,17,3,4,16,16,4,4,13,2,2,10",0.0017800036541636727
"14,17,16,17,15,14,15,17,14,17,14,15,9,12,9,17,10,7,12,9,5,3",0.00317669874544452
"17,17,17,16,12,17,16,6,16,15,17,17,17,4,16,17,10,11,7",0.0038217911391142476
"17,15,17,17,16,7,17,17,9,7",0.00132886581302858
"14,15,14,17,2,16,14,16,16,16,1,17,14,14,3,2,13,12,0,6,0,4,2",0.001612520001666571
"17,14,13,17,14,14,14,17,11,1,17,17,4,17,5",0.028785373918117283
1,7.243609161190058e-05
"17,15,12,15,14,17,17,17,9,5,15,4,16,4,0",0.006300351167114232
"17,15,17,1,15,16,17,5,4,16,17,15,5,0,17,17,11",9.167564324006727e-05
"17,14,14,15,17,16,13,4,5,13,6",0.027612867596299873
"16,14,14,2,5,15,15,13,5,17,15,4,10,5",0.0031784932657680557
"17,17,14,17,7,16,16,16,6,15,16,0,7,12,2,17,11",0.0031782863471912204
"17,15,15,4,17,5,16,12,15,17,15,14,15,15,2,12,13,1,0,0",0.00679269017086551
"14,17,15,17,16,17,16,13,9,17,6,14,7,3,17,17,17,6",0.002596624388295216
"14,16,14,1,17,17,15,17,17,11,4,15,10,15,2,2,17,9",0.002934170593000713
"16,17,9,17,17,17,17,17,16,17,17,17,9,14,0,10",0.004916754941738453
"14,3,16,16,17,16,14,17,4,4,16,9,3,14,2,4,2",0.0019459530017140875
"17,16,17,14,10,16,7,17,14,17,15,13,1,17,3,0",0.002636225504467823
"14,11,15,17,8,16,17,16,6,17,6,17,16,7,0",0.0025970449338716733
9,0.0
"17,17,14,14,14,13,15,11,11,16,17,17,14,14,17,11,5,9,11,4",0.0022562333317695123
0,0.003053334426568466
"16,3,17,17,17,17,17,17,2",0.001502978054288262
"17,17,17,17,17,16,1,17,0",0.0026395747674056026
"17,17,14,5,14,15,17,10,17,17,16,12,0,17,14,15,10,5,0",0.0021430988130328936
"17,17,16,0,17,17,17,10",0.002622501427755568
"14,17,17,17,8,16,17,12,17,17,17,5",0.0032273709428445015
"14,9,17,17,0",0.0025993575873391288
"17,17,15,15,9,17,16,14,15,7,17,8,7,17,6,17,6",0.002596624388295216
"17,17,14,5,14,17,17,6,15,2,4",0.0022574253733751454
"17,15,0,17,14,17,17,17,17,7,16,4,14,17,17,0,8",0.00147361424053881
"15,17,14,16,11,14,10,17,14,15,6,12,17,9,9,5",0.003175576219175348
"15,17,17,8,14,17,15,17,15,17,1,17,9,10,8",0.00318275454714089
"15,16,17,17,16,17,6,17,15,1,15,17,3,10,10,0",0.003053334426568466
"16,3,16,8,17,8",0.0020826761492357547
"15,17,17,10,17,14,11,17,0",0.0036240172411717256
"14,14,16,4,16,17,12,16,17,17,16,16,15,13,17,6,13,5,8,2,0",0.0030902155937444064
"16,17,5,17,17,17,15,17,13,17,14,1,16,17,1,6",0.03173023770038696
"17,14,16,15,3,17,17,17,17,9,1,14,10,17,17,11",0.0
"16,17,13,14,17,17,14,16,2,15,8,16,17,15,3,10,1,8,6",0.0017734991117592733
"17,17,16,15,15,10,17,17,14,8,16,15,14,7,7,10,12,1,9",0.0
"17,17,17,17,16,17,17,17,6,16,14,1,13,2",0.0021362981169565794
"17,15,17,5,17,14,17,17,14,11,9,2",0.0015078952648350098
"14,13,17,14,17,16,16,4,16,0,13,16,3,5,7",0.0019059993672266404
"17,14,17,17,17,16,17,15,17,15,17,14,16,15,2,8,7,12,0,12,2,2",0.003520132165177989
"17,17,16,17,14,13,9,17,16,15,0,4,1",0.015480947191808071
"14,10,17,14,13,16,17,3,4",0.002016414981281644
4,0.002204482392029897
"17,14,2,16,17,17,5,17,14,17,4,16,17,2,15,6,0",0.0013880834495598872
"17,16,16,14,11,15,17,8,17,9,10,14,17,5,6",0.0020680434474432516
