r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
1.535126287490129471e-02,1.535126287490129471e-02,2.448114333674311638e-03,1.033917069435119629e-02,1.069400024414062500e+01,1.031999969482421875e+01,-1.000000000000000000e+00,3.590000000000000000e+02,1.900000000000000000e+01,3.590000000000000000e+02,1.900000000000000000e+01,2.690758705139160156e+00,2.307988643646240234e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.271230194717645645e-03,4.786380920410156250e+02,5.000000000000000000e+02
3.376286104321479797e-02,3.376286104321479797e-02,2.793318359181284904e-03,1.655866391956806183e-02,1.071000003814697266e+01,8.720000267028808594e+00,-1.000000000000000000e+00,3.550000000000000000e+02,1.400000000000000000e+01,3.400000000000000000e+02,1.300000000000000000e+01,2.718910694122314453e+00,2.352487325668334961e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.605176091194152832e-03,4.579303894042968750e+02,1.000000000000000000e+03
4.983289539813995361e-02,4.983289539813995361e-02,2.894074190407991409e-03,1.819461211562156677e-02,1.090600013732910156e+01,6.199999809265136719e+00,-1.000000000000000000e+00,3.510000000000000000e+02,1.000000000000000000e+01,3.370000000000000000e+02,9.000000000000000000e+00,2.701192617416381836e+00,2.360333681106567383e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.781651008874177933e-03,4.566105346679687500e+02,1.500000000000000000e+03
4.983289539813995361e-02,4.036099091172218323e-02,2.895835554227232933e-03,1.575301587581634521e-02,1.071000003814697266e+01,1.243999958038330078e+01,-1.000000000000000000e+00,3.590000000000000000e+02,2.100000000000000000e+01,3.450000000000000000e+02,2.000000000000000000e+01,2.694602966308593750e+00,2.263885259628295898e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.439868964254856110e-03,4.644782714843750000e+02,2.000000000000000000e+03
4.983289539813995361e-02,3.820439428091049194e-02,2.848742762580513954e-03,1.598971337080001831e-02,1.047399997711181641e+01,9.640000343322753906e+00,-1.000000000000000000e+00,3.480000000000000000e+02,1.500000000000000000e+01,3.340000000000000000e+02,1.400000000000000000e+01,2.698189496994018555e+00,2.347797632217407227e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.322115659713745117e-03,4.492554931640625000e+02,2.500000000000000000e+03
5.027949064970016479e-02,5.027949064970016479e-02,2.916192868724465370e-03,1.670820266008377075e-02,1.081000041961669922e+01,5.320000171661376953e+00,-1.000000000000000000e+00,3.460000000000000000e+02,8.000000000000000000e+00,3.320000000000000000e+02,7.000000000000000000e+00,2.718278169631958008e+00,2.414264202117919922e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.491361856460571289e-02,4.489179992675781250e+02,3.000000000000000000e+03
5.027949064970016479e-02,1.535126287490129471e-02,2.566638169810175896e-03,1.172644738107919693e-02,1.066199970245361328e+01,8.279999732971191406e+00,-1.000000000000000000e+00,3.520000000000000000e+02,1.400000000000000000e+01,3.380000000000000000e+02,1.300000000000000000e+01,2.697471618652343750e+00,2.321974992752075195e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.824300296604633331e-03,4.580640869140625000e+02,3.500000000000000000e+03
5.027949064970016479e-02,3.376648947596549988e-02,2.645422704517841339e-03,1.302527170628309250e-02,1.070600032806396484e+01,8.439999580383300781e+00,-1.000000000000000000e+00,3.520000000000000000e+02,1.400000000000000000e+01,3.370000000000000000e+02,1.300000000000000000e+01,2.729229211807250977e+00,2.377002000808715820e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.971623886376619339e-03,4.559552612304687500e+02,4.000000000000000000e+03
5.027949064970016479e-02,4.006589949131011963e-02,2.679480006918311119e-03,1.340217050164937973e-02,1.123400020599365234e+01,1.080000019073486328e+01,-1.000000000000000000e+00,3.630000000000000000e+02,1.700000000000000000e+01,3.490000000000000000e+02,1.600000000000000000e+01,2.698807954788208008e+00,2.302469730377197266e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.421580281108617783e-03,4.730091247558593750e+02,4.500000000000000000e+03
5.027949064970016479e-02,4.861130192875862122e-02,3.148300573229789734e-03,2.014560066163539886e-02,1.047000026702880859e+01,8.279999732971191406e+00,-1.000000000000000000e+00,3.430000000000000000e+02,1.400000000000000000e+01,3.290000000000000000e+02,1.300000000000000000e+01,2.714612245559692383e+00,2.322942256927490234e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.209962397813796997e-03,4.456516723632812500e+02,5.000000000000000000e+03
5.027949064970016479e-02,4.204366356134414673e-02,2.890588017180562019e-03,1.630466431379318237e-02,9.975999832153320312e+00,6.760000228881835938e+00,-1.000000000000000000e+00,3.230000000000000000e+02,1.100000000000000000e+01,3.080000000000000000e+02,1.000000000000000000e+01,2.738446235656738281e+00,2.419951438903808594e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.781730171293020248e-03,4.172040100097656250e+02,5.500000000000000000e+03
5.027949064970016479e-02,3.376981243491172791e-02,2.740949159488081932e-03,1.336225308477878571e-02,1.113199996948242188e+01,1.135999965667724609e+01,-1.000000000000000000e+00,3.710000000000000000e+02,1.800000000000000000e+01,3.560000000000000000e+02,1.700000000000000000e+01,2.685313463211059570e+00,2.300686120986938477e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.632267333567142487e-03,4.787519226074218750e+02,6.000000000000000000e+03
5.027949064970016479e-02,3.376286104321479797e-02,2.794702537357807159e-03,1.496048271656036377e-02,1.046399974822998047e+01,6.760000228881835938e+00,-1.000000000000000000e+00,3.460000000000000000e+02,1.200000000000000000e+01,3.300000000000000000e+02,1.100000000000000000e+01,2.708053588867187500e+00,2.385404825210571289e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.197086837142705917e-03,4.510285034179687500e+02,6.500000000000000000e+03
5.027949064970016479e-02,4.898067191243171692e-02,2.922490937635302544e-03,1.862432621419429779e-02,1.058600044250488281e+01,9.760000228881835938e+00,-1.000000000000000000e+00,3.590000000000000000e+02,1.800000000000000000e+01,3.450000000000000000e+02,1.700000000000000000e+01,2.712136745452880859e+00,2.334510087966918945e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.877501796931028366e-03,4.710343322753906250e+02,7.000000000000000000e+03
5.027949064970016479e-02,2.832736261188983917e-02,2.560204127803444862e-03,1.226891390979290009e-02,1.055599975585937500e+01,1.088000011444091797e+01,-1.000000000000000000e+00,3.430000000000000000e+02,1.800000000000000000e+01,3.280000000000000000e+02,1.700000000000000000e+01,2.716473579406738281e+00,2.334648370742797852e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.719105083495378494e-03,4.439984130859375000e+02,7.500000000000000000e+03
5.027949064970016479e-02,4.922850802540779114e-02,2.698116237297654152e-03,1.419071760028600693e-02,1.051599979400634766e+01,1.211999988555908203e+01,-1.000000000000000000e+00,3.530000000000000000e+02,1.900000000000000000e+01,3.380000000000000000e+02,1.800000000000000000e+01,2.710119724273681641e+00,2.236556529998779297e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.061888135969638824e-03,4.543559265136718750e+02,8.000000000000000000e+03
5.027949064970016479e-02,4.938339814543724060e-02,2.880425192415714264e-03,1.569154299795627594e-02,1.057800006866455078e+01,9.880000114440917969e+00,-1.000000000000000000e+00,3.460000000000000000e+02,1.600000000000000000e+01,3.320000000000000000e+02,1.500000000000000000e+01,2.691269159317016602e+00,2.305828094482421875e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.622716784477233887e-03,4.447671508789062500e+02,8.500000000000000000e+03
5.027949064970016479e-02,3.597471863031387329e-02,2.621308667585253716e-03,1.252861041575670242e-02,1.069999980926513672e+01,1.056000041961669922e+01,-1.000000000000000000e+00,3.570000000000000000e+02,1.700000000000000000e+01,3.430000000000000000e+02,1.600000000000000000e+01,2.692894697189331055e+00,2.308336973190307617e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.814993124455213547e-03,4.603088378906250000e+02,9.000000000000000000e+03
5.027949064970016479e-02,3.685852140188217163e-02,2.903112675994634628e-03,1.689792424440383911e-02,1.070800018310546875e+01,7.679999828338623047e+00,-1.000000000000000000e+00,3.560000000000000000e+02,1.200000000000000000e+01,3.420000000000000000e+02,1.100000000000000000e+01,2.706882238388061523e+00,2.387340307235717773e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.291286554187536240e-03,4.599414978027343750e+02,9.500000000000000000e+03
5.027949064970016479e-02,4.873492941260337830e-02,3.026802325621247292e-03,1.784003898501396179e-02,1.057199954986572266e+01,8.319999694824218750e+00,-1.000000000000000000e+00,3.580000000000000000e+02,1.500000000000000000e+01,3.440000000000000000e+02,1.400000000000000000e+01,2.708503484725952148e+00,2.334167718887329102e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.492412202060222626e-02,4.553835754394531250e+02,1.000000000000000000e+04
