Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
type_TRANSFER,1,0,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"fuzzy_not(godel_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)))",5,0,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"godel_norm(godel_norm(fuzzy_not(is_workday), type_TRANSFER), fuzzy_not(oldbalanceDest))",7,0,0.0697986577181208,0.99538,0.04727272727272727,0.13333333333333333
"fuzzy_not(godel_conorm(fuzzy_not(godel_norm(fuzzy_not(godel_conorm(type_CASH_IN, godel_conorm(oldbalanceDest, newbalanceOrig))), type_TRANSFER)), is_workday))",12,0,0.07275320970042795,0.9956666666666667,0.05039525691699605,0.13076923076923078
type_TRANSFER,1,1,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"godel_norm(type_TRANSFER, fuzzy_not(oldbalanceDest))",4,1,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"godel_norm(fuzzy_not(oldbalanceDest), godel_norm(fuzzy_not(is_workday), type_TRANSFER))",7,1,0.0697986577181208,0.99538,0.04727272727272727,0.13333333333333333
"fuzzy_not(fuzzy_not(fuzzy_not(godel_conorm(godel_s_implication(type_TRANSFER, newbalanceOrig), godel_conorm(is_workday, oldbalanceDest)))))",11,1,0.07275320970042795,0.9956666666666667,0.05039525691699605,0.13076923076923078
type_TRANSFER,1,2,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"fuzzy_not(godel_s_implication(type_TRANSFER, meanDest3))",5,2,0.02865590175119399,0.9857633333333333,0.015722485650112302,0.16153846153846155
"godel_norm(fuzzy_not(fuzzy_not(type_TRANSFER)), fuzzy_not(oldbalanceDest))",6,2,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"fuzzy_not(godel_conorm(maxDest3, fuzzy_not(godel_norm(type_TRANSFER, fuzzy_not(oldbalanceDest)))))",8,2,0.055401662049861494,0.991475,0.032362459546925564,0.19230769230769232
"godel_norm(godel_norm(godel_conorm(is_workday, fuzzy_not(oldbalanceDest)), fuzzy_not(is_workday)), type_TRANSFER)",9,2,0.0697986577181208,0.99538,0.04727272727272727,0.13333333333333333
"fuzzy_not(godel_conorm(newbalanceOrig, godel_conorm(fuzzy_not(fuzzy_not(fuzzy_not(type_TRANSFER))), godel_conorm(fuzzy_not(fuzzy_not(godel_norm(fuzzy_not(fuzzy_not(is_workday)), type_TRANSFER))), oldbalanceDest))))",17,2,0.07275320970042795,0.9956666666666667,0.05039525691699605,0.13076923076923078
