tokens,rewards
"16,9,16,17,17,17,15,17,17,4,10,17,17,17,1",0.0
"16,5,14,15,5,12,17,16,17,14,17,17,17,17,5,13,4",0.004742334967293293
"17,14,15,14,14,15,3,17,17,17,0,17,17,11,16,1,2,6,8",0.0014820868831736673
"17,17,14,17,15,16,16,0,9,4,17,16,2,14,17,14,3,8,13,13",0.002662829487995412
"14,17,16,15,17,17,8,15,14,13,2,17,13,1,5",0.0025583676672552478
4,0.002204482392029897
9,0.0
12,0.0
"17,16,2,17,15,2,17,16,15,17,17,8,17,11,9",0.002596624388295216
7,0.0031782863471912204
"14,14,9,16,14,16,17,9,14,14,17,17,17,17,13,4,4,14,10,7,4,5",0.003177546762718211
6,0.0031784082274755733
"14,17,14,15,15,15,16,16,17,10,17,2,14,4,4,13,4,12,1,6",0.002596624388295216
"16,17,15,17,14,15,7,15,17,17,13,14,9,5,16,16,2,6,1,0,3",0.0
"16,14,14,16,8,14,16,17,1,12,17,12,4,17,17,6,7",0.0040732364405640575
1,7.243609161190058e-05
"16,15,14,15,17,17,17,14,1,17,1,15,15,17,15,16,13,4,4,9,9,8,10,9",0.0
"16,14,16,3,17,17,17,17,17,14,17,12,4,4,2",0.0012924712828137302
5,0.0031784932657680557
"17,17,17,15,10,14,17,17,3,9",0.005467955629690385
"14,17,12,17,16,17,5,14,17,14,15,1,17,16,3,4,4,2",0.0025678024511623177
"16,17,3,17,17,14,17,4,8",0.0016067667357659615
"16,15,16,11,16,16,17,16,17,16,14,17,11,17,10,2,14,11,1,2,2,2,10",0.002865593724066022
"17,16,16,16,16,16,10,14,17,17,17,9,14,17,10,12,0,10,2,2",0.0025433628580300766
"17,14,16,16,4,0,14,11,14,14,16,9,14,9,15,11,12,4,9,3",0.0
"17,16,17,7,16,14,17,17,17,17,0,14,15,13,8,14,3,1,5",0.002596624388295216
"16,14,17,9,10,17,13",0.002251946137837558
"17,15,17,17,16,9,15,15,16,14,2,10,17,5,5,0,8",0.001748155934385131
"14,10,17,15,10,16,16,15,10,17,17,10,14,9,10,17,2",0.002016414981281644
"17,14,11,15,17,9,17,14,1,9",0.0
"15,12,17,17,17,15,15,10,17,16,1,9,8",0.0
"16,17,0,16,17,15,17,1,16,16,17,14,2,17,5,9,12,0",0.0
"15,14,15,17,17,15,6,14,17,17,17,17,6,14,11,15,3,11,12,8,2",0.002596624388295216
"17,14,12,15,12,14,14,16,17,15,17,16,10,9,9,3,16,8,12,5",0.0
"15,17,14,17,17,17,17,16,6,16,15,9,1,15,17,14,1,2,5,0,2",0.0014957090919861088
"15,15,14,7,11,17,5,17,11",0.002596624388295216
0,0.003053334426568466
"17,16,9,17,14,14,17,15,17,16,14,5,4,17,9,8,8,1",0.002596624388295216
"15,3,17,14,14,17,17,17,0,3,5",0.002597319057846455
"15,6,17,17,17,14,17,14,14,15,1,14,6,10,1,5,12",0.0031644726677996257
"17,17,17,17,17,17,14,10,17,17,17,17,16,10,13",0.002016414981281644
2,0.0015019555163405822
"17,16,11,14,5,17,16,15,15,14,15,17,17,15,16,13,9,10,1,9,13,7,6",0.002607660935304935
"15,17,13,17,17,15,15,3,16,17,6,17,17,5,9",0.002558433376925157
"17,17,14,16,12,14,12,15,16,17,15,11,0,16,17,15,2,3,11,12,13",0.003919579700453659
"17,15,17,15,6,17,16,14,17,1,2,17,17,16,6,6,9",0.0033273854794360264
"17,15,17,17,11,17,17,14,17,3,17,0",0.0
"17,17,14,15,12,1,14,16,17,13,14,2,17,17,0,8",0.0032303324668824366
"15,14,2,17,17,17,15,17,17,17,17,17,14,5,6,4,2",0.002596624388295216
10,0.003655093552989749
"17,17,17,15,12,15,17,5,14,17,17,13,14,6,4",0.02398761929326799
"17,17,17,17,17,17,15,14,15,3,17,0,16,6,7,9",0.0033698479863963305
11,0.0
"17,16,11,16,17,6,14,14,17,15,17,14,10,12,10,5,8",0.002598427951089591
"15,14,14,14,8,17,16,14,15,17,15,17,14,14,2,12,17,0,10,0,8,13,7,5,5",0.002596624388295216
13,0.015351262670650965
"17,15,17,15,15,17,14,6,14,14,15,17,17,15,7,8,11,5,9,4,9,13",0.0014487388466925665
"17,16,5,16,5,17,16,10,17,14,14,17,16,17,16,11,13,2,4,0",0.001225450344443969
"17,17,15,4,16,11,15,15,12,16,17,5,14,2,4,6",0.0022021504231738076
"17,17,17,17,15,15,5,17,14,11,8,16,10,11",0.0031755790486628086
"15,17,17,17,8,17,17,14,16,8,15,3,17,12,9",0.001437887503609281
"17,16,0,17,17,16,17,17,6,16,17,14,12,17,12,6",0.002596624388295216
"14,10,17,17,17,17,17,16,16,2,17,16,16,3,17,17,12,13,12",0.002596624388295216
3,0.0031747645457277564
"17,15,15,16,9,17,17,4,17,14,17,15,14,10,8,13,8,10",0.00284570064904939
"16,3,16,5,17,14,17,14,17,14,16,17,10,15,4,8,7,5,13",0.0
"17,16,17,14,4,7,17,17,15,14,7,16,17,15,15,12,5,0,3,8",0.0030631012532733475
"14,16,17,5,3,16,16,17,16,15,14,9,17,14,3,2,3,0,11,8",0.0025969004138631678
"17,16,6,17,16,17,4,17,16,13,17,10",0.0016114945891907949
"17,14,15,14,17,14,1,17,14,0,10,3,17,14,17,5,11,0",0.0014971536257852628
"16,10,16,7,16,14,17,10,14,5,13,5",0.004462674946352951
"15,0,17,17,16,14,17,0,0,17,17,16,8,11",0.0030469150207752286
"16,6,14,14,17,16,17,15,14,14,17,14,13,3,1,0,9,9,11,9",0.0032014659911609356
"16,16,13,14,5,17,15,16,8,2,17,17,6,4",0.02610526315789474
"14,17,17,14,16,16,17,16,15,12,17,3,14,15,6,14,12,4,11,6,11,9,1",7.223179840761717e-05
"17,17,14,17,16,15,17,16,15,14,16,17,0,8,14,7,11,1,3,4,0,3",0.002634909785673115
"17,15,16,17,17,4,14,17,17,1,17,14,15,9,13,2,11",0.0014614412285534973
"17,14,11,17,14,0,16,15,4,16,10,12,17,11",0.0
8,0.003178277844264386
"15,13,14,17,17,14,16,17,15,17,5,14,15,15,12,17,8,4,1,10,1,4",0.002597095392742917
"15,17,0,17,15,3,15,13,17,17,16,17,7,6",0.0014297340287796395
"16,8,16,0,15,17,17,5,14,14,17,16,0,17,15,10,10,7,8",0.0038873354702311943
"15,10,14,17,16,6,6,16,17,16,17,1,5,17,14,11,6",0.0039114569662533905
"17,17,17,16,17,14,2,17,17,14,17,16,17,9,17,8,17,3,9",0.0027772881917183406
"15,16,2,2,17,16,15,17,13,17,14,14,1,5,17,6,7",0.0013393170237298922
"16,15,3,17,14,14,16,12,16,17,2,17,17,5,7,0,2",0.001604671022580581
"17,15,8,17,17,15,12,17,13",0.03597472046669907
"17,14,7,15,6,6",0.0
"15,1,17,15,14,17,17,14,17,17,6,17,17,17,6,10,8",0.000746157981573142
"17,15,6,14,17,17,16,15,17,17,3,15,14,2,17,8,7,1,5",0.0
"15,16,15,16,17,15,15,17,8,5,9,17,8,17,14,2,4,9,9",0.0
"17,17,16,15,11,17,2,17,14,17,8,15,6,14,8,10",0.0
"17,17,16,17,16,4,17,8,17,17,0",0.0037983615775604484
"16,1,14,7,16,15,6,9,17,17,15,14,9,4,1",7.245672768950316e-05
"16,17,6,17,17,17,14,11,16,17,14,14,17,17,1,3,10,12",0.0
"16,17,16,17,17,14,17,17,10,16,16,2,5,0,8,17,14,2,6",0.0016866400355082113
"17,17,15,5,17,14,2,2",0.0031784932657680557
"17,17,14,2,16,15,17,6,9,15,17,15,15,16,8,4,3,4,7",0.0028043137104450176
"17,17,16,9,17,17,16,11,17,17,14,17,15,1,7,10",0.0
"16,14,7,1,17,17,14,2,14,2,17,10",0.0013514298127418809
"15,5,17,16,14,14,17,1,17,0,1,3",0.002596678106793381
