r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
4.395995661616325378e-02,4.395995661616325378e-02,3.111135447397828102e-03,2.074537239968776703e-02,1.076399993896484375e+01,1.084000015258789062e+01,-1.000000000000000000e+00,3.550000000000000000e+02,1.800000000000000000e+01,3.550000000000000000e+02,1.800000000000000000e+01,2.691552162170410156e+00,2.299674987792968750e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.241166237741708755e-02,4.929976196289062500e+02,5.000000000000000000e+02
4.395995661616325378e-02,3.921568766236305237e-02,2.870267722755670547e-03,1.608897745609283447e-02,1.079599952697753906e+01,7.559999942779541016e+00,-1.000000000000000000e+00,3.510000000000000000e+02,1.300000000000000000e+01,3.370000000000000000e+02,1.200000000000000000e+01,2.688308477401733398e+00,2.291968345642089844e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.291196379810571671e-03,4.835489196777343750e+02,1.000000000000000000e+03
4.395995661616325378e-02,3.597471863031387329e-02,2.663271268829703331e-03,1.486551016569137573e-02,1.058800029754638672e+01,7.280000209808349609e+00,-1.000000000000000000e+00,3.450000000000000000e+02,1.200000000000000000e+01,3.310000000000000000e+02,1.100000000000000000e+01,2.701181650161743164e+00,2.357796669006347656e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.317483097314834595e-03,4.730224609375000000e+02,1.500000000000000000e+03
4.395995661616325378e-02,3.999825567007064819e-02,2.620272571220993996e-03,1.506410539150238037e-02,1.023799991607666016e+01,1.111999988555908203e+01,-1.000000000000000000e+00,3.490000000000000000e+02,1.800000000000000000e+01,3.350000000000000000e+02,1.700000000000000000e+01,2.714658498764038086e+00,2.323699235916137695e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.730692762881517410e-03,4.762754516601562500e+02,2.000000000000000000e+03
4.395995661616325378e-02,2.723320573568344116e-02,2.866400172933936119e-03,1.597518660128116608e-02,1.071000003814697266e+01,6.159999847412109375e+00,-1.000000000000000000e+00,3.550000000000000000e+02,1.000000000000000000e+01,3.410000000000000000e+02,9.000000000000000000e+00,2.698381662368774414e+00,2.345146656036376953e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.033591758459806442e-02,4.779858703613281250e+02,2.500000000000000000e+03
4.395995661616325378e-02,2.761286683380603790e-02,2.712682588025927544e-03,1.464727893471717834e-02,1.115200042724609375e+01,9.439999580383300781e+00,-1.000000000000000000e+00,3.580000000000000000e+02,1.700000000000000000e+01,3.440000000000000000e+02,1.600000000000000000e+01,2.688492774963378906e+00,2.343412160873413086e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.855155505239963531e-03,4.961467590332031250e+02,3.000000000000000000e+03
4.395995661616325378e-02,3.476101905107498169e-02,2.760574221611022949e-03,1.630282215774059296e-02,1.042399978637695312e+01,8.520000457763671875e+00,-1.000000000000000000e+00,3.440000000000000000e+02,1.300000000000000000e+01,3.290000000000000000e+02,1.200000000000000000e+01,2.721221446990966797e+00,2.345102787017822266e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.704666212201118469e-03,4.697309265136718750e+02,3.500000000000000000e+03
4.395995661616325378e-02,3.376286104321479797e-02,2.905331784859299660e-03,1.665466465055942535e-02,1.053600025177001953e+01,7.760000228881835938e+00,-1.000000000000000000e+00,3.460000000000000000e+02,1.200000000000000000e+01,3.320000000000000000e+02,1.100000000000000000e+01,2.698637723922729492e+00,2.365758895874023438e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.437292806804180145e-02,4.638907165527343750e+02,4.000000000000000000e+03
9.569732844829559326e-02,9.569732844829559326e-02,3.031121334061026573e-03,1.936071924865245819e-02,1.115600013732910156e+01,9.560000419616699219e+00,-1.000000000000000000e+00,3.570000000000000000e+02,1.500000000000000000e+01,3.430000000000000000e+02,1.400000000000000000e+01,2.708367347717285156e+00,2.321712732315063477e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.028519339859485626e-03,4.782927246093750000e+02,4.500000000000000000e+03
9.569732844829559326e-02,3.343224525451660156e-02,2.731044311076402664e-03,1.649460196495056152e-02,1.016800022125244141e+01,6.679999828338623047e+00,-1.000000000000000000e+00,3.330000000000000000e+02,1.200000000000000000e+01,3.190000000000000000e+02,1.100000000000000000e+01,2.714973688125610352e+00,2.335499048233032227e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.462746627628803253e-03,4.599338684082031250e+02,5.000000000000000000e+03
9.569732844829559326e-02,3.646020218729972839e-02,2.912254538387060165e-03,1.653694361448287964e-02,1.086200046539306641e+01,5.320000171661376953e+00,-1.000000000000000000e+00,3.530000000000000000e+02,8.000000000000000000e+00,3.390000000000000000e+02,7.000000000000000000e+00,2.704565286636352539e+00,2.381677389144897461e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.904159240722656250e+02,5.500000000000000000e+03
9.569732844829559326e-02,2.761286683380603790e-02,2.764938632026314735e-03,1.516467332839965820e-02,1.054199981689453125e+01,7.440000057220458984e+00,-1.000000000000000000e+00,3.500000000000000000e+02,1.200000000000000000e+01,3.360000000000000000e+02,1.100000000000000000e+01,2.707880258560180664e+00,2.292360544204711914e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.586461793631315231e-03,4.851970825195312500e+02,6.000000000000000000e+03
9.715443849563598633e-02,9.715443849563598633e-02,3.254268318414688110e-03,2.175299823284149170e-02,1.069200038909912109e+01,6.655172348022460938e+00,-1.000000000000000000e+00,3.450000000000000000e+02,1.200000000000000000e+01,3.310000000000000000e+02,1.100000000000000000e+01,2.706803083419799805e+00,2.454845905303955078e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.699499206542968750e+02,6.500000000000000000e+03
1.005966290831565857e-01,1.005966290831565857e-01,2.926740096881985664e-03,1.884215138852596283e-02,1.044200038909912109e+01,8.079999923706054688e+00,-1.000000000000000000e+00,3.420000000000000000e+02,1.300000000000000000e+01,3.280000000000000000e+02,1.200000000000000000e+01,2.709504127502441406e+00,2.338965177536010742e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.015694864094257355e-03,4.702385253906250000e+02,7.000000000000000000e+03
1.005966290831565857e-01,3.961196541786193848e-02,2.885306719690561295e-03,1.777561195194721222e-02,1.024199962615966797e+01,5.519999980926513672e+00,-1.000000000000000000e+00,3.430000000000000000e+02,9.000000000000000000e+00,3.290000000000000000e+02,8.000000000000000000e+00,2.715913295745849609e+00,2.370476007461547852e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.437923870980739594e-02,4.688376464843750000e+02,7.500000000000000000e+03
1.005966290831565857e-01,3.176003694534301758e-02,2.677835058420896530e-03,1.398050412535667419e-02,1.053800010681152344e+01,6.920000076293945312e+00,-1.000000000000000000e+00,3.460000000000000000e+02,1.400000000000000000e+01,3.320000000000000000e+02,1.300000000000000000e+01,2.706812858581542969e+00,2.308937788009643555e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.170700769871473312e-03,4.768657531738281250e+02,8.000000000000000000e+03
1.005966290831565857e-01,8.190405368804931641e-02,2.873032120987772942e-03,1.850737631320953369e-02,1.046199989318847656e+01,7.639999866485595703e+00,-1.000000000000000000e+00,3.510000000000000000e+02,1.500000000000000000e+01,3.370000000000000000e+02,1.400000000000000000e+01,2.705091238021850586e+00,2.334408044815063477e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.103643216192722321e-03,4.759026489257812500e+02,8.500000000000000000e+03
1.005966290831565857e-01,6.569129973649978638e-02,2.743300283327698708e-03,1.613126508891582489e-02,1.016399955749511719e+01,9.399999618530273438e+00,-1.000000000000000000e+00,3.440000000000000000e+02,1.700000000000000000e+01,3.290000000000000000e+02,1.600000000000000000e+01,2.710085630416870117e+00,2.327633142471313477e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.345477420836687088e-03,4.591788330078125000e+02,9.000000000000000000e+03
1.005966290831565857e-01,6.165239587426185608e-02,2.975742099806666374e-03,1.868009380996227264e-02,9.944000244140625000e+00,7.079999923706054688e+00,-1.000000000000000000e+00,3.330000000000000000e+02,1.300000000000000000e+01,3.190000000000000000e+02,1.200000000000000000e+01,2.725208997726440430e+00,2.377774000167846680e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.546408265829086304e-03,4.521244812011718750e+02,9.500000000000000000e+03
1.005966290831565857e-01,3.358236327767372131e-02,2.949911635369062424e-03,1.802916638553142548e-02,1.033600044250488281e+01,6.777777671813964844e+00,-1.000000000000000000e+00,3.390000000000000000e+02,1.200000000000000000e+01,3.240000000000000000e+02,1.100000000000000000e+01,2.732389688491821289e+00,2.361817359924316406e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.601983947753906250e+02,1.000000000000000000e+04
1.005966290831565857e-01,9.569732844829559326e-02,3.335936460644006729e-03,2.148959413170814514e-02,1.053999996185302734e+01,5.966666698455810547e+00,-1.000000000000000000e+00,3.480000000000000000e+02,1.200000000000000000e+01,3.320000000000000000e+02,1.100000000000000000e+01,2.694129705429077148e+00,2.424239158630371094e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.716740722656250000e+02,1.050000000000000000e+04
1.433363854885101318e-01,1.433363854885101318e-01,2.906853100284934044e-03,2.035661228001117706e-02,1.040200042724609375e+01,1.052000045776367188e+01,-1.000000000000000000e+00,3.490000000000000000e+02,1.900000000000000000e+01,3.340000000000000000e+02,1.800000000000000000e+01,2.706904172897338867e+00,2.283155441284179688e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.634501110762357712e-03,4.773412170410156250e+02,1.100000000000000000e+04
1.433363854885101318e-01,2.646558359265327454e-02,2.849808894097805023e-03,1.588945463299751282e-02,1.007199954986572266e+01,6.400000095367431641e+00,-1.000000000000000000e+00,3.390000000000000000e+02,1.100000000000000000e+01,3.220000000000000000e+02,9.000000000000000000e+00,2.707548856735229492e+00,2.345433950424194336e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.259259328246116638e-03,4.543119812011718750e+02,1.150000000000000000e+04
1.433363854885101318e-01,9.640254080295562744e-02,3.260324476286768913e-03,2.307373471558094025e-02,1.099199962615966797e+01,6.392857074737548828e+00,-1.000000000000000000e+00,3.620000000000000000e+02,1.100000000000000000e+01,3.480000000000000000e+02,1.000000000000000000e+01,2.711633920669555664e+00,2.433653354644775391e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.834763793945312500e+02,1.200000000000000000e+04
1.433363854885101318e-01,3.634942322969436646e-02,3.077075118198990822e-03,1.781598664820194244e-02,1.038000011444091797e+01,3.892857074737548828e+00,-1.000000000000000000e+00,3.440000000000000000e+02,7.000000000000000000e+00,3.300000000000000000e+02,6.000000000000000000e+00,2.717863559722900391e+00,2.450953483581542969e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.723842773437500000e+02,1.250000000000000000e+04
1.433363854885101318e-01,1.849538460373878479e-02,2.487241756170988083e-03,1.122817583382129669e-02,1.034399986267089844e+01,1.035999965667724609e+01,-1.000000000000000000e+00,3.450000000000000000e+02,1.800000000000000000e+01,3.300000000000000000e+02,1.700000000000000000e+01,2.690720081329345703e+00,2.282478809356689453e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.837305750697851181e-03,4.653576354980468750e+02,1.300000000000000000e+04
1.433363854885101318e-01,8.798521012067794800e-02,2.990227425470948219e-03,1.842794008553028107e-02,9.776000022888183594e+00,5.280000209808349609e+00,-1.000000000000000000e+00,3.260000000000000000e+02,8.000000000000000000e+00,3.110000000000000000e+02,7.000000000000000000e+00,2.732487201690673828e+00,2.398420572280883789e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.186066493391990662e-02,4.440788879394531250e+02,1.350000000000000000e+04
1.433363854885101318e-01,2.775781042873859406e-02,2.744833938777446747e-03,1.539965160191059113e-02,1.061200046539306641e+01,6.559999942779541016e+00,-1.000000000000000000e+00,3.510000000000000000e+02,1.000000000000000000e+01,3.360000000000000000e+02,9.000000000000000000e+00,2.688743352890014648e+00,2.372211694717407227e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.393559277057647705e-03,4.679702758789062500e+02,1.400000000000000000e+04
1.433363854885101318e-01,4.266355559229850769e-02,3.167305607348680496e-03,1.932529732584953308e-02,1.007400035858154297e+01,6.857142925262451172e+00,-1.000000000000000000e+00,3.390000000000000000e+02,1.200000000000000000e+01,3.240000000000000000e+02,1.100000000000000000e+01,2.727947711944580078e+00,2.423865795135498047e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.588089599609375000e+02,1.450000000000000000e+04
1.433363854885101318e-01,2.837230078876018524e-02,2.938025165349245071e-03,1.634555496275424957e-02,1.032999992370605469e+01,6.559999942779541016e+00,-1.000000000000000000e+00,3.390000000000000000e+02,1.200000000000000000e+01,3.240000000000000000e+02,1.100000000000000000e+01,2.726376533508300781e+00,2.401245355606079102e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.471040491014719009e-02,4.656340332031250000e+02,1.500000000000000000e+04
1.433363854885101318e-01,8.359059691429138184e-02,2.859978238120675087e-03,1.741105690598487854e-02,1.054599952697753906e+01,9.159999847412109375e+00,-1.000000000000000000e+00,3.450000000000000000e+02,1.500000000000000000e+01,3.310000000000000000e+02,1.400000000000000000e+01,2.715528249740600586e+00,2.329218149185180664e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.011456716805696487e-03,4.734237976074218750e+02,1.550000000000000000e+04
1.433363854885101318e-01,1.297134310007095337e-01,3.117215819656848907e-03,2.264354936778545380e-02,1.049400043487548828e+01,8.439999580383300781e+00,-1.000000000000000000e+00,3.460000000000000000e+02,1.400000000000000000e+01,3.310000000000000000e+02,1.200000000000000000e+01,2.701668500900268555e+00,2.310828208923339844e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.028519339859485626e-03,4.689053039550781250e+02,1.600000000000000000e+04
