complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.015351262670650965,6141,0,x14,x14,64.71874975930244,64.71874975930244,False,0.015351262670650965,0.015351262670650965
4,0.049832894057549655,1,0,"product_norm(x14, fuzzy_not(x3))","product_norm,x14,fuzzy_not,x3",19.238746634360922,19.238746634360922,False,0.049832894057549655,0.049832894057549655
8,0.11386353759235116,1,0,"product_norm(x14, fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(x3, x3)))))","product_norm,x14,fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,x3,x3",7.852515963059665,7.852515963059665,False,0.11386353759235116,0.11386353759235116
13,0.1369807497467072,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(x14), product_s_implication(fuzzy_not(x3), product_conorm(x3, x8))))))","fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,x14,product_s_implication,fuzzy_not,x3,product_conorm,x3,x8",2.34315599290066,2.34315599290066,False,0.1369807497467072,0.1369807497467072
16,0.13938594838952725,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(x14), product_conorm(product_conorm(x3, product_s_implication(x14, x9)), x2)))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,x14,product_conorm,product_conorm,x3,product_s_implication,x14,x9,x2",2.513707380033603,2.513707380033603,False,0.13938594838952725,0.13938594838952725
17,0.1526595744680851,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(product_conorm(product_s_implication(product_conorm(product_conorm(x14, x14), x3), x6), x2), x3))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,product_conorm,product_s_implication,product_conorm,product_conorm,x14,x14,x3,x6,x2,x3",1.7528281271146988,1.7528281271146988,False,0.1526595744680851,0.1526595744680851
18,0.15412676698586414,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(product_conorm(x14, x14)), product_conorm(x8, product_conorm(product_conorm(fuzzy_not(x14), x3), x2))))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,product_conorm,x14,x14,product_conorm,x8,product_conorm,product_conorm,fuzzy_not,x14,x3,x2",2.041114987945867,2.041114987945867,False,0.15412676698586414,0.15412676698586414
19,0.15709969788519637,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(x14), fuzzy_not(fuzzy_not(product_conorm(x2, product_conorm(product_conorm(product_conorm(x8, product_conorm(x3, x10)), x12), x3))))))))","fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,x14,fuzzy_not,fuzzy_not,product_conorm,x2,product_conorm,product_conorm,product_conorm,x8,product_conorm,x3,x10,x12,x3",1.9954512294554339,1.9954512294554339,False,0.15709969788519637,0.15709969788519637
21,0.15721720076691315,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(fuzzy_not(product_conorm(product_conorm(product_s_implication(x14, product_s_implication(product_s_implication(x6, x3), x2)), x2), x3))), x3))))","fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,fuzzy_not,product_conorm,product_conorm,product_s_implication,x14,product_s_implication,product_s_implication,x6,x3,x2,x2,x3,x3",1.6928600587356963,1.6928600587356963,False,0.15721720076691315,0.15721720076691315
23,0.1651440618411806,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(product_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(product_conorm(x9, fuzzy_not(product_conorm(fuzzy_not(product_conorm(fuzzy_not(x14), product_conorm(x3, x3))), x3))), x2)))), x3))))","fuzzy_not,fuzzy_not,fuzzy_not,product_s_implication,fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,product_conorm,x9,fuzzy_not,product_conorm,fuzzy_not,product_conorm,fuzzy_not,x14,product_conorm,x3,x3,x3,x2,x3",1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806
