r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
4.967270046472549438e-02,4.967270046472549438e-02,3.074496751651167870e-03,2.031373418867588043e-02,1.076399993896484375e+01,1.131999969482421875e+01,-1.000000000000000000e+00,3.550000000000000000e+02,1.800000000000000000e+01,3.550000000000000000e+02,1.800000000000000000e+01,2.691552162170410156e+00,2.307672500610351562e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.221987005323171616e-03,5.012174682617187500e+02,5.000000000000000000e+02
4.967270046472549438e-02,1.767955720424652100e-02,2.689969493076205254e-03,1.337125990539789200e-02,1.081999969482421875e+01,8.000000000000000000e+00,-1.000000000000000000e+00,3.510000000000000000e+02,1.300000000000000000e+01,3.370000000000000000e+02,1.200000000000000000e+01,2.688279867172241211e+00,2.276902914047241211e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.950103979557752609e-03,4.854886779785156250e+02,1.000000000000000000e+03
5.238578841090202332e-02,5.238578841090202332e-02,2.660799073055386543e-03,1.502159703522920609e-02,1.059200000762939453e+01,7.639999866485595703e+00,-1.000000000000000000e+00,3.450000000000000000e+02,1.200000000000000000e+01,3.310000000000000000e+02,1.100000000000000000e+01,2.701815605163574219e+00,2.339204788208007812e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.854487720876932144e-03,4.634061584472656250e+02,1.500000000000000000e+03
5.238578841090202332e-02,3.999825567007064819e-02,2.638694830238819122e-03,1.402857992798089981e-02,1.028199958801269531e+01,1.096000003814697266e+01,-1.000000000000000000e+00,3.490000000000000000e+02,1.800000000000000000e+01,3.350000000000000000e+02,1.700000000000000000e+01,2.715379714965820312e+00,2.329065322875976562e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.322362460196018219e-03,4.691834106445312500e+02,2.000000000000000000e+03
5.238578841090202332e-02,2.256438322365283966e-02,2.793430350720882416e-03,1.484415121376514435e-02,1.071800041198730469e+01,5.800000190734863281e+00,-1.000000000000000000e+00,3.550000000000000000e+02,1.000000000000000000e+01,3.410000000000000000e+02,9.000000000000000000e+00,2.700688123703002930e+00,2.377847671508789062e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.387516554445028305e-03,4.819404602050781250e+02,2.500000000000000000e+03
6.988002359867095947e-02,6.988002359867095947e-02,2.885014750063419342e-03,1.730467751622200012e-02,1.120400047302246094e+01,1.039999961853027344e+01,-1.000000000000000000e+00,3.580000000000000000e+02,1.700000000000000000e+01,3.440000000000000000e+02,1.600000000000000000e+01,2.690678358078002930e+00,2.312386751174926758e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.848239339888095856e-03,4.956741027832031250e+02,3.000000000000000000e+03
6.988002359867095947e-02,2.498396299779415131e-02,2.733359578996896744e-03,1.500852033495903015e-02,1.047599983215332031e+01,8.439999580383300781e+00,-1.000000000000000000e+00,3.440000000000000000e+02,1.300000000000000000e+01,3.290000000000000000e+02,1.200000000000000000e+01,2.724153995513916016e+00,2.341961622238159180e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.447178639471530914e-03,4.736542358398437500e+02,3.500000000000000000e+03
6.988002359867095947e-02,3.376286104321479797e-02,2.830857876688241959e-03,1.590929180383682251e-02,1.063599967956542969e+01,9.600000381469726562e+00,-1.000000000000000000e+00,3.460000000000000000e+02,1.400000000000000000e+01,3.320000000000000000e+02,1.300000000000000000e+01,2.700434923171997070e+00,2.318183898925781250e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.890129599720239639e-03,4.698629150390625000e+02,4.000000000000000000e+03
8.953361213207244873e-02,8.953361213207244873e-02,2.891610842198133469e-03,1.690729148685932159e-02,1.124400043487548828e+01,9.439999580383300781e+00,-1.000000000000000000e+00,3.570000000000000000e+02,1.500000000000000000e+01,3.430000000000000000e+02,1.400000000000000000e+01,2.712218999862670898e+00,2.334390878677368164e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.228685844689607620e-03,4.942393188476562500e+02,4.500000000000000000e+03
8.953361213207244873e-02,5.115562304854393005e-02,2.832664642482995987e-03,1.743273064494132996e-02,1.027999973297119141e+01,6.960000038146972656e+00,-1.000000000000000000e+00,3.320000000000000000e+02,1.100000000000000000e+01,3.180000000000000000e+02,1.000000000000000000e+01,2.717681169509887695e+00,2.334365606307983398e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128018926829099655e-02,4.590528869628906250e+02,5.000000000000000000e+03
8.953361213207244873e-02,3.601440414786338806e-02,2.739965450018644333e-03,1.510514877736568451e-02,1.098600006103515625e+01,7.239999771118164062e+00,-1.000000000000000000e+00,3.530000000000000000e+02,1.000000000000000000e+01,3.390000000000000000e+02,9.000000000000000000e+00,2.708277940750122070e+00,2.384537220001220703e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.512520998716354370e-03,4.896694335937500000e+02,5.500000000000000000e+03
8.953361213207244873e-02,2.761286683380603790e-02,2.784564625471830368e-03,1.443837303668260574e-02,1.072399997711181641e+01,7.519999980926513672e+00,-1.000000000000000000e+00,3.500000000000000000e+02,1.200000000000000000e+01,3.360000000000000000e+02,1.100000000000000000e+01,2.711624860763549805e+00,2.315465450286865234e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.939049180597066879e-03,4.819735107421875000e+02,6.000000000000000000e+03
8.953361213207244873e-02,4.325733706355094910e-02,2.929355716332793236e-03,1.749390363693237305e-02,1.085999965667724609e+01,5.719999790191650391e+00,-1.000000000000000000e+00,3.450000000000000000e+02,9.000000000000000000e+00,3.310000000000000000e+02,8.000000000000000000e+00,2.725208044052124023e+00,2.388011455535888672e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.653778686523437500e+02,6.500000000000000000e+03
9.082125872373580933e-02,9.082125872373580933e-02,2.823967486619949341e-03,1.829253509640693665e-02,1.117199993133544922e+01,7.920000076293945312e+00,-1.000000000000000000e+00,3.660000000000000000e+02,1.300000000000000000e+01,3.520000000000000000e+02,1.200000000000000000e+01,2.704255104064941406e+00,2.358179569244384766e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.351539399474859238e-03,5.054773254394531250e+02,7.000000000000000000e+03
9.082125872373580933e-02,5.581395328044891357e-02,3.063262207433581352e-03,1.845941133797168732e-02,1.062199974060058594e+01,5.464285850524902344e+00,-1.000000000000000000e+00,3.430000000000000000e+02,1.000000000000000000e+01,3.280000000000000000e+02,8.000000000000000000e+00,2.717018604278564453e+00,2.467017173767089844e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535126287490129471e-02,4.702174072265625000e+02,7.500000000000000000e+03
9.082125872373580933e-02,5.245535820722579956e-02,2.734227571636438370e-03,1.640357077121734619e-02,1.098600006103515625e+01,9.239999771118164062e+00,-1.000000000000000000e+00,3.510000000000000000e+02,1.500000000000000000e+01,3.370000000000000000e+02,1.400000000000000000e+01,2.706065654754638672e+00,2.338407993316650391e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.853773560374975204e-03,4.880669555664062500e+02,8.000000000000000000e+03
