seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,n_samples,n_cached,t
6,0.15412676698586414,2.0411149879458668,2.0411149879458668,False,0.15412676698586414,0.15412676698586414,"product_norm(fuzzy_not(x3), fuzzy_not(product_conorm(x2, product_conorm(x8, fuzzy_not(x14)))))","product_norm,fuzzy_not,x3,fuzzy_not,product_conorm,x2,product_conorm,x8,fuzzy_not,x14",200000,135253,196171.92196440697
12,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(x9, product_conorm(product_conorm(product_conorm(x3, product_s_implication(product_conorm(x3, product_conorm(x3, x14)), x3)), x2), x2)))))","fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,x9,product_conorm,product_conorm,product_conorm,x3,product_s_implication,product_conorm,x3,product_conorm,x3,x14,x3,x2,x2",200000,136179,197102.8238124848
10,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(product_s_implication(fuzzy_not(product_s_implication(x14, product_s_implication(product_conorm(x13, fuzzy_not(product_conorm(x9, x3))), product_conorm(x3, x3)))), x2))","fuzzy_not,product_s_implication,fuzzy_not,product_s_implication,x14,product_s_implication,product_conorm,x13,fuzzy_not,product_conorm,x9,x3,product_conorm,x3,x3,x2",200000,136682,199157.30344939235
2,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(product_conorm(x3, product_conorm(fuzzy_not(product_s_implication(fuzzy_not(product_norm(x14, product_s_implication(x2, x3))), x3)), product_conorm(x3, product_conorm(x2, x9)))))","fuzzy_not,product_conorm,x3,product_conorm,fuzzy_not,product_s_implication,fuzzy_not,product_norm,x14,product_s_implication,x2,x3,x3,product_conorm,x3,product_conorm,x2,x9",200000,138006,199503.3865094185
5,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"product_norm(x14, fuzzy_not(product_s_implication(x14, product_conorm(fuzzy_not(fuzzy_not(product_conorm(x3, product_s_implication(fuzzy_not(product_conorm(x2, x9)), x3)))), x2))))","product_norm,x14,fuzzy_not,product_s_implication,x14,product_conorm,fuzzy_not,fuzzy_not,product_conorm,x3,product_s_implication,fuzzy_not,product_conorm,x2,x9,x3,x2",200000,135951,199655.5316755772
15,0.15709969788519634,1.9954512294554336,1.9954512294554336,False,0.15709969788519634,0.15709969788519634,"product_norm(fuzzy_not(product_conorm(x8, x3)), fuzzy_not(product_conorm(product_conorm(fuzzy_not(x14), x3), x2)))","product_norm,fuzzy_not,product_conorm,x8,x3,fuzzy_not,product_conorm,product_conorm,fuzzy_not,x14,x3,x2",200000,139237,201046.131701231
3,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(product_conorm(fuzzy_not(x14), product_conorm(product_conorm(product_conorm(product_s_implication(product_s_implication(x3, x4), product_s_implication(product_conorm(x14, x3), x3)), x9), x3), x2)))","fuzzy_not,product_conorm,fuzzy_not,x14,product_conorm,product_conorm,product_conorm,product_s_implication,product_s_implication,x3,x4,product_s_implication,product_conorm,x14,x3,x3,x9,x3,x2",200000,137318,201089.99619197843
4,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(fuzzy_not(product_conorm(product_conorm(x3, fuzzy_not(fuzzy_not(product_s_implication(x14, product_s_implication(fuzzy_not(x3), x2))))), x9))), x3))))","fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,fuzzy_not,product_conorm,product_conorm,x3,fuzzy_not,fuzzy_not,product_s_implication,x14,product_s_implication,fuzzy_not,x3,x2,x9,x3",200000,138846,201779.99029445648
9,0.16117969821673525,1.3457054610554149,1.3457054610554149,False,0.16117969821673525,0.16117969821673525,"fuzzy_not(product_conorm(x9, product_conorm(product_s_implication(x14, x4), product_s_implication(product_s_implication(product_conorm(product_s_implication(product_norm(x14, product_s_implication(x3, x14)), x2), x3), x4), x2))))","fuzzy_not,product_conorm,x9,product_conorm,product_s_implication,x14,x4,product_s_implication,product_s_implication,product_conorm,product_s_implication,product_norm,x14,product_s_implication,x3,x14,x2,x3,x4,x2",200000,139801,201957.09155917168
11,0.1651440618411806,1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806,"fuzzy_not(product_conorm(product_conorm(product_conorm(x3, product_conorm(fuzzy_not(x14), product_conorm(product_conorm(fuzzy_not(product_conorm(fuzzy_not(x3), x3)), x3), x3))), x9), x2))","fuzzy_not,product_conorm,product_conorm,product_conorm,x3,product_conorm,fuzzy_not,x14,product_conorm,product_conorm,fuzzy_not,product_conorm,fuzzy_not,x3,x3,x3,x3,x9,x2",200000,139308,202452.72571849823
