Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
type_TRANSFER,1,0,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"fuzzy_not(product_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest))",5,0,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"product_norm(type_TRANSFER, product_norm(fuzzy_not(maxDest7), fuzzy_not(maxDest7)))",7,0,0.07776427703523695,0.996205,0.056838365896980464,0.12307692307692308
"product_norm(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(oldbalanceDest, oldbalanceDest)))), type_TRANSFER)",8,0,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"fuzzy_not(product_s_implication(type_TRANSFER, product_conorm(product_conorm(meanDest7, product_conorm(newbalanceOrig, oldbalanceDest)), oldbalanceDest)))",11,0,0.14839797639123103,0.997475,0.13213213213213212,0.16923076923076924
"fuzzy_not(product_conorm(fuzzy_not(type_TRANSFER), fuzzy_not(fuzzy_not(product_conorm(oldbalanceDest, product_conorm(product_conorm(oldbalanceDest, newbalanceOrig), maxDest3))))))",13,0,0.15706806282722513,0.9973166666666666,0.13274336283185842,0.19230769230769232
"product_norm(fuzzy_not(fuzzy_not(type_TRANSFER)), fuzzy_not(product_conorm(product_conorm(type_PAYMENT, product_conorm(product_conorm(newbalanceOrig, newbalanceOrig), product_conorm(newbalanceOrig, oldbalanceDest))), maxDest7)))",16,0,0.15384615384615385,0.99824,0.20512820512820512,0.12307692307692308
type_TRANSFER,1,1,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"product_norm(type_TRANSFER, fuzzy_not(oldbalanceDest))",4,1,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"product_norm(type_TRANSFER, fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(oldbalanceDest, oldbalanceDest)))))",8,1,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(type_TRANSFER), product_s_implication(fuzzy_not(oldbalanceDest), product_conorm(oldbalanceDest, maxDest3))))))",13,1,0.13799448022079117,0.9968766666666666,0.10760401721664276,0.19230769230769232
"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(type_TRANSFER), product_conorm(product_conorm(oldbalanceDest, product_s_implication(type_TRANSFER, maxDest7)), newbalanceOrig)))))))",16,1,0.14032121724429417,0.99661,0.10466582597730138,0.2128205128205128
"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(product_conorm(product_s_implication(product_conorm(product_conorm(type_TRANSFER, type_TRANSFER), oldbalanceDest), meanDest3), newbalanceOrig), oldbalanceDest))))))",17,1,0.14937759336099585,0.9976083333333333,0.13891951488423374,0.16153846153846155
"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(product_conorm(type_TRANSFER, type_TRANSFER)), product_conorm(maxDest3, product_conorm(product_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), newbalanceOrig))))))))",18,1,0.1542416452442159,0.9972583333333334,0.12875536480686695,0.19230769230769232
"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(type_TRANSFER), fuzzy_not(fuzzy_not(product_conorm(newbalanceOrig, product_conorm(product_conorm(product_conorm(maxDest3, product_conorm(oldbalanceDest, type_CASH_IN)), type_DEBIT), oldbalanceDest))))))))",19,1,0.15706806282722513,0.9973166666666666,0.13274336283185842,0.19230769230769232
"fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(fuzzy_not(product_conorm(product_conorm(product_s_implication(type_TRANSFER, product_s_implication(product_s_implication(meanDest3, oldbalanceDest), newbalanceOrig)), newbalanceOrig), oldbalanceDest))), oldbalanceDest))))",21,1,0.15347137637028016,0.9976833333333334,0.14617169373549885,0.16153846153846155
"fuzzy_not(fuzzy_not(fuzzy_not(product_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(product_conorm(maxDest7, fuzzy_not(product_conorm(fuzzy_not(product_conorm(fuzzy_not(type_TRANSFER), product_conorm(oldbalanceDest, oldbalanceDest))), oldbalanceDest))), newbalanceOrig)))), oldbalanceDest))))",23,1,0.15384615384615385,0.99824,0.20512820512820512,0.12307692307692308
type_TRANSFER,1,2,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"product_norm(fuzzy_not(is_workday), type_TRANSFER)",4,2,0.02653061224489796,0.98728,0.014730878186968839,0.13333333333333333
"fuzzy_not(product_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest))",5,2,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"product_norm(fuzzy_not(product_conorm(oldbalanceDest, is_workday)), type_TRANSFER)",6,2,0.0697986577181208,0.99538,0.04727272727272727,0.13333333333333333
