Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,0,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,0,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(meanDest7, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,0,0.01976047904191617,0.9781733333333333,0.010492845786963434,0.16923076923076924
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(maxDest3), type_TRANSFER)), type_DEBIT)",8,0,0.02411769434842029,0.9797683333333334,0.012865597392572262,0.19230769230769232
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), newbalanceOrig), type_DEBIT)",9,0,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest), fuzzy_not(type_TRANSFER)), lukasiewicz_norm(fuzzy_not(newbalanceDest), oldbalanceDest))",12,0,0.11052556615866686,0.9895916666666666,0.062169524114725205,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, lukasiewicz_conorm(lukasiewicz_norm(type_TRANSFER, oldbalanceOrig), fuzzy_not(type_TRANSFER))))))))), lukasiewicz_norm(lukasiewicz_norm(oldbalanceDest, type_TRANSFER), type_DEBIT))",21,0,0.12103321033210332,0.998015,0.1426086956521739,0.10512820512820513
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,1,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,1,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(maxDest3), type_TRANSFER)), type_DEBIT)",8,1,0.02411769434842029,0.9797683333333334,0.012865597392572262,0.19230769230769232
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(fuzzy_not(fuzzy_not(type_TRANSFER))), newbalanceDest), type_DEBIT)",9,1,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), fuzzy_not(fuzzy_not(type_TRANSFER)))), type_DEBIT)",10,1,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)), lukasiewicz_norm(fuzzy_not(type_TRANSFER), type_TRANSFER))",11,1,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
