Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,0,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,0,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,0,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(lukasiewicz_norm(meanDest3, type_TRANSFER))), type_DEBIT)",9,0,0.04644205427737018,0.9776883333333334,0.024587072931593634,0.41794871794871796
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), oldbalanceDest))))), type_DEBIT)",13,0,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest)), fuzzy_not(oldbalanceDest))), lukasiewicz_norm(type_TRANSFER, type_DEBIT))",14,0,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_s_implication(fuzzy_not(fuzzy_not(type_TRANSFER)), lukasiewicz_conorm(newbalanceDest, oldbalanceDest)), lukasiewicz_norm(fuzzy_not(type_TRANSFER), lukasiewicz_norm(newbalanceDest, type_TRANSFER)))",16,0,0.12013729977116705,0.9974366666666666,0.10847107438016529,0.1346153846153846
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, type_DEBIT))), type_TRANSFER)), meanDest3), newbalanceDest), meanDest3))), newbalanceDest)), lukasiewicz_norm(lukasiewicz_norm(oldbalanceDest, type_DEBIT), fuzzy_not(oldbalanceDest)))",27,0,0.13192612137203164,0.9978066666666666,0.1358695652173913,0.1282051282051282
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,1,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,1,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(newbalanceDest)), type_DEBIT)",7,1,0.022791706042581576,0.9414033333333334,0.011648389113017785,0.5256410256410257
"lukasiewicz_s_implication(fuzzy_not(type_DEBIT), lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER))",8,1,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
