r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
2.749140933156013489e-02,2.749140933156013489e-02,2.956406911835074425e-03,1.723306998610496521e-02,1.501799964904785156e+01,1.584615421295166016e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.300000000000000000e+01,5.000000000000000000e+02,1.300000000000000000e+01,2.872506141662597656e+00,1.988599300384521484e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489601377397775650e-02,2.812915344238281250e+02,5.000000000000000000e+02
3.033366985619068146e-02,3.033366985619068146e-02,2.980978693813085556e-03,1.801267080008983612e-02,1.556200027465820312e+01,1.592307662963867188e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.300000000000000000e+01,5.000000000000000000e+02,1.300000000000000000e+01,2.842185974121093750e+00,1.973774313926696777e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489601377397775650e-02,2.789567871093750000e+02,1.000000000000000000e+03
3.033366985619068146e-02,2.792384475469589233e-02,2.691739238798618317e-03,1.703167520463466644e-02,1.547599983215332031e+01,1.660000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.868148565292358398e+00,1.971431016921997070e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.455527637153863907e-02,2.788218688964843750e+02,1.500000000000000000e+03
9.267880022525787354e-02,9.267880022525787354e-02,3.118433989584445953e-03,2.565095014870166779e-02,1.518999958038330078e+01,1.610000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.834739685058593750e+00,1.714535236358642578e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.389734726399183273e-02,2.781684570312500000e+02,2.000000000000000000e+03
1.190830618143081665e-01,1.190830618143081665e-01,3.277516225352883339e-03,3.509982302784919739e-02,1.549400043487548828e+01,1.480000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.829845190048217773e+00,1.866115450859069824e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.535148266702890396e-02,2.796513061523437500e+02,2.500000000000000000e+03
1.190830618143081665e-01,2.715809829533100128e-02,3.011092077940702438e-03,1.684214733541011810e-02,1.544999980926513672e+01,1.435714244842529297e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.400000000000000000e+01,4.990000000000000000e+02,1.400000000000000000e+01,2.800217390060424805e+00,1.981270551681518555e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489601377397775650e-02,2.710444335937500000e+02,3.000000000000000000e+03
1.190830618143081665e-01,3.492063656449317932e-02,2.926667220890522003e-03,1.990187540650367737e-02,1.532600021362304688e+01,1.450000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.821991920471191406e+00,1.789009809494018555e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489601377397775650e-02,2.825059509277343750e+02,3.500000000000000000e+03
1.190830618143081665e-01,6.910365819931030273e-02,2.968526445329189301e-03,2.213144116103649139e-02,1.558800029754638672e+01,1.600000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.803905248641967773e+00,1.783009290695190430e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.354401838034391403e-02,2.684682006835937500e+02,4.000000000000000000e+03
1.190830618143081665e-01,2.862985618412494659e-02,2.812831662595272064e-03,1.638311333954334259e-02,1.523400020599365234e+01,1.530000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.832607507705688477e+00,1.807500362396240234e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.359966024756431580e-02,2.766716918945312500e+02,4.500000000000000000e+03
1.190830618143081665e-01,2.729044854640960693e-02,2.628122922033071518e-03,1.450026221573352814e-02,1.531200027465820312e+01,1.620000076293945312e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.795253515243530273e+00,1.766373872756958008e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.025877054780721664e-02,2.787588806152343750e+02,5.000000000000000000e+03
