r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
3.732299804687500000e-01,3.732299804687500000e-01,1.920894905924797058e-02,1.423934996128082275e-01,1.439599990844726562e+01,1.419999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.640000104904174805e+00,1.440000057220458984e+00,4.819999933242797852e-01,0.000000000000000000e+00,9.149546921253204346e-02,8.414894866943359375e+01,5.000000000000000000e+02
3.732299804687500000e-01,1.880049854516983032e-01,2.083574049174785614e-02,1.472506821155548096e-01,1.401599979400634766e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.608695745468139648e+00,1.608695626258850098e+00,4.799999892711639404e-01,0.000000000000000000e+00,1.159860566258430481e-01,5.498651123046875000e+01,1.000000000000000000e+03
3.732299804687500000e-01,2.743580639362335205e-01,1.820438541471958160e-02,1.759742498397827148e-01,1.442399978637695312e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.703703641891479492e+00,1.518518567085266113e+00,5.099999904632568359e-01,0.000000000000000000e+00,1.062344983220100403e-01,6.709909057617187500e+01,1.500000000000000000e+03
3.732299804687500000e-01,2.374034374952316284e-01,2.163739502429962158e-02,1.710073798894882202e-01,1.393200016021728516e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.777777671813964844e+00,1.703703761100769043e+00,4.679999947547912598e-01,0.000000000000000000e+00,1.236696615815162659e-01,6.939964294433593750e+01,2.000000000000000000e+03
3.732299804687500000e-01,1.913846433162689209e-01,2.216721884906291962e-02,1.605943590402603149e-01,1.419200038909912109e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.740740776062011719e+00,1.666666626930236816e+00,4.539999961853027344e-01,0.000000000000000000e+00,1.261788904666900635e-01,5.423674774169921875e+01,2.500000000000000000e+03
3.732299804687500000e-01,1.930224448442459106e-01,2.088694646954536438e-02,1.396564543247222900e-01,1.392800045013427734e+01,1.160000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.720000028610229492e+00,1.600000023841857910e+00,4.359999895095825195e-01,0.000000000000000000e+00,9.759708493947982788e-02,5.963317108154296875e+01,3.000000000000000000e+03
3.732299804687500000e-01,2.272119373083114624e-01,2.232211269438266754e-02,1.608760505914688110e-01,1.359200000762939453e+01,1.300000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.720000028610229492e+00,1.720000028610229492e+00,4.359999895095825195e-01,0.000000000000000000e+00,1.088861376047134399e-01,6.599798583984375000e+01,3.500000000000000000e+03
3.732299804687500000e-01,2.707453370094299316e-01,2.122550643980503082e-02,1.572404950857162476e-01,1.358800029754638672e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.720000028610229492e+00,1.600000023841857910e+00,4.420000016689300537e-01,0.000000000000000000e+00,1.034569293260574341e-01,6.059274673461914062e+01,4.000000000000000000e+03
3.856723308563232422e-01,3.856723308563232422e-01,2.177593670785427094e-02,1.768993437290191650e-01,1.377600002288818359e+01,1.280000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.720000028610229492e+00,1.559999942779541016e+00,4.499999880790710449e-01,0.000000000000000000e+00,1.178707256913185120e-01,6.545751953125000000e+01,4.500000000000000000e+03
3.856723308563232422e-01,2.388133704662322998e-01,2.114448696374893188e-02,1.632425040006637573e-01,1.360400009155273438e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.759999990463256836e+00,1.720000028610229492e+00,4.399999976158142090e-01,0.000000000000000000e+00,1.148631945252418518e-01,6.899050140380859375e+01,5.000000000000000000e+03
3.856723308563232422e-01,3.400928676128387451e-01,2.053981274366378784e-02,1.732754558324813843e-01,1.335599994659423828e+01,1.119999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.777777671813964844e+00,1.592592597007751465e+00,4.399999976158142090e-01,0.000000000000000000e+00,1.010407954454421997e-01,5.854736328125000000e+01,5.500000000000000000e+03
3.856723308563232422e-01,2.959877550601959229e-01,2.032071910798549652e-02,1.522377580404281616e-01,1.373200035095214844e+01,1.080000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.740740776062011719e+00,1.555555582046508789e+00,4.320000112056732178e-01,0.000000000000000000e+00,1.125750765204429626e-01,8.216312408447265625e+01,6.000000000000000000e+03
3.856723308563232422e-01,3.263457417488098145e-01,2.194812707602977753e-02,1.767662614583969116e-01,1.347200012207031250e+01,1.419999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.759999990463256836e+00,1.480000019073486328e+00,3.880000114440917969e-01,0.000000000000000000e+00,1.088608428835868835e-01,6.969276428222656250e+01,6.500000000000000000e+03
