r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
3.077758848667144775e-01,3.077758848667144775e-01,1.032800599932670593e-02,1.065824851393699646e-01,1.417599964141845703e+01,1.239999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.655172348022460938e+00,1.655172467231750488e+00,4.699999988079071045e-01,0.000000000000000000e+00,6.534324586391448975e-02,1.085525665283203125e+02,5.000000000000000000e+02
3.077758848667144775e-01,1.166122108697891235e-01,1.137256622314453125e-02,9.420660138130187988e-02,1.407600021362304688e+01,1.280000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.640000104904174805e+00,1.600000023841857910e+00,4.420000016689300537e-01,0.000000000000000000e+00,7.437477260828018188e-02,1.177930145263671875e+02,1.000000000000000000e+03
3.077758848667144775e-01,2.853716909885406494e-01,1.124854106456041336e-02,1.056054159998893738e-01,1.410400009155273438e+01,1.300000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.640000104904174805e+00,1.559999942779541016e+00,4.740000069141387939e-01,0.000000000000000000e+00,5.858237668871879578e-02,5.862466812133789062e+01,1.500000000000000000e+03
3.766739368438720703e-01,3.766739368438720703e-01,1.256876066327095032e-02,1.254591196775436401e-01,1.388000011444091797e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.680000066757202148e+00,1.679999947547912598e+00,4.979999959468841553e-01,0.000000000000000000e+00,8.542414754629135132e-02,7.464269256591796875e+01,2.000000000000000000e+03
3.766739368438720703e-01,2.893318235874176025e-01,1.150755397975444794e-02,9.891603887081146240e-02,1.430799961090087891e+01,1.439999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.666666746139526367e+00,1.629629611968994141e+00,4.560000002384185791e-01,0.000000000000000000e+00,5.624165013432502747e-02,6.970859527587890625e+01,2.500000000000000000e+03
3.766739368438720703e-01,1.188755035400390625e-01,1.184274442493915558e-02,9.740337729454040527e-02,1.407600021362304688e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.703703641891479492e+00,1.592592597007751465e+00,4.420000016689300537e-01,0.000000000000000000e+00,7.386385649442672729e-02,6.575401306152343750e+01,3.000000000000000000e+03
3.766739368438720703e-01,1.022115796804428101e-01,1.011622138321399689e-02,6.548506766557693481e-02,1.401200008392333984e+01,1.620000076293945312e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.695652246475219727e+00,1.652173876762390137e+00,4.499999880790710449e-01,0.000000000000000000e+00,5.313466489315032959e-02,7.537094879150390625e+01,3.500000000000000000e+03
3.766739368438720703e-01,1.788533776998519897e-01,1.252603530883789062e-02,9.626428782939910889e-02,1.400800037384033203e+01,1.119999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.640000104904174805e+00,1.639999985694885254e+00,4.219999909400939941e-01,0.000000000000000000e+00,5.990633368492126465e-02,7.298248291015625000e+01,4.000000000000000000e+03
3.766739368438720703e-01,2.529498040676116943e-01,1.274762395769357681e-02,1.301479488611221313e-01,1.409599971771240234e+01,1.280000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.720000028610229492e+00,1.559999942779541016e+00,4.219999909400939941e-01,0.000000000000000000e+00,8.643758296966552734e-02,6.590384674072265625e+01,4.500000000000000000e+03
3.766739368438720703e-01,2.927153408527374268e-01,1.315933186560869217e-02,1.391818076372146606e-01,1.371599960327148438e+01,1.060000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.759999990463256836e+00,1.639999985694885254e+00,4.160000085830688477e-01,0.000000000000000000e+00,1.001285612583160400e-01,6.393655776977539062e+01,5.000000000000000000e+03
