r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
8.935824781656265259e-02,8.935824781656265259e-02,1.823747297748923302e-03,1.886402815580368042e-02,1.439599990844726562e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.500000000000000000e+01,5.000000000000000000e+02,1.500000000000000000e+01,2.640000104904174805e+00,1.759999990463256836e+00,4.779999852180480957e-01,0.000000000000000000e+00,9.345794096589088440e-03,3.590076065063476562e+01,5.000000000000000000e+02
8.935824781656265259e-02,8.712121099233627319e-02,1.714850892312824726e-03,1.923434063792228699e-02,1.409599971771240234e+01,1.372727298736572266e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.100000000000000000e+01,5.000000000000000000e+02,1.100000000000000000e+01,2.640000104904174805e+00,1.639999985694885254e+00,4.819999933242797852e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.033433341979980469e+01,1.000000000000000000e+03
8.935824781656265259e-02,7.471264153718948364e-02,1.656665117479860783e-03,1.778474822640419006e-02,1.422399997711181641e+01,1.219999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.500000000000000000e+01,5.000000000000000000e+02,1.500000000000000000e+01,2.703703641891479492e+00,1.851851820945739746e+00,5.180000066757202148e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.622209358215332031e+01,1.500000000000000000e+03
8.935824781656265259e-02,3.869407624006271362e-02,1.822816091589629650e-03,1.580764912068843842e-02,1.393999958038330078e+01,1.380000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.759999990463256836e+00,1.519999980926513672e+00,4.359999895095825195e-01,0.000000000000000000e+00,9.554140269756317139e-03,2.151458930969238281e+01,2.000000000000000000e+03
8.935824781656265259e-02,2.603550255298614502e-02,1.843783305957913399e-03,1.530802901834249496e-02,1.438000011444091797e+01,1.319999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.740740776062011719e+00,1.555555582046508789e+00,4.560000002384185791e-01,0.000000000000000000e+00,1.160990726202726364e-02,2.178077316284179688e+01,2.500000000000000000e+03
8.935824781656265259e-02,1.610169559717178345e-02,1.659948262386023998e-03,1.277605071663856506e-02,1.419600009918212891e+01,1.192307662963867188e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.300000000000000000e+01,5.000000000000000000e+02,1.300000000000000000e+01,2.720000028610229492e+00,1.840000033378601074e+00,4.379999935626983643e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.651225280761718750e+01,3.000000000000000000e+03
8.935824781656265259e-02,1.571301557123661041e-02,1.589000574313104153e-03,1.146303582936525345e-02,1.390799999237060547e+01,1.233333301544189453e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.200000000000000000e+01,5.000000000000000000e+02,1.200000000000000000e+01,2.680000066757202148e+00,1.759999990463256836e+00,4.839999973773956299e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.389457321166992188e+01,3.500000000000000000e+03
8.935824781656265259e-02,8.014911413192749023e-02,1.553061068989336491e-03,1.749066263437271118e-02,1.392000007629394531e+01,1.180000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.680000066757202148e+00,1.559999942779541016e+00,4.779999852180480957e-01,0.000000000000000000e+00,7.727646268904209137e-03,2.293779563903808594e+01,4.000000000000000000e+03
8.935824781656265259e-02,4.273504391312599182e-02,1.748363836668431759e-03,1.267630700021982193e-02,1.423200035095214844e+01,1.182352924346923828e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.700000000000000000e+01,5.000000000000000000e+02,1.700000000000000000e+01,2.640000104904174805e+00,1.840000033378601074e+00,4.560000002384185791e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.722572708129882812e+01,4.500000000000000000e+03
8.935824781656265259e-02,4.363419115543365479e-02,1.529710250906646252e-03,1.798697561025619507e-02,1.418400001525878906e+01,1.160000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.759999990463256836e+00,1.559999942779541016e+00,4.639999866485595703e-01,0.000000000000000000e+00,1.012438535690307617e-02,3.084904098510742188e+01,5.000000000000000000e+03
