r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
0.1446111869031378,1,0,-x1 - x11 + x12 + x13*x2 - x20 - x21*(x3 - 1.3852306837834616),"add,sub,mul,x13,x2,x1,sub,x12,add,x11,add,mul,x21,add,-1.3852306837834616,x3,x20",2.9475859456210944,2.9475859456210944,False,0.1446111869031378,0.1446111869031378
0.14285714285714285,1,0,x21 - x3*(x10 - x19 + x20 + x3),"sub,x21,mul,x3,sub,add,x10,add,x3,x20,x19",1.4667413317923148,1.4667413317923148,False,0.14285714285714285,0.14285714285714285
0.13541666666666666,1,0,(-x17 + x21)/(x10 + x16 + x20 + x3),"div,sub,x21,x17,mul,x8,div,add,x3,add,x20,add,x10,x16,x8",1.5607632120354118,1.5607632120354118,False,0.13541666666666666,0.13541666666666666
0.12362637362637363,1,0,(x1*x15*(x15 + x5) + x19)*(x11*x13 + x18 + x20 - 1.114218653564717),"mul,add,add,add,x18,x20,-1.114218653564717,mul,x13,x11,add,mul,mul,x15,x1,add,x5,x15,x19",2.999297979754797,2.999297979754797,False,0.12362637362637363,0.12362637362637363
0.11981566820276497,1,0,x10*x4 - x10 + x6 + x8 - (x3 - 0.05458599365452478/x9)/x1,"sub,add,x8,sub,mul,x10,x4,x10,sub,div,add,x3,div,-0.05458599365452478,x9,x1,x6",1.7958179126431546,1.7958179126431546,False,0.11981566820276497,0.11981566820276497
0.11406844106463877,1,0,x1 + x18 - (x17 + x3/x9)/x3,"sub,x1,sub,div,add,div,x3,x9,x17,x3,x18",3.286064714496244,3.286064714496244,False,0.11406844106463877,0.11406844106463877
0.10504201680672269,1,0,x4*(x1 + x3*(x11 - x19*x3*(x20 + x6) + x19 - 1.7250006958952262)),"mul,x4,add,mul,add,sub,x11,mul,mul,x3,x19,add,x20,x6,add,-1.7250006958952262,x19,x3,x1",2.0026660491779684,2.0026660491779684,False,0.10504201680672269,0.10504201680672269
0.0967238689547582,1,0,x18 + x21*x7*(x18 + 0.3415383614201594)/x3 - x8,"add,sub,x18,x8,mul,div,mul,add,x18,0.3415383614201594,x21,x3,x7",2.721933433037661,2.721933433037661,False,0.0967238689547582,0.0967238689547582
0.09667024704618689,1,0,x18*(x10 + x13)*(x1 + x14 - x19 - 1.4601198103058415),"mul,add,x10,x13,mul,x18,add,add,x14,-1.4601198103058415,sub,x1,x19",3.9536200642222328,3.9536200642222328,False,0.09667024704618689,0.09667024704618689
0.09615384615384616,1,0,x12*x18*(x1 - x6),"mul,mul,x18,x12,sub,x1,x6",3.977125534283007,3.977125534283007,False,0.09615384615384616,0.09615384615384616
0.09388511426806671,1,0,x21/(x18 - x5 + x6 + (x17 + 2*x3)/(x1*x4)),"div,x21,sub,add,add,x18,div,add,x3,add,x3,x17,mul,x1,x4,x6,x5",6.896504915831172,6.896504915831172,False,0.09388511426806671,0.09388511426806671
