r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
8.600182831287384033e-02,8.600182831287384033e-02,1.834457740187644958e-03,3.270602598786354065e-02,1.421199989318847656e+01,1.119999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.078782558441162109e+00,2.034315824508666992e+00,5.279999971389770508e-01,0.000000000000000000e+00,1.367255114018917084e-02,3.061530685424804688e+01,5.000000000000000000e+02
8.600182831287384033e-02,2.914389781653881073e-02,1.559180673211812973e-03,1.602888479828834534e-02,1.417199993133544922e+01,1.239999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.046076059341430664e+00,2.005130052566528320e+00,4.959999918937683105e-01,0.000000000000000000e+00,1.228123996406793594e-02,2.017789268493652344e+01,1.000000000000000000e+03
1.152073740959167480e-01,1.152073740959167480e-01,2.063031774014234543e-03,3.483103960752487183e-02,1.427200031280517578e+01,1.219999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.048635959625244141e+00,1.986124753952026367e+00,5.239999890327453613e-01,0.000000000000000000e+00,1.530612260103225708e-02,1.831834983825683594e+01,1.500000000000000000e+03
1.263537853956222534e-01,1.263537853956222534e-01,1.949011581018567085e-03,3.522515296936035156e-02,1.407999992370605469e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.050184965133666992e+00,1.976393580436706543e+00,5.400000214576721191e-01,0.000000000000000000e+00,1.303575001657009125e-02,1.933277320861816406e+01,2.000000000000000000e+03
1.263537853956222534e-01,3.358342126011848450e-02,1.530865789391100407e-03,1.875771582126617432e-02,1.460000038146972656e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.054635047912597656e+00,2.007371902465820312e+00,5.199999809265136719e-01,0.000000000000000000e+00,1.424455828964710236e-02,1.881240272521972656e+01,2.500000000000000000e+03
1.263537853956222534e-01,8.256880939006805420e-02,2.144120866432785988e-03,3.483969718217849731e-02,1.452799987792968750e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.061574220657348633e+00,1.939878702163696289e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.654501259326934814e-02,1.986447525024414062e+01,3.000000000000000000e+03
1.263537853956222534e-01,5.761316791176795959e-02,1.615757588297128677e-03,1.996243931353092194e-02,1.439200019836425781e+01,1.119999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.047958374023437500e+00,1.991669893264770508e+00,4.860000014305114746e-01,0.000000000000000000e+00,9.948252700269222260e-03,2.048567771911621094e+01,3.500000000000000000e+03
1.263537853956222534e-01,9.667024761438369751e-02,1.813973882235586643e-03,3.301430121064186096e-02,1.433600044250488281e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.047734975814819336e+00,1.970499873161315918e+00,4.920000135898590088e-01,0.000000000000000000e+00,1.110170315951108932e-02,2.021964263916015625e+01,4.000000000000000000e+03
1.354166716337203979e-01,1.354166716337203979e-01,1.703559188172221184e-03,3.171510249376296997e-02,1.461600017547607422e+01,1.500000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.035911321640014648e+00,1.960034847259521484e+00,4.979999959468841553e-01,0.000000000000000000e+00,1.481371745467185974e-02,1.956094360351562500e+01,4.500000000000000000e+03
1.354166716337203979e-01,7.142857462167739868e-02,2.062757732346653938e-03,2.686010673642158508e-02,1.476799964904785156e+01,1.219999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.050935983657836914e+00,1.995098829269409180e+00,4.699999988079071045e-01,0.000000000000000000e+00,1.452198438346385956e-02,1.971493911743164062e+01,5.000000000000000000e+03
1.354166716337203979e-01,5.980066582560539246e-02,1.648499863222241402e-03,2.362829074263572693e-02,1.451599979400634766e+01,1.519999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.035899639129638672e+00,1.964220881462097168e+00,5.260000228881835938e-01,0.000000000000000000e+00,1.377726718783378601e-02,1.794903755187988281e+01,5.500000000000000000e+03
1.354166716337203979e-01,6.928406655788421631e-02,1.609934610314667225e-03,2.107702754437923431e-02,1.430399990081787109e+01,1.219999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.036094427108764648e+00,1.945492386817932129e+00,4.920000135898590088e-01,0.000000000000000000e+00,1.212780829519033432e-02,1.851824569702148438e+01,6.000000000000000000e+03
1.354166716337203979e-01,5.042016878724098206e-02,1.949045457877218723e-03,2.907213009893894196e-02,1.442399978637695312e+01,1.419999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.036994934082031250e+00,2.004576206207275391e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.586007513105869293e-02,1.930522727966308594e+01,6.500000000000000000e+03
1.354166716337203979e-01,4.502814263105392456e-02,1.478597871027886868e-03,2.156120538711547852e-02,1.453600025177001953e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.065750598907470703e+00,1.989966154098510742e+00,5.279999971389770508e-01,0.000000000000000000e+00,1.355708017945289612e-02,1.997608184814453125e+01,7.000000000000000000e+03
1.354166716337203979e-01,5.412054061889648438e-02,1.802812330424785614e-03,2.139171771705150604e-02,1.421199989318847656e+01,1.219999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.040961027145385742e+00,2.020406246185302734e+00,4.300000071525573730e-01,0.000000000000000000e+00,1.169590651988983154e-02,2.196841049194335938e+01,7.500000000000000000e+03
1.354166716337203979e-01,7.598371803760528564e-02,1.781889237463474274e-03,3.254382684826850891e-02,1.438000011444091797e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.038793325424194336e+00,1.921952486038208008e+00,5.099999904632568359e-01,0.000000000000000000e+00,1.678011752665042877e-02,1.975350189208984375e+01,8.000000000000000000e+03
1.354166716337203979e-01,7.933194190263748169e-02,2.425713231787085533e-03,3.695937246084213257e-02,1.428800010681152344e+01,1.360000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.031820058822631836e+00,2.001677751541137695e+00,4.239999949932098389e-01,0.000000000000000000e+00,1.581027731299400330e-02,2.287904739379882812e+01,8.500000000000000000e+03
1.354166716337203979e-01,7.763975113630294800e-02,1.956672407686710358e-03,2.829721570014953613e-02,1.507999992370605469e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.026717901229858398e+00,1.980597138404846191e+00,4.519999921321868896e-01,0.000000000000000000e+00,1.530054677277803421e-02,2.093115234375000000e+01,9.000000000000000000e+03
1.354166716337203979e-01,8.281573653221130371e-02,1.668383716605603695e-03,2.416336350142955780e-02,1.481200027465820312e+01,1.500000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.018581151962280273e+00,1.905316948890686035e+00,4.679999947547912598e-01,0.000000000000000000e+00,1.149300672113895416e-02,2.067997360229492188e+01,9.500000000000000000e+03
1.354166716337203979e-01,1.036269441246986389e-01,2.371860435232520103e-03,4.552878439426422119e-02,1.501599979400634766e+01,1.460000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.026477098464965820e+00,1.894927382469177246e+00,4.399999976158142090e-01,0.000000000000000000e+00,1.689545996487140656e-02,2.397671127319335938e+01,1.000000000000000000e+04
