r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
6.637806445360183716e-02,6.637806445360183716e-02,1.842046272940933704e-03,2.281908132135868073e-02,1.480399990081787109e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.061301469802856445e+00,2.001677989959716797e+00,4.639999866485595703e-01,0.000000000000000000e+00,9.804803878068923950e-03,5.056727218627929688e+01,5.000000000000000000e+02
6.637806445360183716e-02,4.982206225395202637e-02,1.437898376025259495e-03,1.964487694203853607e-02,1.479199981689453125e+01,1.480000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.060008525848388672e+00,2.021765708923339844e+00,5.180000066757202148e-01,0.000000000000000000e+00,1.015847176313400269e-02,2.529498672485351562e+01,1.000000000000000000e+03
6.637806445360183716e-02,3.030303120613098145e-02,1.469059148803353310e-03,1.681538484990596771e-02,1.476000022888183594e+01,1.060000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.059956312179565430e+00,1.956305861473083496e+00,4.979999959468841553e-01,0.000000000000000000e+00,1.299927756190299988e-02,2.230549049377441406e+01,1.500000000000000000e+03
6.637806445360183716e-02,3.246753290295600891e-02,1.535690273158252239e-03,1.193616446107625961e-02,1.480399990081787109e+01,1.437500000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.600000000000000000e+01,5.000000000000000000e+02,1.600000000000000000e+01,3.061650753021240234e+00,2.307558059692382812e+00,4.480000138282775879e-01,0.000000000000000000e+00,9.345794096589088440e-03,3.224417877197265625e+01,2.000000000000000000e+03
6.637806445360183716e-02,4.291845485568046570e-02,1.545469858683645725e-03,1.774463057518005371e-02,1.513599967956542969e+01,1.300000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.068477392196655273e+00,1.997615814208984375e+00,4.880000054836273193e-01,0.000000000000000000e+00,1.170643884688615799e-02,2.277050781250000000e+01,2.500000000000000000e+03
6.746626645326614380e-02,6.746626645326614380e-02,1.720789587125182152e-03,2.278769575059413910e-02,1.477200031280517578e+01,1.700000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.062616825103759766e+00,1.951771378517150879e+00,4.699999988079071045e-01,0.000000000000000000e+00,1.367255114018917084e-02,2.125704956054687500e+01,3.000000000000000000e+03
6.746626645326614380e-02,2.513464912772178650e-02,1.622232957743108273e-03,1.573168113827705383e-02,1.477999973297119141e+01,1.519999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.056170940399169922e+00,1.937854170799255371e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.091882959008216858e-02,2.464360046386718750e+01,3.500000000000000000e+03
6.746626645326614380e-02,4.538087546825408936e-02,1.714289770461618900e-03,2.094485796988010406e-02,1.473200035095214844e+01,1.319999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.059353828430175781e+00,2.008305549621582031e+00,4.900000095367431641e-01,0.000000000000000000e+00,1.570486649870872498e-02,2.181544113159179688e+01,4.000000000000000000e+03
6.746626645326614380e-02,3.598971664905548096e-02,1.624818774871528149e-03,2.188812196254730225e-02,1.438000011444091797e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.079628467559814453e+00,1.973881602287292480e+00,4.779999852180480957e-01,0.000000000000000000e+00,1.571301557123661041e-02,2.286745262145996094e+01,4.500000000000000000e+03
6.746626645326614380e-02,3.825717419385910034e-02,1.823325175791978836e-03,2.112645655870437622e-02,1.478800010681152344e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.061871051788330078e+00,1.932309150695800781e+00,4.819999933242797852e-01,0.000000000000000000e+00,1.386913191527128220e-02,2.058355140686035156e+01,5.000000000000000000e+03
6.746626645326614380e-02,5.138339847326278687e-02,1.651503494940698147e-03,1.881282031536102295e-02,1.457600021362304688e+01,1.380000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.066032409667968750e+00,1.964220881462097168e+00,4.779999852180480957e-01,0.000000000000000000e+00,1.252022199332714081e-02,2.172590637207031250e+01,5.500000000000000000e+03
1.027026996016502380e-01,1.027026996016502380e-01,2.188962185755372047e-03,3.963158279657363892e-02,1.490400028228759766e+01,1.560000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.076338768005371094e+00,1.920599460601806641e+00,4.720000028610229492e-01,0.000000000000000000e+00,1.571301557123661041e-02,2.047487449645996094e+01,6.000000000000000000e+03
1.027026996016502380e-01,8.777853101491928101e-02,1.998220337554812431e-03,3.052560053765773773e-02,1.431599998474121094e+01,1.519999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.069927930831909180e+00,2.023124933242797852e+00,4.300000071525573730e-01,0.000000000000000000e+00,1.311316154897212982e-02,3.099970054626464844e+01,6.500000000000000000e+03
1.027026996016502380e-01,6.153846159577369690e-02,1.992137636989355087e-03,2.710944786667823792e-02,1.471199989318847656e+01,1.560000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.090368509292602539e+00,2.011524438858032227e+00,4.560000002384185791e-01,0.000000000000000000e+00,1.356419082731008530e-02,2.085725784301757812e+01,7.000000000000000000e+03
1.027026996016502380e-01,9.238665550947189331e-02,1.755729550495743752e-03,2.720557525753974915e-02,1.477600002288818359e+01,1.380000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.078965425491333008e+00,2.013698339462280273e+00,5.059999823570251465e-01,0.000000000000000000e+00,1.183318998664617538e-02,2.359963035583496094e+01,7.500000000000000000e+03
1.027026996016502380e-01,5.785124003887176514e-02,2.075986471027135849e-03,3.024232387542724609e-02,1.466800022125244141e+01,1.280000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.077887296676635742e+00,2.061846256256103516e+00,4.420000016689300537e-01,0.000000000000000000e+00,1.596269384026527405e-02,1.993264007568359375e+01,8.000000000000000000e+03
1.027026996016502380e-01,4.444444552063941956e-02,1.739281229674816132e-03,1.657640933990478516e-02,1.460799980163574219e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.048303365707397461e+00,1.981539368629455566e+00,4.480000138282775879e-01,0.000000000000000000e+00,1.034405175596475601e-02,2.338160324096679688e+01,8.500000000000000000e+03
1.027026996016502380e-01,8.042895793914794922e-02,1.986380899325013161e-03,2.715862356126308441e-02,1.475599956512451172e+01,1.500000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.060811042785644531e+00,2.034215211868286133e+00,4.720000028610229492e-01,0.000000000000000000e+00,1.571301557123661041e-02,2.126202392578125000e+01,9.000000000000000000e+03
1.027026996016502380e-01,9.309966862201690674e-02,2.008375478908419609e-03,3.114057704806327820e-02,1.497200012207031250e+01,1.280000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.067280054092407227e+00,2.011760711669921875e+00,4.699999988079071045e-01,0.000000000000000000e+00,1.117426063865423203e-02,2.262020492553710938e+01,9.500000000000000000e+03
1.027026996016502380e-01,8.972267806529998779e-02,2.011278877034783363e-03,2.867747470736503601e-02,1.487199974060058594e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.058447599411010742e+00,1.954489707946777344e+00,4.600000083446502686e-01,0.000000000000000000e+00,1.443298999220132828e-02,2.015947341918945312e+01,1.000000000000000000e+04
1.027026996016502380e-01,9.012131392955780029e-02,2.017243765294551849e-03,2.315124869346618652e-02,1.492399978637695312e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.065779209136962891e+00,1.977078080177307129e+00,4.399999976158142090e-01,0.000000000000000000e+00,1.187726855278015137e-02,2.334072685241699219e+01,1.050000000000000000e+04
1.027026996016502380e-01,3.132832050323486328e-02,1.536607625894248486e-03,1.256628893315792084e-02,1.528800010681152344e+01,1.380000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.500000000000000000e+01,5.000000000000000000e+02,1.500000000000000000e+01,3.057996034622192383e+00,2.258477449417114258e+00,4.620000123977661133e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.357227325439453125e+01,1.100000000000000000e+04
1.027026996016502380e-01,1.931415125727653503e-02,1.670201774686574936e-03,1.502248365432024002e-02,1.513599967956542969e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.046399593353271484e+00,2.004853248596191406e+00,4.519999921321868896e-01,0.000000000000000000e+00,1.141156069934368134e-02,2.959380912780761719e+01,1.150000000000000000e+04
1.027026996016502380e-01,4.724409431219100952e-02,1.926682190969586372e-03,2.074917405843734741e-02,1.494799995422363281e+01,1.360000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.047552108764648438e+00,2.008305549621582031e+00,4.300000071525573730e-01,0.000000000000000000e+00,1.289294473826885223e-02,2.114451217651367188e+01,1.200000000000000000e+04
1.027026996016502380e-01,5.090909078717231750e-02,2.196122193709015846e-03,3.278504312038421631e-02,1.528800010681152344e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.058598518371582031e+00,1.984829902648925781e+00,4.399999976158142090e-01,0.000000000000000000e+00,1.725541241466999054e-02,2.968327903747558594e+01,1.250000000000000000e+04
1.027026996016502380e-01,5.405405536293983459e-02,1.676541753113269806e-03,2.470733411610126495e-02,1.531599998474121094e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.063844680786132812e+00,1.980954051017761230e+00,4.920000135898590088e-01,0.000000000000000000e+00,1.187726855278015137e-02,3.104684257507324219e+01,1.300000000000000000e+04
1.286549717187881470e-01,1.286549717187881470e-01,1.894626533612608910e-03,2.844492346048355103e-02,1.511600017547607422e+01,1.560000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.053706407546997070e+00,1.896608829498291016e+00,4.499999880790710449e-01,0.000000000000000000e+00,1.194624230265617371e-02,2.353701400756835938e+01,1.350000000000000000e+04
1.286549717187881470e-01,4.195804148912429810e-02,1.649575540795922279e-03,2.005606144666671753e-02,1.535599994659423828e+01,1.380000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.064274549484252930e+00,1.967131853103637695e+00,4.480000138282775879e-01,0.000000000000000000e+00,1.062573771923780441e-02,2.871970748901367188e+01,1.400000000000000000e+04
1.286549717187881470e-01,2.666666731238365173e-02,1.775597920641303062e-03,1.640499942004680634e-02,1.527999973297119141e+01,1.360000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.056593418121337891e+00,1.981956243515014648e+00,3.959999978542327881e-01,0.000000000000000000e+00,1.159602683037519455e-02,2.303666877746582031e+01,1.450000000000000000e+04
1.286549717187881470e-01,7.290016114711761475e-02,2.205019351094961166e-03,2.726615779101848602e-02,1.535999965667724609e+01,1.500000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.061305761337280273e+00,1.989094972610473633e+00,4.120000004768371582e-01,0.000000000000000000e+00,1.554094441235065460e-02,2.544219207763671875e+01,1.500000000000000000e+04
1.286549717187881470e-01,6.333333253860473633e-02,1.808052766136825085e-03,2.170423045754432678e-02,1.531999969482421875e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.054529428482055664e+00,1.954346179962158203e+00,4.180000126361846924e-01,0.000000000000000000e+00,1.125401910394430161e-02,2.198627471923828125e+01,1.550000000000000000e+04
1.286549717187881470e-01,7.934508472681045532e-02,2.275318605825304985e-03,3.337447345256805420e-02,1.495199966430664062e+01,1.590909099578857422e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.100000000000000000e+01,5.000000000000000000e+02,1.100000000000000000e+01,3.054800510406494141e+00,2.023307561874389648e+00,3.819999992847442627e-01,0.000000000000000000e+00,1.571301557123661041e-02,2.336495971679687500e+01,1.600000000000000000e+04
1.286549717187881470e-01,7.169811427593231201e-02,2.428380772471427917e-03,3.943761438131332397e-02,1.506000041961669922e+01,1.519999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.059390306472778320e+00,1.985409021377563477e+00,3.799999952316284180e-01,0.000000000000000000e+00,2.380952425301074982e-02,2.597170639038085938e+01,1.650000000000000000e+04
1.286549717187881470e-01,7.311500608921051025e-02,2.289325930178165436e-03,3.370582684874534607e-02,1.520800018310546875e+01,1.700000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.200000000000000000e+01,5.000000000000000000e+02,1.200000000000000000e+01,3.053601026535034180e+00,2.095165252685546875e+00,4.219999909400939941e-01,0.000000000000000000e+00,1.571301557123661041e-02,2.447759246826171875e+01,1.700000000000000000e+04
1.286549717187881470e-01,8.312958478927612305e-02,1.936274464242160320e-03,2.330739982426166534e-02,1.544400024414062500e+01,1.620000076293945312e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.048589468002319336e+00,1.930611968040466309e+00,4.199999868869781494e-01,0.000000000000000000e+00,1.295896340161561966e-02,2.360980415344238281e+01,1.750000000000000000e+04
1.286549717187881470e-01,5.974842607975006104e-02,2.186915837228298187e-03,2.627083100378513336e-02,1.511999988555908203e+01,1.480000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.028751611709594727e+00,1.960034847259521484e+00,3.899999856948852539e-01,0.000000000000000000e+00,1.576325297355651855e-02,2.357638740539550781e+01,1.800000000000000000e+04
1.286549717187881470e-01,9.665427356958389282e-02,2.233144361525774002e-03,3.444081917405128479e-02,1.543200016021728516e+01,1.720000076293945312e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.018001317977905273e+00,1.868092298507690430e+00,4.339999854564666748e-01,0.000000000000000000e+00,1.576090976595878601e-02,2.326419448852539062e+01,1.850000000000000000e+04
1.286549717187881470e-01,5.106382817029953003e-02,1.712974393740296364e-03,1.915584690868854523e-02,1.486800003051757812e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.070667028427124023e+00,1.992024183273315430e+00,3.939999938011169434e-01,0.000000000000000000e+00,1.009372714906930923e-02,2.805058670043945312e+01,1.900000000000000000e+04
1.286549717187881470e-01,3.952569141983985901e-02,1.886784448288381100e-03,2.063268423080444336e-02,1.498400020599365234e+01,1.600000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.023682355880737305e+00,1.925404667854309082e+00,3.860000073909759521e-01,0.000000000000000000e+00,1.187726855278015137e-02,2.869958496093750000e+01,1.950000000000000000e+04
1.286549717187881470e-01,4.268292710185050964e-02,1.887492835521697998e-03,2.247517183423042297e-02,1.523200035095214844e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.016612529754638672e+00,1.994039773941040039e+00,3.779999911785125732e-01,0.000000000000000000e+00,1.183149684220552444e-02,3.441566848754882812e+01,2.000000000000000000e+04
