r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
0.1286549707602339,1,0,"product_reichenbach(x3, 0.9249224570878198*x1*x14 + 0.9249224570878198*x11 + 0.9249224570878198*x4 - 0.0750775429121802*x7 - 2.3473396356628024)","product_reichenbach,x3,sub,mul,add,x7,add,add,-2.5378772216792727,x11,add,x4,mul,x1,x14,0.9249224570878198,x7",2.10138902343322,2.10138902343322,False,0.1286549707602339,0.1286549707602339
0.10270270270270271,1,0,"product_reichenbach(x1*x4*(x19 - 0.7416104786866612*x21 + x8) + x3 - 2*x5, x5)","product_reichenbach,sub,sub,x3,x5,sub,x5,mul,mul,add,add,x8,mul,x21,-0.7416104786866612,x19,x4,x1,x5",1.5607632120354118,1.5607632120354118,False,0.10270270270270271,0.10270270270270271
0.09665427509293681,1,0,"-x14 + x21*product_reichenbach(x12, x14)/(x10 + (x3 - 0.1523375558964943)/x10)","sub,mul,x21,div,product_reichenbach,x12,x14,add,div,add,x3,-0.1523375558964943,x10,x10,x14",1.1423658449536298,1.1423658449536298,False,0.09665427509293681,0.09665427509293681
0.09309967141292443,1,0,"-x19 + x21 - x3 + product_reichenbach(x4, x1*x11*(-x18/x9 + x5))","sub,x21,sub,add,x3,x19,product_reichenbach,x4,mul,mul,sub,x5,div,x18,x9,x11,x1",7.78501168412844,7.78501168412844,False,0.09309967141292443,0.09309967141292443
0.09238665526090677,1,0,"product_reichenbach(x3/x1, x4 - 0.4343521986975697)","product_reichenbach,div,x3,x1,add,-0.4343521986975697,x4",4.987860746896302,4.987860746896302,False,0.09238665526090677,0.09238665526090677
0.0901213171577123,1,0,"(x21 - product_reichenbach(x13 + x9, x14))/(x11*(x21 + x8))","div,sub,x21,product_reichenbach,add,x9,x13,x14,mul,x11,add,x21,x8",2.468074356381299,2.468074356381299,False,0.0901213171577123,0.0901213171577123
0.08972267536704731,1,0,"x15 - product_reichenbach(x4, x3 - 0.10686498899852892/x3)","sub,x15,product_reichenbach,x4,sub,x3,div,0.10686498899852892,x3",5.246420917564818,5.246420917564818,False,0.08972267536704731,0.08972267536704731
0.08777852802160703,1,0,"product_reichenbach(x17 + x18 + x19/x9 + 0.3598099184094781, x14 - x3)","product_reichenbach,add,add,0.3598099184094781,x17,add,div,x19,x9,x18,sub,x14,x3",6.351178010421209,6.351178010421209,False,0.08777852802160703,0.08777852802160703
0.08312958435207825,1,0,"-x1*x10*product_reichenbach(x12*x14*(x14 + x18*(-x20 + x7)), x5) + x5","sub,x5,mul,x10,mul,x1,product_reichenbach,mul,mul,add,mul,sub,x7,x20,x18,x14,x12,x14,x5",3.525820509116141,3.525820509116141,False,0.08312958435207825,0.08312958435207825
0.08042895442359249,1,0,"x1*x18*product_reichenbach(x10**2*x16*x9*(x12 + x18*x19*x5)/x11, x15)","mul,x1,mul,x18,product_reichenbach,mul,div,x16,x11,mul,mul,mul,add,mul,mul,x18,x5,x19,x12,x10,x9,x10,x15",4.8374257385073465,4.8374257385073465,False,0.08042895442359249,0.08042895442359249
0.07934508816120908,1,0,"x21 - product_reichenbach(x15, x16*(-1.1804166518643215*x1*x18 + 0.1804166518643215*x16)/x11)","sub,x21,product_reichenbach,x15,mul,x16,div,sub,mul,-1.1804166518643215,sub,mul,x1,x18,x16,x16,x11",6.872999445770398,6.872999445770398,False,0.07934508816120908,0.07934508816120908
0.07766990291262135,1,0,"-x9 - product_reichenbach(x3*x8, x17) + x21/x11","sub,div,x21,x11,add,x9,product_reichenbach,mul,x8,x3,x17",3.126227518082979,3.126227518082979,False,0.07766990291262135,0.07766990291262135
0.07356948228882834,1,0,"-x13*(x18 + product_reichenbach(0.5007740592308552*x12, -x15 - x19 + x3)) + x14","sub,x14,mul,x13,add,x18,product_reichenbach,mul,0.5007740592308552,x12,sub,sub,x3,x15,x19",6.393487856530603,6.393487856530603,False,0.07356948228882834,0.07356948228882834
0.07311500380807313,1,0,"product_reichenbach(x2, x14 + x15*(-x1*(-x13 + x6 + (x1*x3 - x11)/x14) - 2.2628269404776247))","product_reichenbach,x2,add,mul,sub,-2.2628269404776247,mul,x1,add,sub,x6,x13,div,sub,mul,x3,x1,x11,x14,x15,x14",5.721231412792458,5.721231412792458,False,0.07311500380807313,0.07311500380807313
0.07290015847860538,1,0,"product_reichenbach(1.0192295362702404, x21/(x1 + x19 + x2 + x6 + x8))","product_reichenbach,1.0192295362702404,div,x21,add,x1,add,x8,add,x19,add,x6,x2",2.7501399971105904,2.7501399971105904,False,0.07290015847860538,0.07290015847860538
0.07169811320754715,1,0,"x9*product_reichenbach(x3, x7*(x21 - x4*(x15 - x2 + x20)))","mul,x9,product_reichenbach,x3,mul,x7,sub,x21,mul,add,x15,sub,x20,x2,x4",4.625876507960378,4.625876507960378,False,0.07169811320754715,0.07169811320754715
0.06928406466512702,1,0,"x18*(x1 - x14*x9*product_reichenbach(x18, x16*x5*(x1/x2 + x4)) - x21)","mul,sub,x1,add,mul,mul,product_reichenbach,x18,mul,x5,mul,add,div,x1,x2,x4,x16,x9,x14,x21,x18",5.683622660695219,5.683622660695219,False,0.06928406466512702,0.06928406466512702
0.06746626686656672,1,0,"x1*product_reichenbach(x10 + x11 - x19, x18**2)","mul,x1,product_reichenbach,add,x10,sub,x11,x19,mul,x18,x18",5.848160951120639,5.848160951120639,False,0.06746626686656672,0.06746626686656672
