r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
8.152174204587936401e-02,8.152174204587936401e-02,1.705909846350550652e-03,2.108480967581272125e-02,1.449199962615966797e+01,1.300000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.086126089096069336e+00,1.990859031677246094e+00,5.099999904632568359e-01,0.000000000000000000e+00,1.159420330077409744e-02,3.417625045776367188e+01,5.000000000000000000e+02
9.750812500715255737e-02,9.750812500715255737e-02,1.755354111082851887e-03,3.168491646647453308e-02,1.464799976348876953e+01,1.160000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.069100141525268555e+00,1.959409594535827637e+00,4.920000135898590088e-01,0.000000000000000000e+00,1.224281545728445053e-02,2.334809112548828125e+01,1.000000000000000000e+03
9.750812500715255737e-02,7.482561469078063965e-02,1.754994969815015793e-03,2.556246519088745117e-02,1.473999977111816406e+01,1.360000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.065154075622558594e+00,1.977127432823181152e+00,5.059999823570251465e-01,0.000000000000000000e+00,1.266335695981979370e-02,2.418399047851562500e+01,1.500000000000000000e+03
9.750812500715255737e-02,6.081081181764602661e-02,2.136981580406427383e-03,3.023004159331321716e-02,1.507600021362304688e+01,1.419999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.073220491409301758e+00,1.971364617347717285e+00,4.799999892711639404e-01,0.000000000000000000e+00,1.569324173033237457e-02,3.058074569702148438e+01,2.000000000000000000e+03
9.944751113653182983e-02,9.944751113653182983e-02,1.973615959286689758e-03,3.321715071797370911e-02,1.479199981689453125e+01,1.263636398315429688e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.100000000000000000e+01,5.000000000000000000e+02,1.100000000000000000e+01,3.081508159637451172e+00,2.117511510848999023e+00,5.139999985694885254e-01,0.000000000000000000e+00,1.571301557123661041e-02,2.155279159545898438e+01,2.500000000000000000e+03
9.944751113653182983e-02,3.624445572495460510e-02,1.497473916970193386e-03,1.511471904814243317e-02,1.495600032806396484e+01,1.500000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.076155662536621094e+00,1.958478450775146484e+00,4.699999988079071045e-01,0.000000000000000000e+00,9.398186579346656799e-03,2.471328926086425781e+01,3.000000000000000000e+03
9.944751113653182983e-02,4.022988677024841309e-02,1.372410915791988373e-03,1.530837547034025192e-02,1.529199981689453125e+01,1.560000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.098274469375610352e+00,1.994439601898193359e+00,5.279999971389770508e-01,0.000000000000000000e+00,9.427195414900779724e-03,1.856260299682617188e+01,3.500000000000000000e+03
1.080368906259536743e-01,1.080368906259536743e-01,1.989115262404084206e-03,3.288394585251808167e-02,1.459200000762939453e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.077989339828491211e+00,1.960839271545410156e+00,4.519999921321868896e-01,0.000000000000000000e+00,1.305724121630191803e-02,2.092333984375000000e+01,4.000000000000000000e+03
1.080368906259536743e-01,5.223880708217620850e-02,1.772235147655010223e-03,2.589685283601284027e-02,1.489999961853027344e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.066224098205566406e+00,1.989853858947753906e+00,4.819999933242797852e-01,0.000000000000000000e+00,1.586007513105869293e-02,2.082659339904785156e+01,4.500000000000000000e+03
1.080368906259536743e-01,8.917197585105895996e-02,1.620384166017174721e-03,2.291945181787014008e-02,1.479199981689453125e+01,1.419999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.069447994232177734e+00,1.923034787178039551e+00,5.120000243186950684e-01,0.000000000000000000e+00,1.167418435215950012e-02,1.840888023376464844e+01,5.000000000000000000e+03
