r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
5.857740715146064758e-02,5.857740715146064758e-02,1.724748406559228897e-03,2.267797291278839111e-02,1.565600013732910156e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.073146581649780273e+00,2.016894817352294922e+00,4.839999973773956299e-01,0.000000000000000000e+00,1.204335596412420273e-02,4.000801467895507812e+01,5.000000000000000000e+02
5.857740715146064758e-02,4.597701132297515869e-02,1.835244358517229557e-03,2.006506547331809998e-02,1.584799957275390625e+01,1.580000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.072772264480590820e+00,1.964358568191528320e+00,4.639999866485595703e-01,0.000000000000000000e+00,1.475925464183092117e-02,3.143427467346191406e+01,1.000000000000000000e+03
5.857740715146064758e-02,4.527081549167633057e-02,1.743041910231113434e-03,1.955350860953330994e-02,1.564799976348876953e+01,1.679999923706054688e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.072228908538818359e+00,1.896185755729675293e+00,4.420000016689300537e-01,0.000000000000000000e+00,1.510067097842693329e-02,2.571893310546875000e+01,1.500000000000000000e+03
8.994276076555252075e-02,8.994276076555252075e-02,1.505256281234323978e-03,1.763772591948509216e-02,1.564400005340576172e+01,1.330769252777099609e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.300000000000000000e+01,5.000000000000000000e+02,1.300000000000000000e+01,3.060517787933349609e+00,2.222634077072143555e+00,4.799999892711639404e-01,0.000000000000000000e+00,9.345794096589088440e-03,3.279941558837890625e+01,2.000000000000000000e+03
8.994276076555252075e-02,4.191616922616958618e-02,1.615256885997951031e-03,1.865755021572113037e-02,1.612800025939941406e+01,1.319999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.080234289169311523e+00,2.024061203002929688e+00,5.080000162124633789e-01,0.000000000000000000e+00,1.416961848735809326e-02,3.057357788085937500e+01,2.500000000000000000e+03
8.994276076555252075e-02,7.985480874776840210e-02,1.679475069977343082e-03,2.453029341995716095e-02,1.600399971008300781e+01,1.560000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.068386793136596680e+00,1.933385252952575684e+00,4.679999947547912598e-01,0.000000000000000000e+00,1.187271811068058014e-02,2.942477798461914062e+01,3.000000000000000000e+03
8.994276076555252075e-02,5.042016878724098206e-02,1.801636535674333572e-03,2.020123414695262909e-02,1.567599964141845703e+01,1.519999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.057920217514038086e+00,1.941654801368713379e+00,4.620000123977661133e-01,0.000000000000000000e+00,1.235839352011680603e-02,2.496048545837402344e+01,3.500000000000000000e+03
8.994276076555252075e-02,3.809523954987525940e-02,1.856015762314200401e-03,1.815828308463096619e-02,1.568400001525878906e+01,1.380000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.075754880905151367e+00,2.013698339462280273e+00,4.399999976158142090e-01,0.000000000000000000e+00,1.265155524015426636e-02,2.702368736267089844e+01,4.000000000000000000e+03
1.329787224531173706e-01,1.329787224531173706e-01,2.097925636917352676e-03,3.120583854615688324e-02,1.573999977111816406e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.066817998886108398e+00,1.943074941635131836e+00,4.539999961853027344e-01,0.000000000000000000e+00,1.487823668867349625e-02,3.559212493896484375e+01,4.500000000000000000e+03
1.329787224531173706e-01,8.802817016839981079e-02,2.049116883426904678e-03,2.570815756916999817e-02,1.542399978637695312e+01,1.419999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.062360525131225586e+00,1.937577247619628906e+00,3.899999856948852539e-01,0.000000000000000000e+00,1.358760427683591843e-02,2.569304656982421875e+01,5.000000000000000000e+03
