r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
4.191616922616958618e-02,4.191616922616958618e-02,1.614276436157524586e-03,1.843932829797267914e-02,1.588399982452392578e+01,1.620000076293945312e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.079197168350219727e+00,1.974453449249267578e+00,4.699999988079071045e-01,0.000000000000000000e+00,9.760139510035514832e-03,3.729297637939453125e+01,5.000000000000000000e+02
4.191616922616958618e-02,3.802281245589256287e-02,1.935112290084362030e-03,2.247068658471107483e-02,1.564000034332275391e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.051458358764648438e+00,1.970848441123962402e+00,4.499999880790710449e-01,0.000000000000000000e+00,1.299783401191234589e-02,2.381526756286621094e+01,1.000000000000000000e+03
4.191616922616958618e-02,2.257336303591728210e-02,1.859135110862553120e-03,1.555456686764955521e-02,1.560799980163574219e+01,1.560000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.070498704910278320e+00,1.964292168617248535e+00,4.740000069141387939e-01,0.000000000000000000e+00,1.107801683247089386e-02,2.244605064392089844e+01,1.500000000000000000e+03
4.773082956671714783e-02,4.773082956671714783e-02,1.625082921236753464e-03,1.829354651272296906e-02,1.581599998474121094e+01,1.519999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.052650213241577148e+00,2.025951623916625977e+00,4.839999973773956299e-01,0.000000000000000000e+00,9.412861429154872894e-03,2.477472305297851562e+01,2.000000000000000000e+03
8.320950716733932495e-02,8.320950716733932495e-02,1.849479973316192627e-03,2.773651108145713806e-02,1.593599987030029297e+01,1.700000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.061519384384155273e+00,1.987346768379211426e+00,4.620000123977661133e-01,0.000000000000000000e+00,1.098256185650825500e-02,2.104841423034667969e+01,2.500000000000000000e+03
8.320950716733932495e-02,4.310344904661178589e-02,1.723038498312234879e-03,1.620907895267009735e-02,1.572799968719482422e+01,1.453846168518066406e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.300000000000000000e+01,5.000000000000000000e+02,1.300000000000000000e+01,3.052624702453613281e+00,2.179627180099487305e+00,4.359999895095825195e-01,0.000000000000000000e+00,9.345794096589088440e-03,3.343047332763671875e+01,3.000000000000000000e+03
8.320950716733932495e-02,7.218683511018753052e-02,1.770354574546217918e-03,2.053926512598991394e-02,1.583600044250488281e+01,1.460000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.083732843399047852e+00,1.971477508544921875e+00,4.239999949932098389e-01,0.000000000000000000e+00,1.019814796745777130e-02,2.786864662170410156e+01,3.500000000000000000e+03
1.199294552206993103e-01,1.199294552206993103e-01,2.508741104975342751e-03,4.522235691547393799e-02,1.530799961090087891e+01,1.500000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.076890230178833008e+00,1.987346768379211426e+00,4.519999921321868896e-01,0.000000000000000000e+00,1.586007513105869293e-02,2.368711090087890625e+01,4.000000000000000000e+03
1.199294552206993103e-01,8.115942031145095825e-02,1.876935362815856934e-03,2.611206844449043274e-02,1.550800037384033203e+01,1.720000076293945312e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.096476554870605469e+00,1.975232601165771484e+00,4.560000002384185791e-01,0.000000000000000000e+00,1.356710493564605713e-02,2.307111930847167969e+01,4.500000000000000000e+03
1.199294552206993103e-01,8.979000896215438843e-02,2.048868918791413307e-03,3.539915755391120911e-02,1.579199981689453125e+01,1.480000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.060297727584838867e+00,1.971687316894531250e+00,4.399999976158142090e-01,0.000000000000000000e+00,1.423319801688194275e-02,2.552222061157226562e+01,5.000000000000000000e+03
1.199294552206993103e-01,2.439024299383163452e-02,1.799732912331819534e-03,1.836604252457618713e-02,1.559599971771240234e+01,1.500000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.078533887863159180e+00,1.969673156738281250e+00,4.620000123977661133e-01,0.000000000000000000e+00,1.552415825426578522e-02,2.498166847229003906e+01,5.500000000000000000e+03
