r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
6.786171346902847290e-02,6.786171346902847290e-02,1.760312006808817387e-03,6.381080951541662216e-03,1.417599964141845703e+01,1.360000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.655172348022460938e+00,2.586206912994384766e+00,4.720000028610229492e-01,0.000000000000000000e+00,2.698986558243632317e-03,3.230092620849609375e+01,5.000000000000000000e+02
6.786171346902847290e-02,3.575685247778892517e-02,1.688022399321198463e-03,5.892783869057893753e-03,1.407199954986572266e+01,1.261999988555908203e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.640000104904174805e+00,2.559999942779541016e+00,4.440000057220458984e-01,0.000000000000000000e+00,3.062433097511529922e-03,3.009550476074218750e+01,1.000000000000000000e+03
8.759123831987380981e-02,8.759123831987380981e-02,1.733300741761922836e-03,6.166185252368450165e-03,1.410000038146972656e+01,1.293999958038330078e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.640000104904174805e+00,2.599999904632568359e+00,4.779999852180480957e-01,0.000000000000000000e+00,2.877795137465000153e-03,1.921990394592285156e+01,1.500000000000000000e+03
9.823910892009735107e-02,9.823910892009735107e-02,2.110430505126714706e-03,7.653373293578624725e-03,1.388799953460693359e+01,1.188000011444091797e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.680000066757202148e+00,2.640000104904174805e+00,4.979999959468841553e-01,0.000000000000000000e+00,3.170377807691693306e-03,2.762335968017578125e+01,2.000000000000000000e+03
9.823910892009735107e-02,7.087172567844390869e-02,1.751118572428822517e-03,5.681620910763740540e-03,1.431599998474121094e+01,1.353999996185302734e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.703703641891479492e+00,2.629629611968994141e+00,4.440000057220458984e-01,0.000000000000000000e+00,2.723508980125188828e-03,2.459228134155273438e+01,2.500000000000000000e+03
9.823910892009735107e-02,5.412629619240760803e-02,1.978407381102442741e-03,6.696681492030620575e-03,1.414000034332275391e+01,1.310000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.703703641891479492e+00,2.629629611968994141e+00,4.300000071525573730e-01,0.000000000000000000e+00,2.799932146444916725e-03,2.554035186767578125e+01,3.000000000000000000e+03
9.823910892009735107e-02,1.571301557123661041e-02,1.603242009878158569e-03,5.263569299131631851e-03,1.402400016784667969e+01,1.293999958038330078e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.695652246475219727e+00,2.521739244461059570e+00,4.440000057220458984e-01,0.000000000000000000e+00,2.969404449686408043e-03,2.542997741699218750e+01,3.500000000000000000e+03
9.823910892009735107e-02,4.310344904661178589e-02,2.086548367515206337e-03,6.979214958846569061e-03,1.408800029754638672e+01,1.315999984741210938e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.640000104904174805e+00,2.599999904632568359e+00,4.059999883174896240e-01,0.000000000000000000e+00,3.405497409403324127e-03,2.980338478088378906e+01,4.000000000000000000e+03
1.218274086713790894e-01,1.218274086713790894e-01,2.199487760663032532e-03,7.747177500277757645e-03,1.411200046539306641e+01,1.306000041961669922e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.720000028610229492e+00,2.559999942779541016e+00,4.180000126361846924e-01,0.000000000000000000e+00,2.990026026964187622e-03,2.943799781799316406e+01,4.500000000000000000e+03
1.218274086713790894e-01,4.597701132297515869e-02,2.094924217090010643e-03,7.191950920969247818e-03,1.380399990081787109e+01,1.242000007629394531e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+02,2.759999990463256836e+00,2.599999904632568359e+00,4.040000140666961670e-01,0.000000000000000000e+00,3.178088925778865814e-03,2.189925384521484375e+01,5.000000000000000000e+03
