r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
6.928406655788421631e-02,6.928406655788421631e-02,1.612286432646214962e-03,2.305161207914352417e-02,1.443200016021728516e+01,1.280000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.050130844116210938e+00,1.958675742149353027e+00,5.379999876022338867e-01,0.000000000000000000e+00,1.191231422126293182e-02,2.243938446044921875e+01,5.000000000000000000e+02
6.928406655788421631e-02,2.537485584616661072e-02,1.599998096935451031e-03,1.714502461254596710e-02,1.403999996185302734e+01,1.239999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.030492782592773438e+00,2.035785675048828125e+00,5.239999890327453613e-01,0.000000000000000000e+00,1.416685432195663452e-02,1.795408630371093750e+01,1.000000000000000000e+03
9.384907782077789307e-02,9.384907782077789307e-02,1.617103582248091698e-03,3.161067515611648560e-02,1.447200012207031250e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.060147047042846680e+00,1.982635617256164551e+00,5.559999942779541016e-01,0.000000000000000000e+00,9.798203594982624054e-03,1.672016334533691406e+01,1.500000000000000000e+03
9.384907782077789307e-02,8.057296276092529297e-02,1.746478839777410030e-03,2.747732028365135193e-02,1.405599975585937500e+01,1.080000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.068819046020507812e+00,2.040050029754638672e+00,4.959999918937683105e-01,0.000000000000000000e+00,1.500227302312850952e-02,2.476469230651855469e+01,2.000000000000000000e+03
9.384907782077789307e-02,7.999999821186065674e-02,1.639195252209901810e-03,2.114038914442062378e-02,1.439200019836425781e+01,1.360000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.064579725265502930e+00,1.968490839004516602e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.159951183944940567e-02,1.885115242004394531e+01,2.500000000000000000e+03
9.384907782077789307e-02,6.469002366065979004e-02,1.875115907751023769e-03,2.412467077374458313e-02,1.419999980926513672e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.052833795547485352e+00,2.022847890853881836e+00,4.819999933242797852e-01,0.000000000000000000e+00,1.571301557123661041e-02,2.563962554931640625e+01,3.000000000000000000e+03
9.384907782077789307e-02,2.668247930705547333e-02,1.511465641669929028e-03,1.721156202256679535e-02,1.395600032806396484e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.053153276443481445e+00,1.946574687957763672e+00,5.059999823570251465e-01,0.000000000000000000e+00,1.256424933671951294e-02,1.951342391967773438e+01,3.500000000000000000e+03
9.384907782077789307e-02,6.928406655788421631e-02,1.431211596354842186e-03,1.325097028166055679e-02,1.393200016021728516e+01,1.316666698455810547e+01,-1.000000000000000000e+00,5.000000000000000000e+02,2.400000000000000000e+01,5.000000000000000000e+02,2.400000000000000000e+01,3.059690475463867188e+00,2.514154672622680664e+00,4.819999933242797852e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.053226852416992188e+01,4.000000000000000000e+03
9.384907782077789307e-02,3.053435124456882477e-02,1.326985307969152927e-03,1.417388115078210831e-02,1.421599960327148438e+01,1.286666679382324219e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.500000000000000000e+01,5.000000000000000000e+02,1.500000000000000000e+01,3.047934532165527344e+00,2.195955276489257812e+00,4.860000014305114746e-01,0.000000000000000000e+00,9.345794096589088440e-03,1.973266983032226562e+01,4.500000000000000000e+03
9.384907782077789307e-02,4.501607641577720642e-02,1.618374488316476345e-03,1.907475665211677551e-02,1.424400043487548828e+01,1.300000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.043745040893554688e+00,1.976670384407043457e+00,4.720000028610229492e-01,0.000000000000000000e+00,1.278281956911087036e-02,2.162405014038085938e+01,5.000000000000000000e+03
1.198156699538230896e-01,1.198156699538230896e-01,2.269745571538805962e-03,4.121606796979904175e-02,1.397599983215332031e+01,1.439999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.067850351333618164e+00,1.950147509574890137e+00,4.659999907016754150e-01,0.000000000000000000e+00,1.507073268294334412e-02,2.090834045410156250e+01,5.500000000000000000e+03
1.198156699538230896e-01,7.009346038103103638e-02,1.847350155003368855e-03,2.869629673659801483e-02,1.433199977874755859e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.055944681167602539e+00,1.933808326721191406e+00,4.920000135898590088e-01,0.000000000000000000e+00,1.477832533419132233e-02,1.941452789306640625e+01,6.000000000000000000e+03
1.198156699538230896e-01,2.647022157907485962e-02,1.534704817458987236e-03,1.661638356745243073e-02,1.406400012969970703e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.050153732299804688e+00,1.966313838958740234e+00,4.339999854564666748e-01,0.000000000000000000e+00,1.071155350655317307e-02,2.708264541625976562e+01,6.500000000000000000e+03
1.198156699538230896e-01,2.760416641831398010e-02,1.629900652915239334e-03,1.989281550049781799e-02,1.389200019836425781e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,3.069279432296752930e+00,1.990543365478515625e+00,4.580000042915344238e-01,0.000000000000000000e+00,1.433626748621463776e-02,2.499412536621093750e+01,7.000000000000000000e+03
