r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
0.1316211878009631,1,0,"product_reichenbach(x10, x21 - x3*(x2*(x14 + x21 - (x1 - x13)*(x20 + x21)) + x4))","product_reichenbach,x10,sub,x21,mul,add,x4,mul,sub,x14,sub,mul,add,x21,x20,sub,x1,x13,x21,x2,x3",2.543291860575777,2.543291860575777,False,0.1316211878009631,0.1316211878009631
0.12913385826771653,1,0,"product_reichenbach(x10 + x5, x21 - x3)","product_reichenbach,add,x5,x10,sub,x21,x3",2.599704988721635,2.599704988721635,False,0.12913385826771653,0.12913385826771653
0.12913385826771653,1,0,"product_reichenbach(x14, x21*(-x11*x17*x9 + x21 - x3))","product_reichenbach,x14,mul,x21,sub,x21,add,x3,mul,x11,mul,x9,x17",2.599704988721635,2.599704988721635,False,0.12913385826771653,0.12913385826771653
0.11188811188811189,1,0,"product_reichenbach(x3, -x1 - x15 - x21 - 2*x5 + x21/x15)","product_reichenbach,x3,sub,div,x21,x15,add,add,x5,x5,add,add,x21,x1,x15",1.7911168186309998,1.7911168186309998,False,0.11188811188811189,0.11188811188811189
0.10772357723577236,1,0,"product_reichenbach(x3, x1 - x21 + (-x14 + x21*(x1 + 0.03002856124468728*x15 - x5)/x3)/x10)","product_reichenbach,x3,add,sub,div,sub,mul,x21,div,sub,add,x1,div,x15,33.30162880104428,x5,x3,x14,x10,x21,x1",8.255121085343927,8.255121085343927,False,0.10772357723577236,0.10772357723577236
0.10729023383768914,1,0,"product_reichenbach(x3, -x1 + x21)","product_reichenbach,x3,sub,x21,x1",3.051010013888501,3.051010013888501,False,0.10729023383768914,0.10729023383768914
0.10441767068273093,1,0,"product_reichenbach(x13, -x10 + x21/x4 - 2*x8)","product_reichenbach,x13,sub,sub,sub,div,x21,x4,x8,x8,x10",2.096687929421065,2.096687929421065,False,0.10441767068273093,0.10441767068273093
0.10021786492374729,1,0,"product_reichenbach(x10, x15*x18*(x1 - x13*x20*x21*x9 - x5))","product_reichenbach,x10,mul,x18,mul,x15,sub,sub,x1,mul,mul,mul,x21,x9,x13,x20,x5",3.8831036540399104,3.8831036540399104,False,0.10021786492374729,0.10021786492374729
0.09437180216031836,1,0,"product_reichenbach(x2, (x10/(x16 + x4 + x7) - x3)*(5.364349424250495*x12*x21 - x6))","product_reichenbach,x2,mul,sub,mul,mul,5.364349424250495,x21,x12,x6,sub,div,x10,add,add,x7,x16,x4,x3",7.488842761362684,7.488842761362684,False,0.09437180216031836,0.09437180216031836
0.09342347879532883,1,0,"product_reichenbach(x10, x15*(x10*x21/x3 - x16)*(-x15 + x4 + x7))","product_reichenbach,x10,mul,sub,x7,sub,x15,x4,mul,sub,mul,div,x10,x3,x21,x16,x15",6.934113667928411,6.934113667928411,False,0.09342347879532883,0.09342347879532883
0.09274983670803397,1,0,"product_reichenbach(x3, x15*x21 + x20*(x13*x21 + x6) - 0.4686027197142214)","product_reichenbach,x3,add,sub,mul,x15,x21,0.4686027197142214,mul,add,x6,mul,x21,x13,x20",6.529819582883094,6.529819582883094,False,0.09274983670803397,0.09274983670803397
0.09174311926605505,1,0,"product_reichenbach(x9, x10 - x20 + x21 - x3 - x4 + x5 + x8 - x9)","product_reichenbach,x9,sub,x21,add,x20,add,add,x3,sub,sub,x4,x5,add,x10,x8,x9",7.446532915253291,7.446532915253291,False,0.09174311926605505,0.09174311926605505
0.08775510204081632,1,0,"product_reichenbach(x12, x21/(x20 + x21 + x3))","product_reichenbach,x12,div,x21,add,add,x20,x3,x21",4.20277804686644,4.20277804686644,False,0.08775510204081632,0.08775510204081632
0.08759124087591241,1,0,"product_reichenbach(x1, x10 - x3/(x12*(x12 + x21)))","product_reichenbach,x1,sub,x10,div,x3,mul,x12,add,x12,x21",5.288730763674212,5.288730763674212,False,0.08759124087591241,0.08759124087591241
0.08759124087591241,1,0,"product_reichenbach(x13, x21*(x10 + x18) - 0.4865517886330355*x3)","product_reichenbach,x13,add,mul,x21,add,x18,x10,mul,-0.4865517886330355,x3",5.288730763674212,5.288730763674212,False,0.08759124087591241,0.08759124087591241
0.08605851979345955,1,0,"product_reichenbach(x15/(x10 + x21/(x11 + x20)), x5)","product_reichenbach,div,x15,add,div,x21,add,x20,x11,x10,x5",2.496280920454228,2.496280920454228,False,0.08605851979345955,0.08605851979345955
0.0858085808580858,1,0,"product_reichenbach(x3, x21/(x12 + x8) - 0.39003824899593603/x9)","product_reichenbach,x3,add,div,-0.39003824899593603,x9,div,x21,add,x8,x12",1.3022030413668948,1.3022030413668948,False,0.0858085808580858,0.0858085808580858
0.08504398826979472,1,0,"product_reichenbach(x2, x6 + 0.3094357822835035*(-x15 - x16*x6 + x21 + x5 - x6)/x11)","product_reichenbach,x2,sub,x6,mul,-0.3094357822835035,div,sub,sub,sub,x21,sub,mul,x16,x6,x5,x15,x6,x11",2.9334826635846296,2.9334826635846296,False,0.08504398826979472,0.08504398826979472
0.07678377399492937,1,0,"product_reichenbach(x3 + x5 - x6, (-x20/x8 + x21)/(x12 + x16))","product_reichenbach,add,sub,x3,x6,x5,div,sub,x21,div,x20,x8,add,x16,x12",11.983088636982727,11.983088636982727,False,0.07678377399492937,0.07678377399492937
0.07588652482269503,1,0,"product_reichenbach(-x15 + x16 - x3, -x21 + x3 + 1.6547516247367102)","product_reichenbach,sub,sub,x16,x15,x3,sub,x3,sub,x21,1.6547516247367102",12.251050995675552,12.251050995675552,False,0.07588652482269503,0.07588652482269503
0.07342143906020557,1,0,"product_reichenbach(x16/(x11*(-x21 + x8*(x11 + x2 + x11*x12/(x1*x10)))), x5)","product_reichenbach,div,div,x16,sub,mul,x8,add,add,x2,div,x12,div,mul,x10,x1,x11,x11,x21,x11,x5",2.9663903216697136,2.9663903216697136,False,0.07342143906020557,0.07342143906020557
0.07087172218284904,1,0,"product_reichenbach(x2, 0.4797268551338595*x11 - x3 + x5)","product_reichenbach,x2,add,mul,0.4797268551338595,x11,sub,x5,x3",6.163134249935014,6.163134249935014,False,0.07087172218284904,0.07087172218284904
0.07065217391304349,1,0,"product_reichenbach(x14, -x10 + x21 - (x1*(x20 + x6) - x15)*(-x11*x12 + x15))","product_reichenbach,x14,sub,x21,add,mul,sub,x15,mul,x11,x12,sub,mul,add,x20,x6,x1,x15,x10",3.215548304313921,3.215548304313921,False,0.07065217391304349,0.07065217391304349
0.07,1,0,"product_reichenbach(x2, -2*x12 - x19 - x8 + x21/x16)","product_reichenbach,x2,sub,sub,sub,div,x21,x16,x12,x19,add,x8,x12",3.497613945043212,3.497613945043212,False,0.07,0.07
0.06886657101865136,1,0,"product_reichenbach(x8, x21 - x9*(x2 - x6) - 0.1389784122571825)","product_reichenbach,x8,add,-0.1389784122571825,sub,x21,mul,sub,x2,x6,x9",3.051010013888501,3.051010013888501,False,0.06886657101865136,0.06886657101865136
0.06786171574903968,1,0,"product_reichenbach(x3, x21/(x16 + x5 + x9))","product_reichenbach,x3,div,x21,add,add,x9,x5,x16",13.68958576339494,13.68958576339494,False,0.06786171574903968,0.06786171574903968
0.06582278481012659,1,0,"product_reichenbach(x14, (x21 - x9)/x13)","product_reichenbach,x14,div,sub,x21,x9,x13",3.4694073809702832,3.4694073809702832,False,0.06582278481012659,0.06582278481012659
0.06438356164383562,1,0,"product_reichenbach(x3, x21*(x15 - x16*x2))","product_reichenbach,x3,mul,sub,x15,mul,x16,x2,x21",12.843388841207064,12.843388841207064,False,0.06438356164383562,0.06438356164383562
0.06317969963749352,1,0,"product_reichenbach(x3, -x11 + x12*x14 - x18 + x4 - 0.49322299290379834)","product_reichenbach,x3,add,mul,x12,x14,add,x4,sub,-0.49322299290379834,add,x18,x11",8.504279067988133,8.504279067988133,False,0.06317969963749352,0.06317969963749352
0.05857740585774059,1,0,"product_reichenbach(x3, x2*(x21*(x16 + x17*x4 + x19) - x8 + 0.2846581457590829))","product_reichenbach,x3,mul,x2,add,0.2846581457590829,sub,mul,x21,add,mul,x4,x17,add,x16,x19,x8",1.0577461527348424,1.0577461527348424,False,0.05857740585774059,0.05857740585774059
0.05363984674329502,1,0,"product_reichenbach(x13, x15 - x3*(x16 + x17 + x18))","product_reichenbach,x13,sub,x15,mul,add,add,x17,x18,x16,x3",1.1611702210022492,1.1611702210022492,False,0.05363984674329502,0.05363984674329502
0.052830188679245285,1,0,"product_reichenbach(x14, x15*x2*x21)","product_reichenbach,x14,mul,x15,mul,x21,mul,div,x14,x14,x2",1.1799745970508686,1.1799745970508686,False,0.052830188679245285,0.052830188679245285
0.05238649592549477,1,0,"product_reichenbach(x4, x11 - x18 - x3 + 0.1038043984199306 + x17*x19/x10)","product_reichenbach,x4,sub,x11,add,-0.05190220281919329,add,add,sub,-0.0519021956007373,div,mul,x19,x17,x10,x3,x18",7.653381051788104,7.653381051788104,False,0.05238649592549477,0.05238649592549477
0.050955414012738856,1,0,"product_reichenbach(x11, x16 - x4 + (-x12 + x21)/x8)","product_reichenbach,x11,sub,x16,sub,x4,div,sub,x21,x12,x8",4.903241054677514,4.903241054677514,False,0.050955414012738856,0.050955414012738856
0.050106357835027183,1,0,"product_reichenbach(x4, x21/x3 - x6 - 0.5735766133186887)","product_reichenbach,x4,sub,div,x21,x3,add,0.5735766133186887,x6",18.89369683485036,18.89369683485036,False,0.050106357835027183,0.050106357835027183
0.04946996466431096,1,0,"product_reichenbach(x10 + x7, (-x16 + x21)/x1)","product_reichenbach,add,x7,x10,div,sub,x21,x16,x1",5.058377157078624,5.058377157078624,False,0.04946996466431096,0.04946996466431096
0.047244094488188976,1,0,"product_reichenbach(x13, -x15 + x21 + x6)","product_reichenbach,x13,sub,add,x21,x6,x15",1.1376647509414748,1.1376647509414748,False,0.047244094488188976,0.047244094488188976
0.04666666666666667,1,0,"product_reichenbach(x13, x16 + (x12 + x13 - x21)/(-x1 + x5))","product_reichenbach,x13,add,x16,div,add,sub,x12,x21,x13,sub,x5,x1",2.689025774952577,2.689025774952577,False,0.04666666666666667,0.04666666666666667
0.046511627906976744,1,0,"product_reichenbach(x3, x1 + x18 - 1.5696108762971943)","product_reichenbach,x3,add,x18,add,-1.5696108762971943,x1",1.9274485449834906,1.9274485449834906,False,0.046511627906976744,0.046511627906976744
0.045977011494252866,1,0,"product_reichenbach(x2, x10 - x14 - x16 + x21)","product_reichenbach,x2,sub,x21,sub,add,x14,x16,x10",9.754770075221323,9.754770075221323,False,0.045977011494252866,0.045977011494252866
0.044444444444444446,1,0,"product_reichenbach(-0.17178859719493308, (x11*x12*x18*(x15 + x4) + x15 + x3)/(x15*x4))","product_reichenbach,-0.17178859719493308,div,div,add,add,x3,x15,mul,mul,add,x15,x4,x11,mul,x18,x12,x4,x15",9.096616913519645,9.096616913519645,False,0.044444444444444446,0.044444444444444446
0.04329004329004329,1,0,"product_reichenbach(x12, -x11 - x14 + x21 - x4)","product_reichenbach,x12,sub,sub,x21,x4,add,x14,x11",1.038941776686223,1.038941776686223,False,0.04329004329004329,0.04329004329004329
0.04291845493562232,1,0,"product_reichenbach(x4, -x20 + (-x14 + x21)/(x11*x19/x9 + x14 + 2.2080863218489286))","product_reichenbach,x4,sub,div,sub,x21,x14,add,add,div,mul,x11,x19,x9,2.2080863218489286,x14,x20",1.0483439647105326,1.0483439647105326,False,0.04291845493562232,0.04291845493562232
0.042735042735042736,1,0,"product_reichenbach(x16, -x11 - x17 - x2 + x21)","product_reichenbach,x16,sub,sub,sub,x21,x2,x17,x11",1.0530450587226876,1.0530450587226876,False,0.042735042735042736,0.042735042735042736
0.042704626334519574,1,0,"product_reichenbach(0.9909222146880925, x12*x2*(x10 - x15 + x21)/(x10*x16))","product_reichenbach,0.9909222146880925,mul,x12,mul,div,x2,x16,div,sub,x21,sub,x15,x10,x10",2.529188578539312,2.529188578539312,False,0.042704626334519574,0.042704626334519574
0.0423728813559322,1,0,"product_reichenbach(x4, x21*(0.8114205103552806 - x13))","product_reichenbach,x4,mul,sub,0.8114205103552806,x13,sub,x6,sub,x6,x21",1.0624472467469972,1.0624472467469972,False,0.0423728813559322,0.0423728813559322
0.04132231404958678,1,0,"product_reichenbach(x4 - 0.15039224484814195*(x16*x21 + x6*(x4 - x9))/x16, -0.39442402756400735)","product_reichenbach,add,x4,mul,div,-0.15039224484814195,x16,add,mul,x16,x21,mul,x6,sub,x4,x9,-0.39442402756400735",1.0906538108199264,1.0906538108199264,False,0.04132231404958678,0.04132231404958678
0.04128529698149951,1,0,"product_reichenbach(product_reichenbach(x2 - x5, x14 - x21/(x18 + x3)), x1 - x16)","product_reichenbach,product_reichenbach,sub,x2,x5,sub,x14,div,x21,add,x3,x18,sub,x1,x16",23.143485821838354,23.143485821838354,False,0.04128529698149951,0.04128529698149951
0.040955631399317405,1,0,"product_reichenbach(x11 + x12*x14 + x17 - x21 - x5, x5)","product_reichenbach,add,sub,mul,x12,x14,sub,add,x5,x21,x17,x11,x5",9.2470519219086,9.2470519219086,False,0.040955631399317405,0.040955631399317405
0.04083570750237417,1,0,"product_reichenbach(x8, x21/x8 - 2*x3*(-x19 + x21))","product_reichenbach,x8,sub,div,x21,x8,mul,sub,x21,x19,add,x3,x3",9.496209904552808,9.496209904552808,False,0.04083570750237417,0.04083570750237417
0.04032258064516129,1,0,"product_reichenbach(x12, -x15 - x16 - x20 + x21)","product_reichenbach,x12,sub,x21,add,x16,add,x15,x20",1.1188603748928556,1.1188603748928556,False,0.04032258064516129,0.04032258064516129
0.039840637450199196,1,0,"product_reichenbach(x11, x21 - (x16 + x9)*(x19 + (x4 + x5*x9)/x2))","product_reichenbach,x11,sub,x21,mul,add,x16,x9,add,div,add,mul,x5,x9,x4,x2,x19",1.13296365692932,1.13296365692932,False,0.039840637450199196,0.039840637450199196
0.03968253968253968,1,0,"product_reichenbach(x10, x18*x4*(x12 - x2/x1) + x21 - 0.6419333165340723)","product_reichenbach,x10,add,add,mul,x18,mul,sub,x12,div,x2,x1,x4,x21,-0.6419333165340723",1.1376647509414748,1.1376647509414748,False,0.03968253968253968,0.03968253968253968
0.03968253968253968,1,0,"product_reichenbach(0.7211257028425302*x11, x21 - 1)","product_reichenbach,mul,x11,0.7211257028425302,sub,x21,div,x14,x14",1.1376647509414748,1.1376647509414748,False,0.03968253968253968,0.03968253968253968
0.03957662218131615,1,0,"product_reichenbach(x4, -0.4435342943862125*x15*x4 + x21)","product_reichenbach,x4,sub,x21,div,x15,div,2.2546170897198734,x4",9.811183203367182,9.811183203367182,False,0.03957662218131615,0.03957662218131615
0.03952569169960474,1,0,"product_reichenbach(x8, -x13 - x18 + x21)","product_reichenbach,x8,sub,add,sub,x3,add,x13,x3,x21,x18",1.1423658449536298,1.1423658449536298,False,0.03952569169960474,0.03952569169960474
0.03952569169960474,1,0,"product_reichenbach(x8, x3*(x21 - x3)/x14)","product_reichenbach,x8,div,mul,sub,x21,x3,x3,x14",1.1423658449536298,1.1423658449536298,False,0.03952569169960474,0.03952569169960474
0.03952569169960474,1,0,"product_reichenbach(x3, (-x16 + x21 - x9*(x11 + x15/x9 + x17))/x8)","product_reichenbach,x3,div,sub,x21,add,mul,x9,add,add,x17,div,x15,x9,x11,x16,x8",1.1423658449536298,1.1423658449536298,False,0.03952569169960474,0.03952569169960474
0.03952569169960474,1,0,"product_reichenbach(x15, x11*(-x14 - x15 + x16) - x11 + x21 - x6)","product_reichenbach,x15,sub,x21,add,x11,sub,x6,mul,x11,sub,x16,add,x14,x15",1.1423658449536298,1.1423658449536298,False,0.03952569169960474,0.03952569169960474
0.03952569169960474,1,0,"product_reichenbach(x9, x21*(x21 - 1.1147255167048333*x9))","product_reichenbach,x9,mul,x21,sub,x21,mul,x9,1.1147255167048333",1.1423658449536298,1.1423658449536298,False,0.03952569169960474,0.03952569169960474
0.03937007874015748,1,0,"product_reichenbach(x3, x10*(x19 + x2*x7/x14)*(x16 + x21 - 1.2581702307060405))","product_reichenbach,x3,mul,mul,add,add,-1.2581702307060405,x16,x21,add,mul,div,x2,x14,x7,x19,x10",1.1470669389657846,1.1470669389657846,False,0.03937007874015748,0.03937007874015748
0.038781163434903045,1,0,"product_reichenbach(x11, -x13 + x21 - x5 - (x11 - x14)/(x13*(x10 + x14)))","product_reichenbach,x11,sub,x21,add,add,div,sub,x11,x14,mul,add,x10,x14,x13,x13,x5",1.6312796222177348,1.6312796222177348,False,0.038781163434903045,0.038781163434903045
0.03671706263498921,1,0,"product_reichenbach(x4, x9*(x15 - x16)*(x11 - x17 - x2 + x21)/(x14*x3))","product_reichenbach,x4,mul,x9,div,mul,div,sub,x15,x16,x3,sub,x11,add,sub,x17,x21,x2,x14",8.38675171768426,8.38675171768426,False,0.03671706263498921,0.03671706263498921
0.03623188405797101,1,0,"product_reichenbach(1.367713073188846*x10, -x12*x21 + x21)","product_reichenbach,div,x10,0.7311475042557598,sub,x21,mul,x21,x12",1.2504910072331914,1.2504910072331914,False,0.03623188405797101,0.03623188405797101
0.03623188405797101,1,0,"product_reichenbach(x12, -x1 - x10 + x11 - 2*x20 + x21 - x9)","product_reichenbach,x12,sub,x11,add,x10,sub,add,add,x9,x20,x20,sub,x21,x1",1.2504910072331914,1.2504910072331914,False,0.03623188405797101,0.03623188405797101
0.035842293906810034,1,0,"product_reichenbach(x11, x4*(-x14 + (x21 + x6)/x16)/x12)","product_reichenbach,x11,div,mul,sub,div,add,x21,x6,x16,x14,x4,x12",10.116754314157248,10.116754314157248,False,0.035842293906810034,0.035842293906810034
0.03575685339690107,1,0,"product_reichenbach(x2, x2*x21*(-x18 - x21 + x21/(x10 - x5) + x4 - x7))","product_reichenbach,x2,mul,x2,mul,x21,add,sub,div,x21,sub,x10,x5,add,x7,add,x18,x21,x4",3.8031850558332776,3.8031850558332776,False,0.03575685339690107,0.03575685339690107
