r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
1.756177283823490143e-02,1.756177283823490143e-02,1.694050268270075321e-03,1.077239401638507843e-02,1.421599960327148438e+01,1.264705848693847656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.700000000000000000e+01,5.000000000000000000e+02,1.700000000000000000e+01,2.680000066757202148e+00,1.879999995231628418e+00,4.420000016689300537e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.991769599914550781e+01,5.000000000000000000e+02
5.650616809725761414e-02,5.650616809725761414e-02,1.773325842805206776e-03,2.023794502019882202e-02,1.423600006103515625e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.720000028610229492e+00,1.559999942779541016e+00,4.920000135898590088e-01,0.000000000000000000e+00,1.029829587787389755e-02,2.116135787963867188e+01,1.000000000000000000e+03
1.271186470985412598e-01,1.271186470985412598e-01,2.045560861006379128e-03,3.374526649713516235e-02,1.418000030517578125e+01,1.019999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.695652246475219727e+00,1.782608747482299805e+00,4.699999988079071045e-01,0.000000000000000000e+00,1.301565114408731461e-02,2.451318168640136719e+01,1.500000000000000000e+03
1.271186470985412598e-01,2.254986949265003204e-02,1.879641902633011341e-03,1.202107127755880356e-02,1.407999992370605469e+01,1.300000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.600000000000000000e+01,5.000000000000000000e+02,1.600000000000000000e+01,2.680000066757202148e+00,1.840000033378601074e+00,4.040000140666961670e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.706357192993164062e+01,2.000000000000000000e+03
1.271186470985412598e-01,7.392472773790359497e-02,1.966444542631506920e-03,2.247063070535659790e-02,1.436800003051757812e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.720000028610229492e+00,1.600000023841857910e+00,4.359999895095825195e-01,0.000000000000000000e+00,9.857267141342163086e-03,2.205135726928710938e+01,2.500000000000000000e+03
1.271186470985412598e-01,3.952569141983985901e-02,1.705983188003301620e-03,1.756084151566028595e-02,1.452000045776367188e+01,1.360000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.680000066757202148e+00,1.559999942779541016e+00,4.440000057220458984e-01,0.000000000000000000e+00,9.893866255879402161e-03,2.294657897949218750e+01,3.000000000000000000e+03
1.271186470985412598e-01,4.702194407582283020e-02,2.042993204668164253e-03,2.017313987016677856e-02,1.399199962615966797e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.777777671813964844e+00,1.592592597007751465e+00,4.140000045299530029e-01,0.000000000000000000e+00,1.539448369294404984e-02,2.617781257629394531e+01,3.500000000000000000e+03
1.271186470985412598e-01,2.964793145656585693e-02,1.917023444548249245e-03,1.677151769399642944e-02,1.380399990081787109e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.759999990463256836e+00,1.679999947547912598e+00,3.840000033378601074e-01,0.000000000000000000e+00,9.712740778923034668e-03,2.437258911132812500e+01,4.000000000000000000e+03
1.271186470985412598e-01,1.172332912683486938e-01,2.393477363511919975e-03,3.337518498301506042e-02,1.381200027465820312e+01,1.519999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.759999990463256836e+00,1.519999980926513672e+00,3.939999938011169434e-01,0.000000000000000000e+00,1.215705648064613342e-02,2.210679435729980469e+01,4.500000000000000000e+03
1.271186470985412598e-01,1.057542786002159119e-01,2.332002623006701469e-03,3.163819015026092529e-02,1.384799957275390625e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.695652246475219727e+00,1.478260874748229980e+00,3.860000073909759521e-01,0.000000000000000000e+00,1.322286389768123627e-02,2.924546813964843750e+01,5.000000000000000000e+03
