r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
5.970149114727973938e-02,5.970149114727973938e-02,1.136350794695317745e-03,2.918690815567970276e-02,1.421599960327148438e+01,1.180000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.680000066757202148e+00,1.639999985694885254e+00,4.460000097751617432e-01,0.000000000000000000e+00,1.323568355292081833e-02,2.917964744567871094e+01,5.000000000000000000e+02
7.720588147640228271e-02,7.720588147640228271e-02,1.073507010005414486e-03,2.733176574110984802e-02,1.416800022125244141e+01,1.460000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.720000028610229492e+00,1.559999942779541016e+00,4.920000135898590088e-01,0.000000000000000000e+00,1.145273540169000626e-02,2.093990898132324219e+01,1.000000000000000000e+03
7.720588147640228271e-02,5.134575441479682922e-02,7.827926892787218094e-04,2.068812400102615356e-02,1.410000038146972656e+01,1.239999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.695652246475219727e+00,1.652173876762390137e+00,4.779999852180480957e-01,0.000000000000000000e+00,9.180327877402305603e-03,2.036695098876953125e+01,1.500000000000000000e+03
1.310541331768035889e-01,1.310541331768035889e-01,1.367796445265412331e-03,3.885893896222114563e-02,1.406000041961669922e+01,1.600000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.680000066757202148e+00,1.600000023841857910e+00,4.160000085830688477e-01,0.000000000000000000e+00,1.571301557123661041e-02,2.617417526245117188e+01,2.000000000000000000e+03
1.310541331768035889e-01,5.963302776217460632e-02,9.243687964044511318e-04,2.093481086194515228e-02,1.423600006103515625e+01,1.393333339691162109e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.500000000000000000e+01,5.000000000000000000e+02,1.500000000000000000e+01,2.720000028610229492e+00,1.840000033378601074e+00,4.339999854564666748e-01,0.000000000000000000e+00,9.345794096589088440e-03,2.544762229919433594e+01,2.500000000000000000e+03
1.310541331768035889e-01,4.858299717307090759e-02,9.837761754170060158e-04,2.301348373293876648e-02,1.443599987030029297e+01,1.380000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.680000066757202148e+00,1.600000023841857910e+00,4.600000083446502686e-01,0.000000000000000000e+00,1.524366810917854309e-02,2.461906242370605469e+01,3.000000000000000000e+03
1.310541331768035889e-01,8.823529630899429321e-02,1.148173003457486629e-03,3.113668784499168396e-02,1.389599990844726562e+01,1.300000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.777777671813964844e+00,1.592592597007751465e+00,4.580000042915344238e-01,0.000000000000000000e+00,1.165591739118099213e-02,2.765299797058105469e+01,3.500000000000000000e+03
1.310541331768035889e-01,7.301587611436843872e-02,9.862284641712903976e-04,2.037326060235500336e-02,1.377200031280517578e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.759999990463256836e+00,1.399999976158142090e+00,4.219999909400939941e-01,0.000000000000000000e+00,1.207677368074655533e-02,2.731907272338867188e+01,4.000000000000000000e+03
1.310541331768035889e-01,9.083402156829833984e-02,1.011409680359065533e-03,2.703806757926940918e-02,1.379199981689453125e+01,1.219999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.720000028610229492e+00,1.480000019073486328e+00,4.499999880790710449e-01,0.000000000000000000e+00,1.236858405172824860e-02,2.206896209716796875e+01,4.500000000000000000e+03
1.310541331768035889e-01,8.661926537752151489e-02,1.241800957359373569e-03,3.269266709685325623e-02,1.383199977874755859e+01,1.260000038146972656e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.695652246475219727e+00,1.608695626258850098e+00,4.219999909400939941e-01,0.000000000000000000e+00,1.285327132791280746e-02,2.774616432189941406e+01,5.000000000000000000e+03
