complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,4758,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
4,0.02796591653921783,1,0,"product_norm(x16, fuzzy_not(x7))","product_norm,x16,fuzzy_not,x7",9.790749952960823,9.790749952960823,False,0.02796591653921783,0.02796591653921783
5,0.045990823683635565,1,0,"fuzzy_not(product_conorm(fuzzy_not(x16), x3))","fuzzy_not,product_conorm,fuzzy_not,x16,x3",19.218390501057964,19.218390501057964,False,0.045990823683635565,0.045990823683635565
8,0.10462226640159045,1,0,"fuzzy_not(product_conorm(x3, fuzzy_not(product_norm(x16, fuzzy_not(x3)))))","fuzzy_not,product_conorm,x3,fuzzy_not,product_norm,x16,fuzzy_not,x3",7.928989004387019,7.928989004387019,False,0.10462226640159045,0.10462226640159045
10,0.12234385061171926,1,0,"fuzzy_not(fuzzy_not(product_norm(x16, fuzzy_not(lukasiewicz_conorm(x1, fuzzy_not(fuzzy_not(x3)))))))","fuzzy_not,fuzzy_not,product_norm,x16,fuzzy_not,lukasiewicz_conorm,x1,fuzzy_not,fuzzy_not,x3",1.4997518752400094,1.4997518752400094,False,0.12234385061171926,0.12234385061171926
12,0.13268156424581007,1,0,"product_norm(fuzzy_not(x9), lukasiewicz_norm(product_s_implication(x16, fuzzy_not(lukasiewicz_conorm(x10, x3))), x16))","product_norm,fuzzy_not,x9,lukasiewicz_norm,product_s_implication,x16,fuzzy_not,lukasiewicz_conorm,x10,x3,x16",1.3666117601233247,1.3666117601233247,False,0.13268156424581007,0.13268156424581007
13,0.13333333333333333,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(x16), x8), x3))))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_conorm,lukasiewicz_conorm,fuzzy_not,x16,x8,x3",1.358909439414095,1.358909439414095,False,0.13333333333333333,0.13333333333333333
14,0.14318010550113036,1,0,"fuzzy_not(lukasiewicz_conorm(fuzzy_not(product_norm(fuzzy_not(godel_conorm(fuzzy_not(x16), godel_conorm(x10, x4))), fuzzy_not(x2))), x3))","fuzzy_not,lukasiewicz_conorm,fuzzy_not,product_norm,fuzzy_not,godel_conorm,fuzzy_not,x16,godel_conorm,x10,x4,fuzzy_not,x2,x3",1.2510769494848792,1.2510769494848792,False,0.14318010550113036,0.14318010550113036
17,0.14683153013910358,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(godel_conorm(godel_s_implication(fuzzy_not(x6), lukasiewicz_conorm(godel_conorm(lukasiewicz_conorm(x3, fuzzy_not(x16)), x9), x2)), x3))))","fuzzy_not,fuzzy_not,fuzzy_not,godel_conorm,godel_s_implication,fuzzy_not,x6,lukasiewicz_conorm,godel_conorm,lukasiewicz_conorm,x3,fuzzy_not,x16,x9,x2,x3",1.2147660089985108,1.2147660089985108,False,0.14683153013910358,0.14683153013910358
23,0.16652719665271964,1,0,"fuzzy_not(godel_s_implication(product_norm(product_norm(fuzzy_not(x3), x16), fuzzy_not(product_s_implication(lukasiewicz_conorm(x2, product_s_implication(x12, x6)), lukasiewicz_conorm(x3, godel_norm(x7, x9))))), x3))","fuzzy_not,godel_s_implication,product_norm,product_norm,fuzzy_not,x3,x16,fuzzy_not,product_s_implication,lukasiewicz_conorm,x2,product_s_implication,x12,x6,lukasiewicz_conorm,x3,godel_norm,x7,x9,x3",2.191860407540791,2.191860407540791,False,0.16652719665271964,0.16652719665271964
