seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,n_samples,n_cached,t
8,0.0766065210509655,3.2096670726889998,3.2096670726889998,False,0.0766065210509655,0.0766065210509655,"fuzzy_not(godel_s_implication(x1, fuzzy_not(fuzzy_not(godel_s_implication(x16, godel_conorm(x3, x7))))))","fuzzy_not,godel_s_implication,x1,fuzzy_not,fuzzy_not,godel_s_implication,x16,godel_conorm,x3,x7",200000,133773,73465.51692199707
3,0.08086986068637445,2.9763967883523286,2.9763967883523286,False,0.08086986068637445,0.08086986068637445,"fuzzy_not(godel_conorm(fuzzy_not(x1), godel_conorm(godel_conorm(godel_conorm(godel_conorm(x3, godel_conorm(x3, godel_conorm(godel_s_implication(x16, x7), x7))), x7), x2), x7)))","fuzzy_not,godel_conorm,fuzzy_not,x1,godel_conorm,godel_conorm,godel_conorm,godel_conorm,x3,godel_conorm,x3,godel_conorm,godel_s_implication,x16,x7,x7,x7,x2,x7",200000,135787,74374.28696155548
2,0.08086986068637445,2.976396788352329,2.976396788352329,False,0.08086986068637445,0.08086986068637445,"fuzzy_not(godel_s_implication(x1, godel_conorm(x7, godel_s_implication(x9, godel_s_implication(fuzzy_not(fuzzy_not(godel_norm(fuzzy_not(x2), godel_conorm(x16, x7)))), x3)))))","fuzzy_not,godel_s_implication,x1,godel_conorm,x7,godel_s_implication,x9,godel_s_implication,fuzzy_not,fuzzy_not,godel_norm,fuzzy_not,x2,godel_conorm,x16,x7,x3",200000,136442,75306.88415956497
15,0.08086986068637445,2.9763967883523286,2.9763967883523286,False,0.08086986068637445,0.08086986068637445,"fuzzy_not(godel_conorm(fuzzy_not(x1), godel_conorm(godel_conorm(godel_s_implication(x16, fuzzy_not(godel_s_implication(x2, godel_s_implication(godel_s_implication(x2, x2), x7)))), godel_conorm(x3, x7)), x13)))","fuzzy_not,godel_conorm,fuzzy_not,x1,godel_conorm,godel_conorm,godel_s_implication,x16,fuzzy_not,godel_s_implication,x2,godel_s_implication,godel_s_implication,x2,x2,x7,godel_conorm,x3,x7,x13",200000,136236,75647.14076304437
4,0.08086986068637445,2.976396788352329,2.976396788352329,False,0.08086986068637445,0.08086986068637445,"fuzzy_not(godel_conorm(godel_conorm(fuzzy_not(fuzzy_not(godel_conorm(godel_s_implication(x16, godel_s_implication(fuzzy_not(x2), x2)), fuzzy_not(x1)))), x3), x7))","fuzzy_not,godel_conorm,godel_conorm,fuzzy_not,fuzzy_not,godel_conorm,godel_s_implication,x16,godel_s_implication,fuzzy_not,x2,x2,fuzzy_not,x1,x3,x7",200000,137834,75723.8883805275
1,0.0766065210509655,3.209667072689,3.209667072689,False,0.0766065210509655,0.0766065210509655,"godel_norm(x1, fuzzy_not(fuzzy_not(godel_norm(godel_norm(godel_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(x5))), godel_norm(x16, fuzzy_not(x7))), x16), fuzzy_not(x3)))))","godel_norm,x1,fuzzy_not,fuzzy_not,godel_norm,godel_norm,godel_s_implication,fuzzy_not,fuzzy_not,fuzzy_not,x5,godel_norm,x16,fuzzy_not,x7,x16,fuzzy_not,x3",200000,139116,75842.5535595417
5,0.08,3.1887607736210906,3.1887607736210906,False,0.08,0.08,"godel_norm(fuzzy_not(fuzzy_not(fuzzy_not(x2))), fuzzy_not(godel_s_implication(x16, godel_conorm(x3, x7))))","godel_norm,fuzzy_not,fuzzy_not,fuzzy_not,x2,fuzzy_not,godel_s_implication,x16,godel_conorm,x3,x7",200000,138301,75924.54333901405
6,0.08086986068637445,2.9763967883523286,2.9763967883523286,False,0.08086986068637445,0.08086986068637445,"fuzzy_not(fuzzy_not(fuzzy_not(godel_conorm(godel_conorm(godel_conorm(godel_conorm(fuzzy_not(godel_conorm(x7, x16)), godel_conorm(fuzzy_not(x1), x2)), x3), x7), x3))))","fuzzy_not,fuzzy_not,fuzzy_not,godel_conorm,godel_conorm,godel_conorm,godel_conorm,fuzzy_not,godel_conorm,x7,x16,godel_conorm,fuzzy_not,x1,x2,x3,x7,x3",200000,138890,76085.51069903374
10,0.08086986068637445,2.976396788352329,2.976396788352329,False,0.08086986068637445,0.08086986068637445,"fuzzy_not(godel_conorm(godel_s_implication(x8, godel_conorm(fuzzy_not(fuzzy_not(godel_conorm(x7, godel_s_implication(x1, x3)))), fuzzy_not(x16))), x2))","fuzzy_not,godel_conorm,godel_s_implication,x8,godel_conorm,fuzzy_not,fuzzy_not,godel_conorm,x7,godel_s_implication,x1,x3,fuzzy_not,x16,x2",200000,139387,76302.30958080293
9,0.08040842373962986,3.171155469142852,3.171155469142852,False,0.08040842373962986,0.08040842373962986,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(godel_norm(fuzzy_not(godel_norm(fuzzy_not(godel_norm(fuzzy_not(godel_conorm(godel_conorm(godel_s_implication(fuzzy_not(x7), fuzzy_not(x16)), x2), x3)), x11)), x16)), x16)))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,godel_norm,fuzzy_not,godel_norm,fuzzy_not,godel_norm,fuzzy_not,godel_conorm,godel_conorm,godel_s_implication,fuzzy_not,x7,fuzzy_not,x16,x2,x3,x11,x16,x16",200000,138546,76412.83447766304
14,0.08,3.1887607736210906,3.1887607736210906,False,0.08,0.08,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(godel_norm(fuzzy_not(x3), fuzzy_not(fuzzy_not(fuzzy_not(godel_s_implication(x16, godel_conorm(x2, x7))))))))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,godel_norm,fuzzy_not,x3,fuzzy_not,fuzzy_not,fuzzy_not,godel_s_implication,x16,godel_conorm,x2,x7",200000,138918,76447.09324336053
12,0.0766065210509655,3.209667072689,3.209667072689,False,0.0766065210509655,0.0766065210509655,"godel_norm(fuzzy_not(godel_s_implication(x1, godel_conorm(x7, godel_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x16)))))), x3)))), x16)","godel_norm,fuzzy_not,godel_s_implication,x1,godel_conorm,x7,godel_s_implication,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,x16,x3,x16",200000,138994,76531.97322869301
11,0.08040842373962986,3.171155469142852,3.171155469142852,False,0.08040842373962986,0.08040842373962986,"fuzzy_not(godel_s_implication(fuzzy_not(godel_s_implication(godel_s_implication(fuzzy_not(godel_norm(fuzzy_not(godel_s_implication(x10, fuzzy_not(fuzzy_not(godel_conorm(x3, x2))))), x16)), x7), x7)), x3))","fuzzy_not,godel_s_implication,fuzzy_not,godel_s_implication,godel_s_implication,fuzzy_not,godel_norm,fuzzy_not,godel_s_implication,x10,fuzzy_not,fuzzy_not,godel_conorm,x3,x2,x16,x7,x7,x3",200000,139170,76918.22761535645
7,0.08040842373962986,3.171155469142852,3.171155469142852,False,0.08040842373962986,0.08040842373962986,"fuzzy_not(godel_s_implication(x11, godel_conorm(fuzzy_not(fuzzy_not(godel_conorm(fuzzy_not(fuzzy_not(godel_s_implication(godel_norm(godel_conorm(godel_norm(x16, x16), x7), x16), x2))), x3))), x7)))","fuzzy_not,godel_s_implication,x11,godel_conorm,fuzzy_not,fuzzy_not,godel_conorm,fuzzy_not,fuzzy_not,godel_s_implication,godel_norm,godel_conorm,godel_norm,x16,x16,x7,x16,x2,x3,x7",200000,139370,77195.24670886992
0,0.08061420345489444,3.162352816903732,3.162352816903732,False,0.08061420345489444,0.08061420345489444,"fuzzy_not(godel_s_implication(x8, godel_conorm(x7, godel_s_implication(x16, godel_conorm(godel_s_implication(fuzzy_not(godel_conorm(godel_s_implication(godel_conorm(godel_conorm(x4, x3), x13), x7), x5)), x2), x3)))))","fuzzy_not,godel_s_implication,x8,godel_conorm,x7,godel_s_implication,x16,godel_conorm,godel_s_implication,fuzzy_not,godel_conorm,godel_s_implication,godel_conorm,godel_conorm,x4,x3,x13,x7,x5,x2,x3",200000,139669,77284.66345310211
