tokens,rewards
"15,22,23,23,14,1,23,13,12,23,18,23,23,23,16,11,1,12",0.0
"23,23,23,23,23,22,23,18,1,15,22,11,9,23,23,10,9",0.002596624388295216
5,0.0031784932657680557
"23,17,5,23,23,19,14,20,22,2,23,4,1,14,10,1,4",0.0043751862153639425
"23,23,22,23,23,5,23,7",0.001856693165448434
"23,20,14,16,11,20,17,23,10,23,1,23,23,19,22,4,12,12,13,5",0.0012227255338698548
4,0.002204482392029897
"23,23,23,14,8,23,23,14,3,9",0.005227004013776228
"23,23,14,4,23,17,12,5",0.001642120387950942
"23,14,4,16,14,20,21,16,12,16,16,23,10,13,10,6,0,1,1",0.002731628444357395
"23,23,23,23,23,21,16,5,16,23,16,10,23,8,10,8",0.0014782510531350448
"23,14,23,22,21,16,23,3,23,23,10,21,23,6,10,11,1",0.004274743824445448
12,0.0
"16,22,23,11,14,19,18,12,5,20,15,23,23,6,23,13,8,5,11",0.0
"18,13,23,23,16,23,8,19,0,9",0.007473390816775603
"21,15,23,14,8,20,23,5,0,23,21,13,19,1,23,23,11,6",0.00255871998356026
"21,18,1,19,16,6,9,23,23,19,23,12,14,23,20,12,9,8,2",0.0011541009636191724
"20,9,23,20,23,23,23,15,23,4,7,23,23,19,13,7",0.0030179118040148177
11,0.0
"14,17,21,4,23,21,12,17,23,23,23,23,2,16,23,6,7,6,12",0.0010417209229647377
"18,8,23,22,23,12,17,5,6",0.002554232651607396
"23,19,23,23,11,15,7,21,14,21,23,19,21,7,6,6,2,13,13",0.0026034756399793725
10,0.003655093552989749
1,7.243609161190058e-05
"19,20,23,23,23,23,5,14,19,2,1,23,23,4,23,3",0.0018654883443366417
9,0.0
"23,14,23,23,14,14,14,10,12,3,11,21,15,23,4,21,7,20,3,8,3",0.0017168581495862572
"22,23,17,20,23,12,22,14,23,23,15,18,23,11,6,6,11,6,1,0",0.0
7,0.0031782863471912204
"16,23,13,15,8,16,19,23,18,13,15,4,8,9,22,6,8",0.00177640409608514
"23,23,23,23,23,20,3,4",0.006299663540697258
"21,23,18,1,22,23,0,7,9",0.0033927888724531565
"17,23,6,22,23,17,23,5,21,3,14,17,7,1,23,3,1",0.003169493227719111
"23,23,23,17,13,20,17,23,18,1,7,11,2",0.049832894057549655
"23,23,23,21,23,23,19,23,23,15,14,0,3,8,7,3",0.0017123013453268338
"17,22,23,17,21,23,17,23,2,17,2,23,8,1,3,4,2",0.002596624388295216
"15,0,23,15,23,23,23,23,23,11,14,13,2",0.003053334426568466
"21,10,23,23,20,23,8,5",0.0031866378038680416
"23,23,23,19,23,23,2,19,23,19,2,16,23,1,14,3,7,8",0.002813563540545074
3,0.0031747645457277564
"23,23,23,21,14,16,1,15,23,23,23,23,2,12,8,5",0.0
"23,23,23,23,23,16,15,23,4,23,9,5",0.001030497089297695
"23,23,20,19,11,15,23,23,5,13,7",0.002596624388295216
"23,21,6,22,8,23,11",0.0013052262457290313
"21,23,5,23,23,5",0.002596624388295216
"22,22,23,5,23,23,10,20,20,2,20,5,23,13,13",0.0
"23,23,23,23,21,23,5,21,13,23,0",0.0022377505426226948
