complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
2,0.0025852254082573125,1,0,fuzzy_not(x5),"fuzzy_not,x5",772.6269315673294,772.6269315673294,False,0.0025852254082573125,0.0025852254082573125
3,0.008074701633388677,1,0,"fuzzy_or(x12, x6)","fuzzy_or,x12,x6",154.50018813691202,154.50018813691202,False,0.008074701633388677,0.008074701633388677
4,0.014896013719127759,1,0,x21*fuzzy_not(x17),"mul,x21,fuzzy_not,x17",64.75599819384021,64.75599819384021,False,0.014896013719127759,0.014896013719127759
5,0.06910365548322485,1,0,fuzzy_not(fuzzy_not(x1*x18)),"fuzzy_not,fuzzy_not,mul,x1,x18",6.163606607052836,6.163606607052836,False,0.06910365548322485,0.06910365548322485
7,0.10041232112539412,1,0,x1**2*x13*x18,"mul,x13,mul,mul,x1,x18,x1",4.099124422728881,4.099124422728881,False,0.10041232112539412,0.10041232112539412
8,0.11037527593818984,1,0,"fuzzy_and(x18, fuzzy_or(x1*x15, fuzzy_not(x1)))","fuzzy_and,x18,fuzzy_or,mul,x1,x15,fuzzy_not,x1",3.56311057936854,3.56311057936854,False,0.11037527593818984,0.11037527593818984
9,0.11483253588516747,1,0,"fuzzy_not(fuzzy_not(x4*fuzzy_and(x12*x18, x1)))","fuzzy_not,fuzzy_not,mul,x4,fuzzy_and,mul,x18,x12,x1",2.453506664453523,2.453506664453523,False,0.11483253588516747,0.11483253588516747
10,0.11600928074245942,1,0,"fuzzy_not(fuzzy_or(fuzzy_not(x13), fuzzy_not(x1*x15*x18)))","fuzzy_not,fuzzy_or,fuzzy_not,x13,fuzzy_not,mul,x18,mul,x1,x15",3.3685983393037557,3.3685983393037557,False,0.11600928074245942,0.11600928074245942
11,0.12128922815945715,1,0,x15*x4*fuzzy_not(fuzzy_not(x1))*fuzzy_not(fuzzy_not(x18)),"mul,fuzzy_not,fuzzy_not,x18,mul,x4,mul,x15,fuzzy_not,fuzzy_not,x1",2.2899395534899547,2.2899395534899547,False,0.12128922815945715,0.12128922815945715
15,0.13149425287356323,1,0,x1*x12*x4*fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x1*x15*x18)))),"mul,x4,mul,x12,mul,x1,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,mul,mul,x15,x18,x1",2.087691031149867,2.087691031149867,False,0.13149425287356323,0.13149425287356323
