r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
2.922374382615089417e-02,2.922374382615089417e-02,3.224941436201334000e-03,1.894849725067615509e-02,1.537600040435791016e+01,1.339999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.822267532348632812e+00,1.853068470954895020e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.517408806830644608e-02,2.883546752929687500e+02,5.000000000000000000e+02
2.922374382615089417e-02,2.677438780665397644e-02,3.134982194751501083e-03,1.707526482641696930e-02,1.575000000000000000e+01,1.839999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.869481801986694336e+00,1.776110529899597168e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.311035919934511185e-02,2.869271850585937500e+02,1.000000000000000000e+03
2.922374382615089417e-02,1.842316053807735443e-02,3.194189164787530899e-03,1.566168852150440216e-02,1.545199966430664062e+01,1.580000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.846852302551269531e+00,1.829992413520812988e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.487314049154520035e-02,2.844132385253906250e+02,1.500000000000000000e+03
3.267211094498634338e-02,3.267211094498634338e-02,3.242863342165946960e-03,2.028752863407135010e-02,1.540600013732910156e+01,1.754545402526855469e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.100000000000000000e+01,5.000000000000000000e+02,1.100000000000000000e+01,2.859524011611938477e+00,1.822018265724182129e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489601377397775650e-02,2.860034179687500000e+02,2.000000000000000000e+03
5.540827289223670959e-02,5.540827289223670959e-02,3.380545647814869881e-03,2.644419483840465546e-02,1.574400043487548828e+01,1.480000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.844739913940429688e+00,1.846091628074645996e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489601377397775650e-02,2.879311218261718750e+02,2.500000000000000000e+03
5.540827289223670959e-02,2.954755350947380066e-02,2.929864916950464249e-03,1.681569591164588928e-02,1.571199989318847656e+01,1.539999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.885991811752319336e+00,1.857114672660827637e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.311035919934511185e-02,2.834132690429687500e+02,3.000000000000000000e+03
1.004123240709304810e-01,1.004123240709304810e-01,2.925806213170289993e-03,2.449290268123149872e-02,1.536400032043457031e+01,1.330000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.832670927047729492e+00,1.923496127128601074e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.301611401140689850e-02,2.886200866699218750e+02,3.500000000000000000e+03
1.004123240709304810e-01,4.773985221982002258e-02,3.282760968431830406e-03,2.099590748548507690e-02,1.563399982452392578e+01,1.450000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.600000000000000000e+01,5.000000000000000000e+02,1.600000000000000000e+01,2.864448785781860352e+00,2.121835708618164062e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489601377397775650e-02,2.878683471679687500e+02,4.000000000000000000e+03
1.004123240709304810e-01,2.946593053638935089e-02,3.170478390529751778e-03,1.846082322299480438e-02,1.543000030517578125e+01,1.600000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.600000000000000000e+01,4.990000000000000000e+02,1.600000000000000000e+01,2.859861373901367188e+00,2.113912582397460938e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489601377397775650e-02,2.843444519042968750e+02,4.500000000000000000e+03
1.004123240709304810e-01,3.686445206403732300e-02,3.032905282452702522e-03,1.829793676733970642e-02,1.521800041198730469e+01,1.489999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.889270782470703125e+00,1.871707201004028320e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.338660344481468201e-02,2.859496765136718750e+02,5.000000000000000000e+03
