seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,n_samples,n_cached,t
48,0.13149425287356326,2.087691031149867,2.087691031149867,False,0.13149425287356326,0.13149425287356326,"fuzzy_and(fuzzy_not(fuzzy_not(fuzzy_or(x13, fuzzy_or(x15, fuzzy_not(fuzzy_not(x1)))))), x1*x12*x15*x18*x4)","fuzzy_and,fuzzy_not,fuzzy_not,fuzzy_or,x13,fuzzy_or,x15,fuzzy_not,fuzzy_not,x1,mul,mul,mul,x1,x12,mul,x18,x15,x4",50000,49533,27853.342930316925
46,0.13541666666666669,2.0180644906721317,2.0180644906721317,False,0.13541666666666669,0.13541666666666669,"fuzzy_not(product_reichenbach(x16, fuzzy_not(x1*x10*x12**2*x15*x8*product_reichenbach(x1, x18*x4))))","fuzzy_not,product_reichenbach,x16,fuzzy_not,mul,mul,product_reichenbach,x1,mul,x4,x18,mul,mul,mul,x15,mul,x8,x12,x10,x12,x1",50000,49928,27905.658050775528
43,0.12746972594008926,3.025991552826012,3.025991552826012,False,0.12746972594008926,0.12746972594008926,"fuzzy_and(x16, fuzzy_and(fuzzy_not(fuzzy_not(x15)), fuzzy_not(fuzzy_not(x12*fuzzy_not(fuzzy_not(fuzzy_and(x18, x1)))))))","fuzzy_and,x16,fuzzy_and,fuzzy_not,fuzzy_not,x15,fuzzy_not,fuzzy_not,mul,x12,fuzzy_not,fuzzy_not,fuzzy_and,x18,x1",50000,49368,27918.899478435516
49,0.12893553223388304,1.2842228577004475,1.2842228577004475,False,0.12893553223388304,0.12893553223388304,"fuzzy_not(x9*probabilistic_sum(x3, x2))*fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x21))))))","mul,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,x21,fuzzy_not,mul,probabilistic_sum,x3,x2,x9",50000,49661,27975.89232182503
44,0.15236051502145925,1.7461894278543093,1.7461894278543093,False,0.15236051502145925,0.15236051502145925,"fuzzy_not(fuzzy_not(fuzzy_not(product_reichenbach(probabilistic_sum(fuzzy_not(x14), x4), product_reichenbach(product_reichenbach(x3, fuzzy_not(x1*x3)), fuzzy_not(x10))))))","fuzzy_not,fuzzy_not,fuzzy_not,product_reichenbach,probabilistic_sum,fuzzy_not,x14,x4,product_reichenbach,product_reichenbach,x3,fuzzy_not,mul,x3,x1,fuzzy_not,x10",50000,49807,28014.07672929764
45,0.12248003042982122,2.5496576013037284,2.5496576013037284,False,0.12248003042982122,0.12248003042982122,"fuzzy_and(probabilistic_sum(x21, fuzzy_not(fuzzy_and(fuzzy_not(fuzzy_not(x10)), fuzzy_not(product_reichenbach(x5, x8))))), product_reichenbach(x3, fuzzy_and(fuzzy_not(x10), x21)))","fuzzy_and,probabilistic_sum,x21,fuzzy_not,fuzzy_and,fuzzy_not,fuzzy_not,x10,fuzzy_not,product_reichenbach,x5,x8,product_reichenbach,x3,fuzzy_and,fuzzy_not,x10,x21",50000,49597,28037.15168786049
42,0.12476606363069248,3.1011440092146776,3.1011440092146776,False,0.12476606363069248,0.12476606363069248,"fuzzy_not(fuzzy_not(fuzzy_and(x18*x9, fuzzy_and(fuzzy_and(fuzzy_and(fuzzy_not(fuzzy_not(fuzzy_and(fuzzy_not(x17), x10))), x11), x8), x1))))","fuzzy_not,fuzzy_not,fuzzy_and,mul,x9,x18,fuzzy_and,fuzzy_and,fuzzy_and,fuzzy_not,fuzzy_not,fuzzy_and,fuzzy_not,x17,x10,x11,x8,x1",50000,49719,28096.353588342667
52,0.12542209358417752,2.0036971093037104,2.0036971093037104,False,0.12542209358417752,0.12542209358417752,"x21*fuzzy_not(x9*fuzzy_or(product_reichenbach(product_reichenbach(x21, fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_or(x18, fuzzy_not(fuzzy_not(x18))))))), x2), x3))","mul,x21,fuzzy_not,mul,fuzzy_or,product_reichenbach,product_reichenbach,x21,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_or,x18,fuzzy_not,fuzzy_not,x18,x2,x3,x9",50000,49751,28106.395289659504
55,0.15236051502145925,1.7461894278543093,1.7461894278543093,False,0.15236051502145925,0.15236051502145925,"x4*product_reichenbach(product_reichenbach(product_reichenbach(x5, x14), x3), x4*fuzzy_not(fuzzy_not(fuzzy_not(x3))))","mul,x4,product_reichenbach,product_reichenbach,product_reichenbach,x5,x14,x3,mul,x4,fuzzy_not,fuzzy_not,fuzzy_not,x3",50000,49804,28113.770091056827
47,0.12773559624832515,2.1584227548097883,2.1584227548097883,False,0.12773559624832515,0.12773559624832515,"fuzzy_and(probabilistic_sum(fuzzy_not(x1), fuzzy_and(x4, fuzzy_and(fuzzy_and(fuzzy_and(fuzzy_and(product_reichenbach(fuzzy_and(x16, fuzzy_not(fuzzy_and(x16, x14))), x20), x1), x1), x9), x14))), x18)","fuzzy_and,probabilistic_sum,fuzzy_not,x1,fuzzy_and,x4,fuzzy_and,fuzzy_and,fuzzy_and,fuzzy_and,product_reichenbach,fuzzy_and,x16,fuzzy_not,fuzzy_and,x16,x14,x20,x1,x1,x9,x14,x18",50000,49576,28114.655383586884
56,0.12682926829268293,2.1761056857247687,2.1761056857247687,False,0.12682926829268293,0.12682926829268293,"fuzzy_and(x14, fuzzy_and(x1, fuzzy_not(fuzzy_and(x15, fuzzy_not(x15*x18)))*fuzzy_not(fuzzy_not(x4))))","fuzzy_and,x14,fuzzy_and,x1,mul,fuzzy_not,fuzzy_not,x4,fuzzy_not,fuzzy_and,x15,fuzzy_not,mul,x18,x15",50000,49756,28160.40355944633
50,0.12418503570319775,3.117721756947472,3.117721756947472,False,0.12418503570319775,0.12418503570319775,"fuzzy_and(fuzzy_not(fuzzy_not(x16)), fuzzy_not(fuzzy_not(fuzzy_and(fuzzy_and(fuzzy_and(fuzzy_or(product_reichenbach(x18, x15*x8), fuzzy_not(x18)), x1), x1), x18))))","fuzzy_and,fuzzy_not,fuzzy_not,x16,fuzzy_not,fuzzy_not,fuzzy_and,fuzzy_and,fuzzy_and,fuzzy_or,product_reichenbach,x18,mul,x15,x8,fuzzy_not,x18,x1,x1,x18",50000,49862,28206.80464482308
53,0.13541666666666669,2.018064490672132,2.018064490672132,False,0.13541666666666669,0.13541666666666669,"fuzzy_not(fuzzy_not(fuzzy_and(x4*fuzzy_and(x14**2*x15**2*fuzzy_and(x15*x18*fuzzy_and(x11, x8), x8), x1), x12)))","fuzzy_not,fuzzy_not,fuzzy_and,mul,fuzzy_and,mul,mul,mul,mul,fuzzy_and,mul,mul,fuzzy_and,x11,x8,x18,x15,x8,x14,x15,x14,x15,x1,x4,x12",50000,49917,28221.230733394623
57,0.13496932515337426,2.025800772947436,2.025800772947436,False,0.13496932515337426,0.13496932515337426,"fuzzy_not(fuzzy_not(fuzzy_and(fuzzy_and(x4, fuzzy_and(x8, fuzzy_and(x12, fuzzy_and(x14, probabilistic_sum(x18, x18))))), x1)*fuzzy_not(fuzzy_not(x9))))","fuzzy_not,fuzzy_not,mul,fuzzy_not,fuzzy_not,x9,fuzzy_and,fuzzy_and,x4,fuzzy_and,x8,fuzzy_and,x12,fuzzy_and,x14,probabilistic_sum,x18,x18,x1",50000,49868,28335.11488556862
51,0.1350721937587331,2.0523251693199063,2.0523251693199063,False,0.1350721937587331,0.1350721937587331,"probabilistic_sum(x6, fuzzy_not(x8*fuzzy_not(x4*fuzzy_not(fuzzy_not(x1**3*x10**2*x12*x15**2*x18)))))","probabilistic_sum,x6,fuzzy_not,mul,fuzzy_not,mul,fuzzy_not,fuzzy_not,mul,mul,mul,mul,mul,mul,mul,mul,x12,x10,x15,x18,x10,x15,x1,x1,x1,x4,x8",50000,49748,28346.65291500092
54,0.12982797792924375,2.9629961114413943,2.9629961114413943,False,0.12982797792924375,0.12982797792924375,"x1*fuzzy_and(probabilistic_sum(x11, fuzzy_not(fuzzy_not(fuzzy_not(x14)))), fuzzy_and(fuzzy_not(fuzzy_not(fuzzy_and(fuzzy_and(x15, x13), x12))), x18))","mul,fuzzy_and,probabilistic_sum,x11,fuzzy_not,fuzzy_not,fuzzy_not,x14,fuzzy_and,fuzzy_not,fuzzy_not,fuzzy_and,fuzzy_and,x15,x13,x12,x18,x1",50000,49950,28409.68624854088
